0	Index      	 *	Score 	Summary	Detail	
136	32531 61235	   	194.08	ACR|1BASARM|2ASPD|1AART	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6DUST|7NUKE|8AART|9CGEN|aBASARM
137	31116 52316	   	193.99	ACR|1BASARM|2DMG|1VULN|1BEXP	12TLV|2BPWR|3RPLT|49DMG|5RCR|6VULN|7BEXP|8BASARM|aDUST
138	31116 52352	   	193.99	ACR|1BASARM|2DMG|1VULN|1BEXP	12TLV|2BPWR|3RPLT|4aDMG|5RCR|6VULN|7BEXP|8BASARM|9MDPS
139	31116 55312	   	193.99	ACR|1BASARM|2DMG|1VULN|1BEXP	12TLV|2BPWR|3RPLT|49DMG|5RCR|6VULN|7MBVNT|8BASARM|aBEXP
140	32531 32311	   	193.94	ACR|1BASARM|2ASPD|1BEXP|1SELL	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6AAC|7FEWX|8BEXP|9SELL|aBASARM
141	32531 51311	   	193.94	ACR|1BASARM|2ASPD|1BEXP|1SELL	15TLV|2RCVC|3RCR|45ASPD|5BPWR|6FEWX|7NUKE|8BEXP|9SELL|aBASARM
142	32534 61311	   	193.94	ACR|1BASARM|2ASPD|1BEXP|1SELL	1TLV|2RCVC|3RCR|46ASPD|5DUR|7NUKE|8BEXP|9SELL|aBASARM
143	32535 61311	   	193.94	ACR|1BASARM|2ASPD|1BEXP|1SELL	1TLV|2RCVC|3RCR|46ASPD|5BEXP|7NUKE|8FEWX|9SELL|aBASARM
144	32536 61311	   	193.94	ACR|1BASARM|2ASPD|1BEXP|1SELL	1TLV|2RCVC|3RCR|46ASPD|5FEWX|7NUKE|8BEXP|9SELL|aBASARM
145	32116 52331	 * 	193.87	ACR|1BASARM|2BEXP|1VULN|1DMG	1TLV|2RCVC|3RPLT|4DMG|5RCR|6VULN|79BEXP|8BASARM|aLWND
146	32116 52333	   	193.87	ACR|1BASARM|2BEXP|1VULN|1DMG	1TLV|2RCVC|3RPLT|4DMG|5RCR|6VULN|79BEXP|8BASARM|aDUR
147	32116 52334	   	193.87	ACR|1BASARM|2BEXP|1VULN|1DMG	1TLV|2RCVC|3RPLT|4DMG|5RCR|6VULN|79BEXP|8BASARM|aFEWX
148	32116 52335	   	193.87	ACR|1BASARM|2BEXP|1VULN|1DMG	1TLV|2RCVC|3RPLT|4DMG|5RCR|6VULN|79BEXP|8BASARM|aLHND
149	32116 52336	   	193.77	ACR|1BASARM|2BEXP|1VULN|1DMG	1TLV|2RCVC|3RPLT|4DMG|5RCR|6VULN|79BEXP|8BASARM|aDUST
150	31535 63132	   	193.25	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	12TLV|2BPWR|3RCR|46ASPD|5BEXP|7DMG|8RMIN|9VULN|aAART
151	31534 63222	   	193.25	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	12TLV|2BPWR|3RCR|46ASPD|5DUR|7DMG|8AART|9VULN|aBEXP
152	31536 63222	   	193.25	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	12TLV|2BPWR|3RCR|46ASPD|5FEWX|7DMG|8AART|9VULN|aBEXP
