0	Index      	 *	Score 	Summary	Detail	
111	25136 21624	   	186.38	ACR|3VULN|2ASPD|1DMG|3DUR	127DUR|27BPWR|3MBVNT|4RCR|57ASPD|679VULN|8BEXP|aDMG
112	25136 21724	   	186.38	ACR|3VULN|2ASPD|1DMG|3DUR	127DUR|27BPWR|3MBVNT|4RCR|57ASPD|679VULN|8FEWX|aDMG
113	61115 26211	   	186.38	DCR|2VULN|2DMG|3CDMG|1AAC	138CDMG|23aCGEN|38BPWR|48DMG|5AAC|6RMIN|78VULN|9RCR
114	61341 32213	   	186.38	DCR|2VULN|2DMG|3CDMG	168CDMG|2CGEN|38BEXP|4aDMG|5AELBLL|78VULN|8BPWR|9RCR
115	61344 32213	   	186.38	DCR|2VULN|2DMG|3CDMG	168CDMG|28CGEN|35BEXP|4aDMG|78VULN|8BPWR|9RCR
116	62141 36213	   	186.38	DCR|2VULN|2DMG|3CDMG	168CDMG|2FEWX|38CGEN|4aDMG|5AELBLL|78VULN|8BPWR|9RCR
117	62312 23211	   	186.38	DCR|2VULN|2DMG|3CDMG	168CDMG|28FEWX|34VULN|5aCGEN|78DMG|8BPWR|9RCR
118	62312 23216	   	186.38	DCR|2VULN|2DMG|3CDMG	168CDMG|28FEWX|34VULN|5CGEN|78DMG|8BPWR|9RCR|aBEXP
119	61115 26212	   	186.28	DCR|2VULN|2DMG|3CDMG|1AAC	138CDMG|23CGEN|38BPWR|48DMG|5AAC|6RMIN|78VULN|9RCR|aERES
120	62311 23211	   	186.28	DCR|2VULN|2DMG|3CDMG	168CDMG|28FEWX|34VULN|5TLV|78DMG|8BPWR|9RCR|aCGEN
121	62311 23213	   	186.28	DCR|2VULN|2DMG|3CDMG	168CDMG|28FEWX|34VULN|5TLV|78DMG|8BPWR|9RCR|aLHND
122	62311 23216	   	186.28	DCR|2VULN|2DMG|3CDMG	168CDMG|28FEWX|34VULN|5TLV|78DMG|8BPWR|9RCR|aBEXP
123	62312 23212	   	186.28	DCR|2VULN|2DMG|3CDMG	168CDMG|28FEWX|34VULN|5CGEN|78DMG|8BPWR|9RCR|aERES
124	11311 33246	   	186.26	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1SELL	1SELL|2DMG|3ASPD|4LWND|5AELBLL|6CDMG|7ZMB|8RCR|9aVULN
125	62311 23212	   	186.18	DCR|2VULN|2DMG|3CDMG	168CDMG|28FEWX|34VULN|5aTLV|78DMG|8BPWR|9RCR
126	26272 61144	   	186.18	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2LWND|3MBVNT|4ZMB|5AART|6RCR|7MLV|89VULN|aDMG
127	11515 33214	   	186.16	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1SELL	1SELL|2DMG|34VULN|5AAC|6CDMG|7ZMB|8RCR|9CGEN|aASPD
128	11515 33224	   	186.16	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1SELL	1SELL|2DMG|34VULN|5AAC|6CDMG|7ZMB|8RCR|9MLV|aASPD
129	11515 33263	   	186.16	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1SELL	1SELL|2DMG|34VULN|5AAC|6CDMG|7ZMB|8RCR|9BEXP|aASPD
130	25134 21854	 * 	186.14	ACR|2VULN|2DMG|2ASPD|3DUR	127DUR|27BPWR|3MBVNT|4RCR|57VULN|67ASPD|8RPLT|9aDMG
131	11512 23615	   	185.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1SELL|2DMG|34VULN|5LWND|6CDMG|7AART|8LIT|9ZMB|aRCR
132	13121 42515	 * 	185.98	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1SELL	1SELL|2LIT|3AART|4ASPD|5CDMG|6LHND|78VULN|9ZMB|aRCR
133	13131 42515	   	185.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1SELL|2LIT|3AART|4DMG|5CDMG|6LHND|78VULN|9ZMB|aRCR
134	13153 21215	   	185.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1SELL|2LIT|3AART|4CDMG|56VULN|7BEXP|8DMG|9ZMB|aRCR
135	13153 22315	 * 	185.98	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1SELL	1SELL|2LIT|3AART|4CDMG|56VULN|7ASPD|8LWND|9ZMB|aRCR
136	13153 22615	 * 	185.98	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1SELL	1SELL|2LIT|3AART|4CDMG|56VULN|7ASPD|8LHND|9ZMB|aRCR
137	13151 21515	   	185.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1SELL|2LIT|3AART|4CDMG|5BEXP|68VULN|7DMG|9ZMB|aRCR
138	13151 32515	   	185.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1SELL|2LIT|3AART|4CDMG|5BEXP|6DMG|78VULN|9ZMB|aRCR
139	13153 31515	   	185.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1SELL|2LIT|3AART|4CDMG|58VULN|6BEXP|7DMG|9ZMB|aRCR
140	16512 62112	 * 	185.96	DCR|2VULN|2AART|1CDMG|1DUR|1SELL	1SELL|2DUR|34AART|5RCVC|69VULN|7RCR|8SNIFST|aCDMG
141	11511 23615	   	185.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1SELL|2DMG|34VULN|5DUST|6CDMG|7AART|8LIT|9ZMB|aRCR
142	26414 23321	   	185.70	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1DUR|2LWND|3VULN|4aMLV|5ASPD|6DMG|78AART|9RCR
143	26414 23322	   	185.70	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1DUR|2LWND|3VULN|4MLV|5ASPD|6DMG|78AART|9RCR|aLHND
144	16511 22311	   	185.64	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR|1SELL	1SELL|2DUR|34AART|5ASPD|6AME|7RCR|8MULFIG|9VULN|aCDMG
145	62112 23261	 * 	185.47	DCR|3VULN|1MDPS|2CDMG|1DMG	19CDMG|2FEWX|39CGEN|489VULN|5MDPS|6RCR|7DMSP|9BPWR|aDMG
146	62112 23264	 * 	185.47	DCR|3VULN|1MDPS|2CDMG|1ASPD	19CDMG|2FEWX|39CGEN|489VULN|5MDPS|6RCR|7DMSP|9BPWR|aASPD
147	62322 26261	   	185.47	DCR|3VULN|1MDPS|2CDMG|1DMG	19CDMG|2FEWX|389VULN|49MLV|5MDPS|6RCR|7RCVC|9BPWR|aDMG
148	62352 23261	   	185.47	DCR|3VULN|1MDPS|2CDMG|1DMG	19CDMG|2FEWX|389VULN|49CGEN|5MDPS|6RCR|7DMSP|9BPWR|aDMG
149	11513 12366	   	185.35	DCR|3VULN|1DMG|1CDMG|2DUR|1SELL	1SELL|2DMG|346VULN|56DUR|6BPWR|7AME|8BEXP|9RCR|aCDMG
150	65112 22261	   	185.27	DCR|3VULN|1MDPS|2CDMG|1DMG	19CDMG|27DUST|39CGEN|489VULN|5MDPS|6RCR|9BPWR|aDMG
151	62212 23261	   	185.27	DCR|3VULN|1MDPS|2CDMG|1DMG	19CDMG|2FEWX|39ERES|489VULN|5MDPS|6RCR|7DMSP|9BPWR|aDMG
152	62212 23264	   	185.27	DCR|3VULN|1MDPS|2CDMG|1ASPD	19CDMG|2FEWX|39ERES|489VULN|5MDPS|6RCR|7DMSP|9BPWR|aASPD
153	11362 12643	 * 	185.08	DCR|2AART|2DMG|2ASPD|1SELL	1SELL|24DMG|35ASPD|6aAART|7LWND|8TLV|9RCR
154	65212 22261	   	185.07	DCR|3VULN|1MDPS|2CDMG|1DMG	19CDMG|27DUST|39ERES|489VULN|5MDPS|6RCR|9BPWR|aDMG
155	64322 23352	 * 	185.05	DCR|1MDPS|2ASPD|1VULN|1AART|2CDMG	1aCDMG|2LWND|3VULN|4MLV|5MDPS|6RCR|79ASPD|8AART
