0	Index      	 *	Score 	Summary	Detail	
112	36444 33853	   	188.22	ACR|1BASARM|2BEXP|1AART	1SNIHEL|2MBVNT|3RCR|4AART|5LWND|68BEXP|7VULN|9BASARM|aFEWX
113	36444 64252	 * 	188.17	ACR|2ASPD|2AART|2VULN|1CDMG	18SNIHEL|2MBVNT|3RCR|49AART|5LWND|68VULN|78ASPD|8BPWR|aCDMG
114	36444 33852	   	188.12	ACR|1BASARM|2BEXP|1AART	1SNIHEL|2MBVNT|3RCR|4AART|5LWND|68BEXP|7VULN|9BASARM|aDUST
115	36444 33854	   	188.12	ACR|1BASARM|2BEXP|1AART	1SNIHEL|2MBVNT|3RCR|4AART|5LWND|68BEXP|7VULN|9BASARM|aLEGI
116	36441 64216	   	188.07	ACR|2ASPD|2AART|2VULN|1CDMG	18SNIHEL|2MBVNT|3RCR|4aAART|5DUST|68VULN|78ASPD|8BPWR|9CDMG
117	36441 64252	   	188.07	ACR|2ASPD|2AART|2VULN|1CDMG	18SNIHEL|2MBVNT|3RCR|49AART|5DUST|68VULN|78ASPD|8BPWR|aCDMG
118	13263 22526	   	188.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LIT|2BEXP|3DMG|4RCR|5ZMB|6FEWX|7DLOT|8RPLT|9ASPD|aBASARM
119	36445 14332	   	188.00	ACR|1BASARM|2CDMG|1AART|1AAC	1SNIHEL|2MBVNT|3RCR|4AART|5AAC|67CDMG|8BASARM|9VULN|aCGEN
120	36445 14334	   	188.00	ACR|1BASARM|2CDMG|1AART|1AAC	1SNIHEL|2MBVNT|3RCR|4AART|5AAC|67CDMG|8BASARM|9VULN|aFEWX
121	36445 14335	   	188.00	ACR|1BASARM|2CDMG|1AART|1AAC	1SNIHEL|2MBVNT|3RCR|4AART|5AAC|67CDMG|8BASARM|9VULN|aLHND
122	36445 14331	   	187.90	ACR|1BASARM|2CDMG|1AART|1AAC	1SNIHEL|2MBVNT|3RCR|4AART|5AAC|67CDMG|8BASARM|9VULN|aTLV
123	36445 14333	   	187.90	ACR|1BASARM|2CDMG|1AART|1AAC	1SNIHEL|2MBVNT|3RCR|4AART|5AAC|67CDMG|8BASARM|9VULN|aMULARM
124	36445 14336	   	187.90	ACR|1BASARM|2CDMG|1AART|1AAC	1SNIHEL|2MBVNT|3RCR|4AART|5AAC|67CDMG|8BASARM|9VULN|aAME
125	36445 14337	   	187.90	ACR|1BASARM|2CDMG|1AART|1AAC	1SNIHEL|2MBVNT|3RCR|4AART|5AAC|67CDMG|8BASARM|9VULN|aERES
126	36445 14338	   	187.90	ACR|1BASARM|2CDMG|1AART|1AAC	1SNIHEL|2MBVNT|3RCR|4AART|5AAC|67CDMG|8BASARM|9VULN|aDUST
127	21436 11335	 * 	187.86	ACR|3DMG|2BEXP|2CDMG	1aMLV|25aDMG|39LIT|4RCR|68CDMG|7aBEXP|aBPWR
128	36232 35354	   	187.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1SNIHEL|2MBVNT|3DUR|4RCR|5MDPS|6ASPD|7BASARM|8CDMG|9MLV|aDMG
129	36232 33267	   	187.72	ACR|1BASARM|1ASPD|1DMG|1BEXP	1SNIHEL|2MBVNT|3DUR|4RCR|5MDPS|6ASPD|7BEXP|8AME|9DMG|aBASARM
130	36232 33367	   	187.72	ACR|1BASARM|1ASPD|1DMG|1BEXP	1SNIHEL|2MBVNT|3DUR|4RCR|5MDPS|6ASPD|7BEXP|8ERES|9DMG|aBASARM
131	36232 35314	   	187.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1SNIHEL|2MBVNT|3DUR|4RCR|5MDPS|6ASPD|7BASARM|8CDMG|9AEMAG|aDMG
132	36232 35338	   	187.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1SNIHEL|2MBVNT|3DUR|4RCR|5MDPS|6ASPD|7BASARM|8CDMG|9DUST|aDMG
133	13262 26163	 * 	187.66	ACR|3DMG|2BEXP|2VULN	1LIT|29BEXP|36aDMG|4RCR|5DUR|78VULN
134	12243 24217	   	187.48	ACR|1BASARM|2DMG|1AART	1LIT|2LWND|3MBVNT|4LHND|5RCR|69DMG|7AART|8BASARM|aVULN
