0	Index      	 *	Score 	Summary	Detail	
131	23425 34112	 * 	195.32	DCR|4VULN|1AART|1DMG	156aVULN|2aTLV|3LIT|4DMG|7AART|8aLHND|9RCR|aBPWR
132	63114 11251	 * 	195.32	DCR|4VULN|2CDMG|1ASPD	1LWND|268aVULN|3BEXP|4ASPD|56CDMG|6BPWR|7AME|9RCR
133	63114 13251	   	195.32	DCR|4VULN|2CDMG|1ASPD	1LWND|268aVULN|3BEXP|4ASPD|56CDMG|6BPWR|7CGEN|9RCR
134	25342 12252	   	195.27	DCR|2VULN|2ASPD|1DMG|1CDMG	1aVULN|2BEXP|36ASPD|4CDMG|57RCVC|8RCR|9DMG
135	23425 34313	   	195.22	DCR|4VULN|1AART|1DMG	156aVULN|2TLV|3LIT|4DMG|7AART|8BEXP|9RCR
136	22342 16252	   	195.20	DCR|2VULN|2ASPD|1DMG|1CDMG	1aVULN|2LHND|36ASPD|4CDMG|5RCVC|7RCR|8DMSP|9DMG
137	22254 11318	   	195.16	DCR|3VULN|2DMG|1AART	189VULN|29LHND|3AME|4LIT|5AART|6MBVNT|79DMG|9BPWR|aRCR
138	35163 32142	   	195.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1CGEN|26DMG|3ASPD|4CDMG|5MLV|7AART|8VULN|9RCR|aLHND
139	35163 32143	   	195.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1CGEN|26DMG|3ASPD|4CDMG|5MLV|7AART|8VULN|9RCR|aBEXP
140	22342 16412	   	195.10	DCR|2VULN|2ASPD|1DMG|1CDMG	1aVULN|2LHND|36ASPD|4CDMG|5RCVC|7RCR|8TLV|9DMG
141	21362 62163	   	195.06	DCR|3DMG|2VULN|1ASPD|1AAC	19VULN|29LWND|3ASPD|48ERES|5AAC|69aDMG|7RCR|9BPWR
142	22342 31551	   	194.77	DCR|2VULN|2DMG|1ASPD|1CDMG	18VULN|28LHND|3ASPD|4CDMG|5RCVC|68DMG|7RPLT|8BPWR|9RCR|aFEWX
143	35113 32144	 * 	194.74	DCR|2AART|2DMG|1VULN|1ASPD|1SELL	1CGEN|26DMG|3ASPD|4SELL|5MLV|7aAART|8VULN|9RCR
144	22441 36111	   	194.68	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	13aVULN|235LHND|3BPWR|4CDMG|6ASPD|7RCR|8DUR|9ZMB
145	25314 32321	   	194.58	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	14aVULN|28BEXP|3ASPD|5ZMB|6DUR|7RCR|9CDMG
146	21143 32365	   	194.53	DCR|4VULN|2DMG|1AAC	1489VULN|2LWND|39BEXP|5AAC|69DMG|7RCR|9BPWR|aRCVC
147	26143 32377	   	194.46	DCR|3DMG|2VULN|1CDMG	19VULN|2ERES|3MBVNT|4RCVC|59LWND|689DMG|7RCR|9BPWR|aCDMG
148	25314 32632	   	194.18	DCR|4VULN|1ASPD|1ZMB|1DUR	149aVULN|2BEXP|3ASPD|5ZMB|6DUR|7RCR|8LWND
149	22441 33252	   	194.11	DCR|3VULN|1ASPD|1DMG|1CDMG	13aVULN|2357LHND|3BPWR|4CDMG|6ASPD|8RCR|9DMG
150	21313 64252	   	194.01	DCR|3VULN|1ASPD|1DMG|1CDMG	14aVULN|25LWND|3ASPD|6DMSP|7CDMG|8RCR|9DMG
151	21233 12516	   	193.98	DCR|3VULN|1AART|1DMG|1DUR	18aVULN|2LWND|3aAME|4DUR|5AART|6RCR|7DMG|9aLIT|aBPWR
152	22233 12516	   	193.98	DCR|3VULN|1AART|1DMG|1DUR	18aVULN|2LHND|3aAME|4DUR|5AART|6RCR|7DMG|9aLIT|aBPWR
