0	Index      	Bounty	 *	Score 	Summary	Detail	
148	56232 31141	3	   	241.44	DCR|3VULN|2DMG|1DUR|1CDMG|1SELL	1SELL|237LWND|4CDMG|57DMG|67aVULN|7BPWR|8RCR|9DUR
149	56332 31141	2	   	241.44	DCR|3VULN|2DMG|1DUR|1CDMG|1SELL	1SELL|237LWND|4CDMG|57DMG|67aVULN|7BPWR|8RCR|9DUR
150	21123 12441	2	   	241.35	DCR|4VULN|1TLV|3LIT	167LIT|2LWND|37LHND|467aVULN|5RPLT|67BPWR|8RCR|9TLV
151	21323 12441	2	   	241.35	DCR|4VULN|1TLV|3LIT	167LIT|2LWND|37BEXP|467aVULN|5RPLT|67BPWR|8RCR|9TLV
152	21523 12441	3	   	241.35	DCR|4VULN|1TLV|3LIT	167LIT|2LWND|37BEXP|467aVULN|5RPLT|67BPWR|8RCR|9TLV
153	21623 12441	2	   	241.35	DCR|4VULN|1TLV|3LIT	167LIT|2LWND|37FEWX|467aVULN|5RPLT|67BPWR|8RCR|9TLV
154	23123 12441	2	   	241.35	DCR|4VULN|1TLV|3LIT	167LIT|2FEWX|37LHND|467aVULN|5RPLT|67BPWR|8RCR|9TLV
155	26123 12441	2	   	241.35	DCR|4VULN|1TLV|3LIT	167LIT|2BEXP|37LHND|467aVULN|5RPLT|67BPWR|8RCR|9TLV
156	21121 13252	1	   	241.30	DCR|2VULN|2DUR|1TLV|1DMG|2LIT	15LIT|28DUR|3LHND|45VULN|5BPWR|6LWND|7RCR|9DMG|aTLV
157	21621 13252	1	   	241.30	DCR|2VULN|2DUR|1TLV|1DMG|2LIT	15LIT|28DUR|3FEWX|45VULN|5BPWR|6LWND|7RCR|9DMG|aTLV
158	51635 22331	3	   	241.25	DCR|4VULN|1DUR|1CDMG|1SELL	1SELL|2DUR|3456VULN|7ASPD|8LIT|9CDMG|aRCR
159	63823 12741	2	   	241.25	DCR|4VULN|1TLV|3LIT	17BEXP|2MBVNT|367LIT|467aVULN|5RPLT|67BPWR|8TLV|9RCR
