0	Index      	 *	Score 	Summary	Detail	
129	63133 53632	   	176.37	DCR|3DMG|2VULN|1AART	1RPLT|27VULN|367DMG|4AART|57LIT|7BPWR|8BEXP|9RCR|aRCVC
130	63134 31135	   	176.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RPLT|26VULN|3DMG|4AART|5RCR|7FEWX|8ZMB|9CDMG|aDUR
131	63134 33132	   	176.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RPLT|26VULN|3DMG|4AART|5RCR|7DUR|8ZMB|9CDMG|aCGEN
132	63134 33133	   	176.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RPLT|26VULN|3DMG|4AART|5RCR|7DUR|8ZMB|9CDMG|aDMSP
133	63134 33136	   	176.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RPLT|26VULN|3DMG|4AART|5RCR|7DUR|8ZMB|9CDMG|aBEXP
134	63134 33131	   	175.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RPLT|26VULN|3DMG|4AART|5RCR|7DUR|8ZMB|9CDMG|aERES
135	22333 54162	 * 	175.88	ACR|2VULN|2DMG|3ASPD|1CDMG|1DUR	189ASPD|2BELT|3CDMG|4RMIN|5RCR|69VULN|79DMG|9BPWR|aDUR
136	63134 11231	 * 	175.86	ACR|2AART|2VULN|1DMG|2CDMG	1RPLT|27VULN|3DMG|49AART|5RCR|6LIT|8aCDMG
137	33315 22251	   	175.81	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1CANSTR|2AART|3DMG|4RMIN|58DUR|6RCR|7aVULN|9CDMG
138	63134 11223	   	175.41	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1RPLT|27VULN|3DMG|4AART|5RCR|6LIT|89CDMG|aZMB
139	63131 34224	   	175.20	DCR|2AART|2VULN|2DMG|1DUR	18RPLT|26VULN|37DMG|49AART|5DUR|aRCR
140	63133 53631	   	175.07	DCR|3DMG|2VULN|1AART	1RPLT|27VULN|367DMG|4AART|57LIT|7BPWR|8aBEXP|9RCR
141	33411 22563	   	174.82	DCR|2AART|2DMG|1VULN|1CDMG	1CANSTR|28AART|3VULN|47TLV|5aDMG|6RCR|9CDMG
142	63134 34222	   	174.78	ACR|2AART|2VULN|2DMG	18RPLT|26VULN|37DMG|49AART|5RCR|aRCVC
143	33364 36212	   	174.58	ACR|2AART|2VULN|2DMG	1CANSTR|29AART|37DMG|48VULN|5RCR|6CGEN|aRMIN
144	33411 24151	   	174.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CANSTR|2AART|3aVULN|4TLV|5DMG|6RCR|7CGEN|8ZMB|9CDMG
145	33461 22151	   	174.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CANSTR|2AART|3aVULN|4MLV|5DMG|6RCR|7TLV|8ZMB|9CDMG
146	33561 22151	   	174.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CANSTR|2AART|3MLV|4aVULN|5DMG|6RCR|7TLV|8ZMB|9CDMG
147	33345 24322	   	174.45	DCR|2VULN|2DMG|1AART|1DUR	1CANSTR|2AART|3aDMG|4TLV|5DUR|6RCR|7aCGEN|8ERES|9aVULN|aBPWR
148	33315 22524	   	174.42	DCR|3VULN|1AART|1DMG|1DUR	1CANSTR|2AART|3DMG|4RMIN|5DUR|6RCR|79aVULN|8RCVC
149	33363 22151	   	174.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CANSTR|2AART|3DMG|4aVULN|5ERES|6RCR|7TLV|8ZMB|9CDMG
150	33363 26232	   	174.35	DCR|2VULN|2DMG|1AART|1DUR	1CANSTR|2AART|37DMG|48VULN|5ERES|6RCR|9CGEN|aDUR
151	33363 26233	   	174.35	DCR|2VULN|2DMG|1AART|1ASPD	1CANSTR|2AART|37DMG|48VULN|5ERES|6RCR|9CGEN|aASPD
152	33411 26232	   	174.35	DCR|2VULN|2DMG|1AART|1DUR	1CANSTR|2AART|38VULN|4TLV|57DMG|6RCR|9MLV|aDUR
153	33411 26233	   	174.35	DCR|2VULN|2DMG|1AART|1ASPD	1CANSTR|2AART|38VULN|4TLV|57DMG|6RCR|9MLV|aASPD
154	33461 26222	   	174.35	DCR|2VULN|2DMG|1AART|1DUR	1CANSTR|2AART|38VULN|4MLV|57DMG|6RCR|9ERES|aDUR
155	33461 26223	   	174.35	DCR|2VULN|2DMG|1AART|1ASPD	1CANSTR|2AART|38VULN|4MLV|57DMG|6RCR|9ERES|aASPD
156	33461 26232	   	174.35	DCR|2VULN|2DMG|1AART|1DUR	1CANSTR|2AART|38VULN|4MLV|57DMG|6RCR|9TLV|aDUR
157	33461 26233	   	174.35	DCR|2VULN|2DMG|1AART|1ASPD	1CANSTR|2AART|38VULN|4MLV|57DMG|6RCR|9TLV|aASPD
158	33561 26222	   	174.35	DCR|2VULN|2DMG|1AART|1DUR	1CANSTR|2AART|3MLV|48VULN|57DMG|6RCR|9ERES|aDUR
159	33561 26223	   	174.35	DCR|2VULN|2DMG|1AART|1ASPD	1CANSTR|2AART|3MLV|48VULN|57DMG|6RCR|9ERES|aASPD
160	33561 26232	   	174.35	DCR|2VULN|2DMG|1AART|1DUR	1CANSTR|2AART|3MLV|48VULN|57DMG|6RCR|9TLV|aDUR
161	33561 26233	   	174.35	DCR|2VULN|2DMG|1AART|1ASPD	1CANSTR|2AART|3MLV|48VULN|57DMG|6RCR|9TLV|aASPD
162	33345 22163	   	174.25	DCR|2VULN|2DMG|1AART|1DUR	19CANSTR|2AART|39DMG|4aTLV|5DUR|6RCR|79VULN|8LEGI|9BPWR
163	33341 22161	   	174.25	DCR|2VULN|2DMG|1AART|1ASPD	19CANSTR|2AART|39DMG|4TLV|5DUST|6RCR|79VULN|8LEGI|9BPWR|aASPD
164	33341 22165	   	174.25	DCR|2VULN|2DMG|1AART|1DUR	19CANSTR|2AART|39DMG|4TLV|5DUST|6RCR|79VULN|8LEGI|9BPWR|aDUR
165	33363 26252	   	174.25	DCR|2VULN|2DMG|1AART|1DUR	1CANSTR|2AART|37DMG|48VULN|5ERES|6RCR|9TLV|aDUR
166	33363 26253	   	174.25	DCR|2VULN|2DMG|1AART|1ASPD	1CANSTR|2AART|37DMG|48VULN|5ERES|6RCR|9TLV|aASPD
167	33411 26222	   	174.25	DCR|2VULN|2DMG|1AART|1DUR	1CANSTR|2AART|38VULN|4TLV|57DMG|6RCR|9ERES|aDUR
168	33411 26223	   	174.25	DCR|2VULN|2DMG|1AART|1ASPD	1CANSTR|2AART|38VULN|4TLV|57DMG|6RCR|9ERES|aASPD
169	63134 11521	 * 	174.20	ACR|4VULN|1AART|1DMG	1RPLT|2789VULN|3DMG|4AART|5RCR|6aLIT
170	63134 11522	   	174.20	ACR|4VULN|1AART|1DMG	1aRPLT|2789VULN|3DMG|4AART|5RCR|6LIT
171	63134 11523	   	174.20	ACR|4VULN|1AART|1DMG	1RPLT|2789VULN|3DMG|4AART|5RCR|6LIT|aLHND
