0	Index      	 *	Score 	Summary	Detail	
98	13611 61253	   	180.16	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	17ASPD|2DUR|37VULN|47LHND|5RPLT|6RCR|7BPWR|8DMG|9AART|aCDMG
99	43315 35132	 * 	179.87	DCR|3VULN|3DMG|3DUR	17aDMG|257DUR|3LIT|4ERES|678VULN|7BPWR|9RCR
100	23611 33421	   	179.67	DCR|3VULN|1AART|2FLTHEA|2ASPD|1DUR	17FLTHEA|2DUR|37ASPD|467VULN|5AART|7BPWR|8RCR|9LWND|aBELT
101	23611 33423	   	179.67	DCR|3VULN|1AART|2FLTHEA|2ASPD|1DUR	17FLTHEA|2DUR|37ASPD|467VULN|5AART|7BPWR|8RCR|9LWND|aLIT
102	23611 33432	   	179.67	DCR|3VULN|1AART|2FLTHEA|2ASPD|1DUR	17FLTHEA|2DUR|37ASPD|467VULN|5AART|7BPWR|8RCR|9BELT|aLWND
103	23611 33434	   	179.67	DCR|3VULN|1AART|2FLTHEA|2ASPD|1DUR	17FLTHEA|2DUR|37ASPD|467VULN|5AART|7BPWR|8RCR|9BELT|aLHND
104	23611 33443	   	179.67	DCR|3VULN|1AART|2FLTHEA|2ASPD|1DUR	17FLTHEA|2DUR|37ASPD|467VULN|5AART|7BPWR|8RCR|9RCVC|aLIT
105	23611 33461	   	179.67	DCR|3VULN|1AART|2FLTHEA|2ASPD|1DUR	17FLTHEA|2DUR|37ASPD|467VULN|5AART|7BPWR|8RCR|9BEXP|aRCVC
106	23611 33462	   	179.67	DCR|3VULN|1AART|2FLTHEA|2ASPD|1DUR	17FLTHEA|2DUR|37ASPD|467VULN|5AART|7BPWR|8RCR|9BEXP|aMLV
107	23611 33463	   	179.67	DCR|3VULN|1AART|2FLTHEA|2ASPD|1DUR	17FLTHEA|2DUR|37ASPD|467VULN|5AART|7BPWR|8RCR|9BEXP|aLHND
108	23611 33425	   	179.57	DCR|3VULN|1AART|2FLTHEA|2ASPD|1DUR	17FLTHEA|2DUR|37ASPD|467VULN|5AART|7BPWR|8RCR|9LWND|aERES
109	23611 33433	   	179.57	DCR|3VULN|1AART|2FLTHEA|2ASPD|1DUR	17FLTHEA|2DUR|37ASPD|467VULN|5AART|7BPWR|8RCR|9BELT|aDUST
110	25611 33411	   	179.57	DCR|3VULN|1AART|2FLTHEA|2ASPD|1DUR	17FLTHEA|2DUST|37ASPD|467VULN|5AART|7BPWR|8RCR|9DUR|aRCVC
111	25611 33412	   	179.57	DCR|3VULN|1AART|2FLTHEA|2ASPD|1DUR	17FLTHEA|2DUST|37ASPD|467VULN|5AART|7BPWR|8RCR|9DUR|aMLV
112	25611 33413	   	179.57	DCR|3VULN|1AART|2FLTHEA|2ASPD|1DUR	17FLTHEA|2DUST|37ASPD|467VULN|5AART|7BPWR|8RCR|9DUR|aLHND
