0	Index      	 *	Score 	Summary	Detail	
87	45314 83343	   	197.92	ACR|1BASARM|1ASPD|1DMG|1AART	1LIT|2RCR|3MBVNT|4CGEN|5ASPD|6DMG|7BASARM|8DUST|9AART|aMLV
88	45323 41644	   	197.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LIT|2RCR|3MBVNT|4AIRHEL|5ERES|6BASARM|7RCVC|8ASPD|9BEXP|aDMG
89	45343 24218	   	197.45	ACR|1BASARM|2AART|1CDMG|1BEXP	1LIT|2RCR|3MBVNT|4AEFBLL|5CDMG|6BASARM|7ERES|89AART|aBEXP
90	34314 22612	 * 	197.12	ACR|2BASARM|1ASPD|1DMG|1AAC|1SELL	1AAC|2SELL|37LIT|4RCR|5ASPD|6aBASARM|8RPLT|9DMG
91	34314 24232	   	196.61	ACR|1BASARM|1ASPD|1AART|1BEXP|1AAC|1SELL	1AAC|2SELL|3LIT|4RCR|5ASPD|6BASARM|7AME|8AART|9VULN|aBEXP
92	34314 22234	   	196.18	ACR|1BASARM|1ASPD|1DMG|1AART|1AAC|1SELL	1AAC|2SELL|37LIT|4RCR|5ASPD|6BASARM|8LHND|9AART|aDMG
93	34314 23361	   	196.08	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC|1SELL	1AAC|2SELL|3aLIT|4RCR|5ASPD|6BASARM|7MDPS|8DMG|9BEXP
94	34314 23362	   	196.08	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC|1SELL	1AAC|2SELL|3LIT|4RCR|5ASPD|6BASARM|7MDPS|8DMG|9BEXP|aFEWX
95	35416 11222	   	196.00	ACR|1BASARM|2BEXP|1ASPD|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|67FEWX|8DUST|9aBEXP
96	34314 23313	   	195.84	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC|2SELL	1AAC|29SELL|3LIT|4RCR|5ASPD|6BASARM|7MDPS|8DMG|aBEXP
97	34534 22312	 * 	195.70	ACR|2BASARM|1ASPD|1CDMG|1AAC|1SELL	1AAC|2SELL|3RCR|479LIT|5ASPD|69BASARM|89AME|9BPWR|aCDMG
98	34512 16112	   	195.70	ACR|1BASARM|1DMG|2AAC|1AART|1SELL	1aAAC|2SELL|3RCR|4DUST|5MULARM|6DMG|7BASARM|8AART|9VULN
99	35412 21116	   	195.51	ACR|1BASARM|2BEXP|1ASPD|1AAC|2SELL	1AAC|2DLOT|3RCR|4ASPD|57BEXP|6MDPS|89SELL|aBASARM
100	45343 25444	   	195.34	ACR|1BASARM|2ASPD|1CDMG	1LIT|2RCR|3MBVNT|4AEFBLL|5CDMG|6BASARM|7AME|8aASPD|9BELT
101	34534 23332	   	195.28	ACR|1BASARM|1ASPD|1DMG|2AAC|1SELL	1aAAC|2SELL|3RCR|4LIT|5ASPD|6BASARM|7MDPS|8DMG|9RPLT
102	35416 21111	   	194.91	ACR|1BASARM|1ASPD|1CDMG|1AART|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7RMIN|8RCVC|9AART|aDUR
103	35416 22112	   	194.91	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7LHND|8CGEN|9RMIN|aBEXP
104	35416 22122	   	194.91	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7LHND|8CGEN|9LIT|aBEXP
105	35416 22211	   	194.91	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7aLHND|8FEWX|9BEXP
106	35416 22213	   	194.91	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7LHND|8FEWX|9BEXP|aDUR
107	35416 22221	   	194.91	ACR|1BASARM|1ASPD|1CDMG|1AART|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7LHND|8FEWX|9AART|aCGEN
108	35416 22223	   	194.91	ACR|1BASARM|1ASPD|1CDMG|1AART|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7LHND|8FEWX|9AART|aMLV
109	35416 23111	   	194.91	ACR|1BASARM|1ASPD|1CDMG|1AART|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7ZMB|8RCVC|9AART|aDUR
110	35416 23311	   	194.91	ACR|1BASARM|1ASPD|1CDMG|1AART|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|78ZMB|9AART|aDUR
111	35416 23323	   	194.91	ACR|1BASARM|1ASPD|1CDMG|1AART|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|789ZMB|aAART
112	44113 13413	   	194.83	ACR|1BASARM|2BEXP|1ASPD	1LIT|28DUR|3RCR|4CGEN|56BEXP|7BASARM|9ASPD|aVULN
113	44113 13613	   	194.83	ACR|1BASARM|2BEXP|1ASPD	1LIT|2DUR|3RCR|4CGEN|56BEXP|7BASARM|8ASPD|9DMSP|aVULN
114	44113 13623	   	194.83	ACR|1BASARM|2BEXP|1ASPD	1LIT|2DUR|3RCR|49CGEN|56BEXP|7BASARM|8ASPD|aVULN
115	35416 13211	   	194.81	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6FEWX|7DUST|8CDMG|9BEXP|aLHND
116	35416 21112	   	194.81	ACR|1BASARM|1ASPD|1CDMG|1AART|1AAC	1AAC|2DLOT|3RCR|4ASPD|5BASARM|6CDMG|7RMIN|8RCVC|9AART|aDUST
