0	Index      	 *	Score 	Summary	Detail	
125	62132 16412	   	173.81	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	135VULN|2DUR|4RPLT|6ZMB|7RCR|8CDMG|9ASPD|aDMG
126	62134 15112	   	173.81	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	138VULN|2DUR|4RPLT|5CDMG|6ZMB|7RCR|9ASPD|aDMG
127	12364 53121	   	173.64	DCR|2AART|2DMG|1VULN|2CDMG	1RPLT|2FEWX|3aAART|47DMG|56CDMG|8VULN|9RCR
128	23162 16122	   	173.57	DCR|4VULN|2CDMG|2ZMB|1DUR	19CDMG|2DMSP|3DUR|489aVULN|5NUKE|6RCR|79ZMB|9BPWR
129	11114 42223	   	173.54	DCR|2AART|2DMG|2CDMG|2DUR|1ASPD	1RPLT|26AART|38DMG|4LWND|58CDMG|78DUR|8BPWR|9RCR|aASPD
130	43114 42223	   	173.54	DCR|2AART|2DMG|2CDMG|2DUR|1ASPD	18DMG|26AART|3RPLT|4LWND|58CDMG|78DUR|8BPWR|9RCR|aASPD
131	25633 32162	   	173.54	DCR|2AART|2DMG|1VULN|2CDMG	16CDMG|2BASICY|35AART|4VULN|7aDMG|8LWND|9RCR
132	24322 55112	 * 	173.45	DCR|3DMG|2VULN|1CDMG|1ASPD	1CDMG|26aDMG|3LWND|48VULN|5RPLT|7RCR|9ASPD
133	24322 35112	   	173.45	DCR|3VULN|2DMG|1CDMG|1ASPD	1CDMG|2aDMG|3LWND|468VULN|5RPLT|7RCR|9ASPD
134	24622 35112	   	173.45	DCR|3VULN|2DMG|1CDMG|1ASPD	1CDMG|2aDMG|3LHND|468VULN|5RPLT|7RCR|9ASPD
135	24322 55211	   	173.33	DCR|3DMG|1AART|1VULN|1CDMG	1CDMG|269DMG|3aLWND|4VULN|5RPLT|7RCR|8AART
136	24322 55212	   	173.33	DCR|3DMG|1AART|1VULN|1CDMG	1CDMG|269DMG|3LWND|4VULN|5RPLT|7RCR|8AART|aMLV
137	24322 55213	   	173.33	DCR|3DMG|1AART|1VULN|1CDMG	1CDMG|269DMG|3LWND|4VULN|5RPLT|7RCR|8AART|aLHND
138	22521 23216	 * 	173.27	ACR|2VULN|3CDMG|1AART|1FLTHEA|1DUR	167CDMG|2ERES|3RCR|49VULN|5DUR|8AART|aFLTHEA
139	43322 25622	 * 	173.24	DCR|3VULN|1AART|1DMG|2ZMB	1DMG|2AART|3ERES|4LIT|5aZMB|678VULN|9RCR
140	44111 16223	 * 	173.09	DCR|2DMG|1VULN|2CDMG|3DUR|2ZMB	19DMG|289DUR|3RCVC|4VULN|5aCDMG|6RCR|79ZMB|9BPWR
141	44613 12123	   	173.01	DCR|3VULN|1AART|1DMG|2DUR	1DMG|25DUR|348VULN|6RCR|7LIT|9DUST|aAART
142	23162 16123	   	173.00	DCR|3VULN|3ZMB|2CDMG|1DUR	19CDMG|2DMSP|3DUR|489VULN|5NUKE|6RCR|79aZMB|9BPWR
143	44111 22423	   	172.67	DCR|3VULN|2DMG|2CDMG|1DUR	19DMG|2DUR|3RCVC|479VULN|59CDMG|6RMIN|8MBVNT|9BPWR|aRCR
144	25541 31312	   	172.65	DCR|2VULN|2DMG|3CDMG|1ASPD	189CDMG|2BASICY|3BELT|49DMG|59VULN|6RCR|7RPLT|9BPWR|aASPD
145	11434 12611	 * 	172.55	ACR|2AART|2DMG|1VULN|1ZMB|1SELL	1RPLT|2aAART|3RCR|4SELL|59DMG|6TLV|7VULN|8ZMB
146	11434 22611	 * 	172.55	ACR|2AART|2DMG|1VULN|1ZMB|1SELL	1RPLT|2aAART|3RCR|4SELL|59DMG|6ERES|7VULN|8ZMB
147	31122 55133	 * 	172.49	DCR|3VULN|1AART|1DMG|2ASPD|1SELL	1SELL|2LHND|36ASPD|468VULN|5RPLT|6BPWR|7RCR|9AART|aDMG
148	24141 13211	 * 	172.43	DCR|2VULN|3CDMG|1AART|1DMG	137CDMG|2DMG|49VULN|5LHND|6RCR|8AART|aMLV
149	24141 13212	   	172.43	DCR|2VULN|3CDMG|1AART|1DMG	137CDMG|2DMG|49VULN|5LHND|6RCR|8AART|aCGEN
150	24141 13213	   	172.43	DCR|2VULN|3CDMG|1AART|1DMG	137CDMG|2DMG|49VULN|5aLHND|6RCR|8AART
151	24141 13214	   	172.43	DCR|2VULN|3CDMG|1AART|1DMG	137CDMG|2DMG|49VULN|5LHND|6RCR|8AART|aBEXP
152	24141 13215	   	172.43	DCR|2VULN|3CDMG|1AART|1DMG	137CDMG|2DMG|49VULN|5LHND|6RCR|8AART|aFEWX
153	24141 13216	   	172.43	DCR|2VULN|3CDMG|1AART|1DMG	137CDMG|2DMG|49VULN|5LHND|6RCR|8AART|aMGNLIT
154	24141 13263	 * 	172.43	DCR|2DMG|3CDMG|1AART|1VULN	137CDMG|2aDMG|4VULN|5LHND|6RCR|8AART|9LIT
155	36121 23323	   	172.37	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1SELL	1SELL|2BEXP|3ASPD|4VULN|5AART|6CDMG|7aDMG|8ZMB|9RCR
156	44611 11331	   	172.37	DCR|4VULN|1DMG|1CDMG|1DUR	1DMG|2DUR|348aVULN|5CDMG|6RCR|7LIT|9FEWX
157	44611 12111	   	172.37	DCR|4VULN|1DMG|1CDMG|1DUR	1DMG|2DUR|348aVULN|5CDMG|6RCR|7CGEN|9BEXP
158	44611 12121	   	172.37	DCR|4VULN|1DMG|1CDMG|1DUR	1DMG|2DUR|348aVULN|5CDMG|6RCR|7CGEN|9LWND
159	44611 12131	   	172.37	DCR|4VULN|1DMG|1CDMG|1DUR	1DMG|2DUR|3489VULN|5CDMG|6RCR|7CGEN|aLHND
160	42611 12136	   	172.37	DCR|4VULN|1DMG|1CDMG|1DUR	1DMG|2FEWX|3489VULN|5CDMG|6RCR|7CGEN|aDUR
161	42611 12161	   	172.37	DCR|4VULN|1DMG|1CDMG|1DUR	1DMG|2FEWX|348aVULN|5CDMG|6RCR|7CGEN|9DUR
162	42611 12261	   	172.37	DCR|4VULN|1DMG|1CDMG|1DUR	1DMG|2FEWX|349aVULN|5CDMG|6RCR|7CGEN|8DUR
163	44111 12132	   	172.37	DCR|4VULN|1DMG|1CDMG|1DUR	1DMG|2DUR|3RCVC|489aVULN|5CDMG|6RCR|7CGEN
164	21116 62423	   	172.35	DCR|4VULN|2CDMG|2DUR|1ZMB|1ASPD	19CDMG|29DUR|3ASPD|4ZMB|5679VULN|8MBVNT|9BPWR|aRCR
165	24141 13225	   	172.33	DCR|2VULN|3CDMG|1AART|1DMG	137CDMG|2DMG|4aVULN|5LHND|6RCR|8AART|9SNIHEL
