0	Index      	Bounty	 *	Score 	Summary	Detail	
107	31155 31212	2	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2RPLT|35DUR|45VULN|5BPWR|6TLV|7LEGI|8aDMG|9RCR
108	31155 35212	2	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2RPLT|35DUR|45VULN|5BPWR|6TLV|7DUST|8aDMG|9RCR
109	31325 31212	2	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2RPLT|35VULN|45DUR|5BPWR|6TLV|7LEGI|8aDMG|9RCR
110	31325 35212	2	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2RPLT|35VULN|45DUR|5BPWR|6TLV|7DUST|8aDMG|9RCR
111	31355 31212	3	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2RPLT|35DUR|45VULN|5BPWR|6TLV|7LEGI|8aDMG|9RCR
112	31355 35212	3	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2RPLT|35DUR|45VULN|5BPWR|6TLV|7DUST|8aDMG|9RCR
113	31525 31212	3	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2RPLT|35VULN|45DUR|5BPWR|6TLV|7LEGI|8aDMG|9RCR
114	31525 35212	3	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2RPLT|35VULN|45DUR|5BPWR|6TLV|7DUST|8aDMG|9RCR
115	41155 31212	2	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1FEWX|2RPLT|35DUR|45VULN|5BPWR|6TLV|7LEGI|8aDMG|9RCR
116	41325 31212	2	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1FEWX|2RPLT|35VULN|45DUR|5BPWR|6TLV|7LEGI|8aDMG|9RCR
117	41325 35212	2	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1FEWX|2RPLT|35VULN|45DUR|5BPWR|6TLV|7DUST|8aDMG|9RCR
118	41525 31212	3	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1FEWX|2RPLT|35VULN|45DUR|5BPWR|6TLV|7LEGI|8aDMG|9RCR
119	61223 21663	7	   	243.78	DCR|3VULN|1TLV|3ASPD|1DMG	1TLV|26aASPD|3DMG|4DUST|56aVULN|6aBPWR|7ZMB|8aERES|9RCR
120	61223 25125	9	   	243.78	DCR|3VULN|1TLV|3ASPD|1DMG	1TLV|267ASPD|3DMG|4DUST|569VULN|6BPWR|8CGEN|aRCR
121	61323 22525	6	   	243.78	DCR|3VULN|1TLV|3ASPD|1DMG	1TLV|267ASPD|3CGEN|4DUST|568VULN|6BPWR|9DMG|aRCR
122	61223 25225	9	   	243.68	DCR|3VULN|1TLV|3ASPD|1DMG	1TLV|267ASPD|3DMG|4DUST|569VULN|6BPWR|8ERES|aRCR
123	61211 32156	5	   	243.56	DCR|2VULN|2DMG|1TLV|1CDMG	1TLV|2ASPD|39DMG|49BEXP|5LHND|69VULN|7LIT|8CDMG|9BPWR|aRCR
124	61221 32156	5	   	243.36	DCR|2VULN|2DMG|1TLV|1CDMG	1TLV|2ASPD|39DMG|49DUST|5LHND|69VULN|7LIT|8CDMG|9BPWR|aRCR
125	61222 32156	5	   	243.36	DCR|2VULN|2DMG|1TLV|1CDMG	1TLV|2ASPD|39DMG|49DUST|5BEXP|69VULN|7LIT|8CDMG|9BPWR|aRCR
126	61221 32652	3	 * 	243.08	ACR|2VULN|2DMG|2TLV|2DUR|2LIT	19TLV|2ASPD|39DMG|4aDUR|5RCR|68VULN|79LIT|9BPWR
127	63311 41352	6	   	242.83	DCR|2VULN|2TLV|2DUR|2CDMG	19TLV|2LIT|39VULN|48DUR|5FEWX|6RCR|79CDMG|9BPWR|aRCVC
128	62262 35134	1	   	242.73	DCR|2VULN|2TLV|2DUR|1DMG	17TLV|2DMG|37DUR|4TBNT|5MBVNT|67VULN|7BPWR|8LIT|9FEWX|aRCR
129	23611 34412	5	   	242.73	DCR|2VULN|2TLV|2DUR|1DMG	1CGEN|2LIT|39TLV|46VULN|5aDUR|7RCR|8DMG
130	23613 34412	4	   	242.73	DCR|2VULN|2TLV|2DUR|1DMG	1CGEN|2LIT|39TLV|46VULN|5aDUR|7RCR|8DMG
131	63261 23352	2	 * 	242.63	DCR|3VULN|2TLV|3CDMG|1NUKE	19TLV|2LIT|39aCDMG|4RPLT|5NUKE|689VULN|7RCR|9BPWR
132	26252 33225	9	   	242.40	DCR|4VULN|2DMG|1AART	17CGEN|2RPLT|3ERES|479aVULN|5AART|67DMG|7BPWR|8RCR
133	26252 33235	8	   	242.40	DCR|4VULN|2DMG|1AART	17CGEN|2RPLT|3ERES|479aVULN|5AART|67DMG|7BPWR|8RCR
134	63332 52125	10	   	242.16	DCR|3VULN|1TLV|1DMG|1CDMG	1TLV|2LIT|37aVULN|4CDMG|5BEXP|6RCR|8RCVC|9DMG
135	63311 41631	6	   	242.02	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2LIT|38VULN|4DUR|5FEWX|6RCR|7CDMG|9DMG|aASPD
136	63332 53115	8	   	242.02	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2LIT|38VULN|4CDMG|5BEXP|6RCR|7ASPD|9DMG|aDUR
137	63333 53115	8	   	242.02	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2LIT|38VULN|4CDMG|5FEWX|6RCR|7ASPD|9DMG|aDUR
138	63335 52231	8	   	241.92	DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2LIT|37VULN|4CDMG|5LEGI|6RCR|8DUR|9DMG|aASPD
139	63332 52335	8	   	241.80	DCR|2VULN|2DMG|1TLV|2LIT|1CDMG	1TLV|2aLIT|37VULN|4CDMG|5aBEXP|6RCR|8LHND|9aDMG|aBPWR
140	63333 52335	8	   	241.80	DCR|2VULN|2DMG|1TLV|2LIT|1CDMG	1TLV|2aLIT|37VULN|4CDMG|5aFEWX|6RCR|8LHND|9aDMG|aBPWR
141	62212 41221	1	   	241.70	DCR|2VULN|2TLV|1DMG|1DUR|1CDMG	15TLV|2DMG|3DUR|4LIT|6CDMG|78VULN|9DUST|aRCR
142	63332 21121	4	   	241.70	DCR|2VULN|2TLV|1DMG|1DUR|1CDMG	15TLV|2LIT|36VULN|4CDMG|7DMG|8DUR|9DUST|aRCR
143	61223 21626	10	   	241.56	DCR|2VULN|1TLV|1DMG|2ASPD|1DUR|1CDMG	1TLV|26ASPD|3DMG|4DUST|56VULN|6BPWR|7ZMB|8CDMG|9DUR|aRCR
144	23132 14435	2	   	241.20	DCR|2VULN|2DUR|1TLV|1DMG|2LIT	1CGEN|24LIT|34DUR|4BPWR|5ERES|69VULN|7RCR|8DMG|aTLV
145	23611 34122	5	   	241.20	DCR|2VULN|2DUR|1TLV|1DMG|2LIT	1CGEN|28LIT|3TLV|46VULN|5aDUR|7RCR|9DMG
146	23613 34122	4	   	241.20	DCR|2VULN|2DUR|1TLV|1DMG|2LIT	1CGEN|28LIT|3TLV|46VULN|5aDUR|7RCR|9DMG
147	42213 43335	10	   	241.14	DCR|4VULN|2DMG	19FEWX|2BEXP|39DMG|4LHND|5ASPD|689aVULN|7RCR|9BPWR
148	42213 43336	9	   	241.14	DCR|4VULN|2DMG	19FEWX|2BEXP|39DMG|4LHND|5ASPD|689aVULN|7RCR|9BPWR
149	63363 21435	4	   	241.14	DCR|3VULN|2TLV|2LIT|1AART	17TLV|27LIT|37aVULN|4RMIN|5AART|6MBVNT|7BPWR|8RCR|9ASPD
150	63363 21435	3	   	241.14	DCR|3VULN|2TLV|2LIT|1AART	17TLV|27LIT|37aVULN|4RMIN|5AART|6MBVNT|7BPWR|8RCR|9ASPD
151	63314 16321	9	   	240.91	DCR|3VULN|1TLV|1DUR|2LIT|1AART	1TLV|29LIT|378VULN|4DUR|5AART|6FEWX|aRCR
152	41155 33232	2	   	240.73	DCR|3VULN|2DUR|1TLV|1AART	18FEWX|2RPLT|35DUR|457VULN|5BPWR|6TLV|9RCR|aAART
153	41325 33232	2	   	240.73	DCR|3VULN|2DUR|1TLV|1AART	18FEWX|2RPLT|357VULN|45DUR|5BPWR|6TLV|9RCR|aAART
154	41525 33232	3	   	240.73	DCR|3VULN|2DUR|1TLV|1AART	18FEWX|2RPLT|357VULN|45DUR|5BPWR|6TLV|9RCR|aAART
155	63312 21131	5	   	240.27	DCR|2VULN|1TLV|1DMG|1DUR|2LIT|1CDMG	1TLV|25LIT|36VULN|4DUR|7CDMG|8LWND|9DMG|aRCR
156	63312 21431	5	   	240.27	DCR|2VULN|1TLV|1DMG|1DUR|2LIT|1CDMG	1TLV|25LIT|36VULN|4DUR|7CDMG|8FEWX|9DMG|aRCR
157	63315 21131	4	   	240.27	DCR|2VULN|1TLV|1DMG|1DUR|2LIT|1CDMG	1TLV|25LIT|36VULN|4DUR|7CDMG|8LWND|9DMG|aRCR
158	63315 21431	4	   	240.27	DCR|2VULN|1TLV|1DMG|1DUR|2LIT|1CDMG	1TLV|25LIT|36VULN|4DUR|7CDMG|8FEWX|9DMG|aRCR
159	63334 33531	4	 * 	240.03	DCR|2VULN|1TLV|1DMG|2CDMG|1DUR	1TLV|2LIT|37VULN|48CDMG|5DUR|6LWND|9DMG|aRCR
