0	Index      	 *	Score 	Summary	Detail	
116	21224 11122	 * 	196.39	DCR|3ASPD|1MDPS|1VULN|1DMG|1CDMG|2DUR	14DUR|249ASPD|3DLOT|4BPWR|5VULN|6DMG|7MDPS|8RCR|aCDMG
117	21512 23551	 * 	196.14	DCR|1SPLARM|2VULN|2DMG|1MDPS|1ASPD|1DUR	1DUR|2ASPD|3MDPS|47VULN|56DMG|8AIRARM|9SPLARM|aRCR
118	11522 53224	   	196.07	DCR|3VULN|1MDPS|2ASPD|1DMG	18FEWX|28ASPD|3MDPS|4DMG|5MLV|6RCR|78aVULN|8BPWR|9BEXP
119	52331 11364	   	196.06	DCR|2VULN|1AART|1ASPD|3DUR|2ZMB	1RCVC|236DUR|36BPWR|4AART|56VULN|78ZMB|9ASPD|aRCR
120	21512 21144	   	196.05	DCR|2VULN|2DMG|1MDPS|1ASPD|1ZMB|1DUR	1DUR|2ASPD|3MDPS|4aVULN|56DMG|7ZMB|8RCR|9FEWX
121	21512 21155	   	196.05	DCR|2VULN|1MDPS|2DMG|1ASPD|1ZMB|1DUR	1DUR|2ASPD|3MDPS|4aVULN|56DMG|7ZMB|8RCR|9CGEN
122	21512 21165	   	196.05	DCR|2VULN|1MDPS|2DMG|1ASPD|1ZMB|1DUR	1DUR|2ASPD|3MDPS|4aVULN|56DMG|7ZMB|8RCR|9MLV
123	11523 53224	   	195.97	DCR|3VULN|1MDPS|2ASPD|1DMG	18FEWX|28ASPD|3MDPS|4DMG|5TLV|6RCR|78aVULN|8BPWR|9BEXP
124	21512 21135	   	195.95	DCR|2VULN|2DMG|1MDPS|1ASPD|1ZMB|1DUR	1DUR|2ASPD|3MDPS|4aVULN|56DMG|7ZMB|8RCR|9MBVNT
125	21525 21135	   	195.95	DCR|2VULN|2DMG|1MDPS|1ASPD|1ZMB|1DUR	1DUR|2ASPD|3MDPS|46DMG|5aVULN|7ZMB|8RCR|9MBVNT
126	21432 32256	   	195.93	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1DUR|2ASPD|3DUST|4aAART|5ZMB|6FEWX|7DMG|8VULN|9RCR
127	54331 13412	   	195.82	DCR|2VULN|2DMG|1AART|1ZMB	1RCVC|2ZMB|36DMG|4AART|56VULN|6BPWR|7LWND|8RCR|9LHND|aRMIN
128	54331 13431	   	195.72	DCR|2VULN|2DMG|1AART|1ZMB	1RCVC|2ZMB|36DMG|4AART|56VULN|6BPWR|7aLWND|8RCR|9ERES
129	54331 13432	   	195.72	DCR|2VULN|2DMG|1AART|1ZMB	1RCVC|2ZMB|36DMG|4AART|56VULN|6BPWR|7LWND|8RCR|9ERES|aBEXP
130	21512 21138	 * 	195.63	DCR|2DMG|1MDPS|1VULN|1ASPD|1NUKE|1ZMB|1DUR	1DUR|2ASPD|3MDPS|4VULN|56DMG|7ZMB|8RCR|9MBVNT|aNUKE
