0	Index      	 *	Score 	Summary	Detail	
114	26453 23123	   	197.30	DCR|2VULN|2AART|2DMG	19AART|24VULN|34DMG|4BPWR|5FEWX|6LIT|7DUST|8RCR|aBEXP
115	26451 32111	 * 	197.16	1SPLARM|3DMG|2VULN|1MDPS|1AART|1ASPD|1AAC	1AART|24VULN|348DMG|4BPWR|5MDPS|6SPLARM|7AAC|9BELT|aASPD
116	43325 33316	 * 	196.79	ACR|2VULN|2DMG|1MDPS|3ZMB|1AART|2DUR	17aZMB|2MDPS|3aVULN|4RCR|57DUR|67MLV|7aBPWR|8AART|9aDMG
117	21411 22212	   	196.78	DCR|2AART|2DMG|1MDPS|1VULN|1ASPD	14AART|2DUST|39DMG|5MDPS|6VULN|7AME|8RCR|aASPD
118	21411 22213	 * 	196.78	DCR|2AART|2DMG|1MDPS|1VULN|1NUKE	14AART|2DUST|39DMG|5MDPS|6VULN|7AME|8RCR|aNUKE
119	23545 31233	   	196.78	DCR|2VULN|2AART|1MDPS|2CDMG|2DUR	16AART|25CDMG|34VULN|7MDPS|8RCR|9aDUR
120	51314 11432	   	196.74	DCR|3VULN|1AART|1ASPD|1ZMB	1RMIN|2ASPD|3LHND|468VULN|5ZMB|7RPLT|9RCR|aAART
121	23131 53611	   	196.30	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2CDMG|3BEXP|479VULN|5AELBLL|6ZMB|8RCR|aDUR
122	23134 53611	   	196.30	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2CDMG|35BEXP|479VULN|6ZMB|8RCR|aDUR
123	23521 53611	   	196.30	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2CDMG|379VULN|4FEWX|5AELBLL|6ZMB|8RCR|aDUR
124	26155 22311	   	196.15	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|246VULN|34CGEN|4BPWR|5MLV|7ASPD|8CDMG|9RCR|aRCVC
125	26155 23311	   	196.15	DCR|3VULN|1AART|1DMG|1CDMG	1AART|246VULN|34CGEN|4BPWR|5MLV|7DMG|8CDMG|9RCR|aRCVC
126	23116 51511	 * 	196.11	DCR|2AART|2ASPD|1VULN|1CDMG|1DUR	15AART|2CDMG|3BEXP|4AELBLL|67ASPD|8VULN|9RCR|aDUR
127	26462 32132	 * 	196.09	2SPLARM|4VULN|3DMG|1MDPS|1AART|1AAC	1AART|259aVULN|389DMG|4MDPS|69SPLARM|7AAC|9BPWR
128	26152 22311	   	196.05	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|246VULN|34CGEN|4BPWR|5ERES|7ASPD|8CDMG|9RCR|aRCVC
129	26152 23311	   	196.05	DCR|3VULN|1AART|1DMG|1CDMG	1AART|246VULN|34CGEN|4BPWR|5ERES|7DMG|8CDMG|9RCR|aRCVC
130	23525 13211	   	195.96	DCR|2VULN|2AART|1DMG|1CDMG	16AART|2CDMG|37VULN|4FEWX|5MULARM|8RCR|9LHND|aDMG
131	23525 13221	   	195.96	DCR|2VULN|2AART|1DMG|1CDMG	16AART|2CDMG|37VULN|4FEWX|5MULARM|8RCR|9BEXP|aDMG
132	23525 13241	   	195.96	DCR|2VULN|2AART|1DMG|1CDMG	16AART|2CDMG|37VULN|4FEWX|5MULARM|8RCR|9LWND|aDMG
133	23525 13231	   	195.86	DCR|2VULN|2AART|1ASPD|1CDMG	16AART|2CDMG|37VULN|4FEWX|5MULARM|8RCR|9TLV|aASPD
134	23525 13251	   	195.86	DCR|2VULN|2AART|1DMG|1CDMG	16AART|2CDMG|37VULN|4FEWX|5MULARM|8RCR|9LEGI|aDMG
135	23525 13261	   	195.86	DCR|2VULN|2AART|1DMG|1CDMG	16AART|2CDMG|37VULN|4FEWX|5MULARM|8RCR|9DUST|aDMG
136	23565 13211	   	195.86	DCR|2VULN|2AART|1DMG|1CDMG	16AART|2CDMG|37VULN|4DUST|5MULARM|8RCR|9LHND|aDMG
137	23565 13221	   	195.86	DCR|2VULN|2AART|1DMG|1CDMG	16AART|2CDMG|37VULN|4DUST|5MULARM|8RCR|9BEXP|aDMG
138	26136 12143	   	195.82	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1AART|29VULN|3CGEN|49BEXP|5DUR|6LIT|79CDMG|8RCR|9BPWR|aASPD
139	26155 22313	   	195.82	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|246VULN|34aCGEN|4BPWR|5MLV|7ASPD|8CDMG|9RCR
140	26155 23313	   	195.82	DCR|3VULN|1AART|1DMG|1CDMG	1AART|246VULN|34aCGEN|4BPWR|5MLV|7DMG|8CDMG|9RCR
141	23565 13231	   	195.76	DCR|2VULN|2AART|1ASPD|1CDMG	16AART|2CDMG|37VULN|4DUST|5MULARM|8RCR|9TLV|aASPD
142	26152 22313	   	195.72	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|246VULN|34aCGEN|4BPWR|5ERES|7ASPD|8CDMG|9RCR
143	26152 22316	   	195.72	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|246VULN|34CGEN|4BPWR|5ERES|7ASPD|8CDMG|9RCR|aLHND
144	26152 23313	   	195.72	DCR|3VULN|1AART|1DMG|1CDMG	1AART|246VULN|34aCGEN|4BPWR|5ERES|7DMG|8CDMG|9RCR
145	26152 23316	   	195.72	DCR|3VULN|1AART|1DMG|1CDMG	1AART|246VULN|34CGEN|4BPWR|5ERES|7DMG|8CDMG|9RCR|aLHND
146	26155 22312	   	195.72	DCR|3VULN|1AART|1ASPD|1CDMG|1SELL	1AART|246VULN|34CGEN|4BPWR|5MLV|7ASPD|8CDMG|9RCR|aSELL
147	26155 23312	   	195.72	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1AART|246VULN|34CGEN|4BPWR|5MLV|7DMG|8CDMG|9RCR|aSELL
148	23542 32611	   	195.62	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|2CDMG|348VULN|5RPLT|6MSLREG|7ASPD|9RCR|aLIT
149	23542 32612	   	195.62	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|2CDMG|348VULN|5RPLT|6MSLREG|7ASPD|9RCR|aFEWX
150	26152 22312	   	195.62	DCR|3VULN|1AART|1ASPD|1CDMG|1SELL	1AART|246VULN|34CGEN|4BPWR|5ERES|7ASPD|8CDMG|9RCR|aSELL
151	26152 22314	   	195.62	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|246VULN|34CGEN|4BPWR|5ERES|7ASPD|8CDMG|9RCR|aTLV
152	26152 23312	   	195.62	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1AART|246VULN|34CGEN|4BPWR|5ERES|7DMG|8CDMG|9RCR|aSELL
153	26152 23314	   	195.62	DCR|3VULN|1AART|1DMG|1CDMG	1AART|246VULN|34CGEN|4BPWR|5ERES|7DMG|8CDMG|9RCR|aTLV
154	35153 23613	 * 	195.60	DCR|4VULN|1DMG|1NUKE	1469VULN|2BELT|3RPLT|5FEWX|7RCR|8DMG|aNUKE
155	22323 32212	 * 	195.59	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG|1AAC	1AART|2AAC|3BELT|45ASPD|5BPWR|6MDPS|7RCR|8CDMG|9VULN|aDMG
156	21456 33112	   	195.54	DCR|3DMG|1VULN|1AART|1DUR	1AART|2DUST|389DMG|4AIRARM|5RMIN|6RCR|7DUR|aVULN
157	23542 32613	   	195.52	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|2CDMG|348VULN|5RPLT|6MSLREG|7ASPD|9RCR|aERES
158	26451 32122	 * 	195.44	3VULN|1SPLARM|3DMG|1MDPS|2AAC|1AART	1AART|24aVULN|348DMG|4BPWR|5MDPS|6SPLARM|79AAC
159	23131 53612	   	195.42	DCR|3VULN|1AART|2CDMG|1ZMB	1AART|2aCDMG|3BEXP|479VULN|5AELBLL|6ZMB|8RCR
160	23134 53612	   	195.42	DCR|3VULN|1AART|2CDMG|1ZMB	1AART|2aCDMG|35BEXP|479VULN|6ZMB|8RCR
161	23521 53612	   	195.42	DCR|3VULN|1AART|2CDMG|1ZMB	1AART|2aCDMG|379VULN|4FEWX|5AELBLL|6ZMB|8RCR
162	23543 13212	 * 	195.33	DCR|3VULN|1MDPS|1AART|1CDMG|1DUR	1AART|2CDMG|347VULN|5MULFIG|6DUR|8RCR|9LHND|aMDPS
