0	Index      	 *	Score 	Summary	Detail	
105	31544 12111	   	188.15	ACR|2ASPD|2BEXP|1VULN|2CDMG	1AAC|27BEXP|37CDMG|4RCR|57ASPD|6MDPS|7BPWR|8VULN|9RMIN|aLSRICY
106	31544 12123	   	188.15	ACR|2ASPD|2BEXP|1VULN|2CDMG	1AAC|27BEXP|37CDMG|4RCR|57ASPD|6MDPS|7BPWR|8VULN|9DUST|aDUR
107	31544 12131	   	188.15	ACR|2ASPD|2BEXP|1VULN|2CDMG	1AAC|27BEXP|37CDMG|4RCR|57ASPD|6MDPS|7BPWR|8VULN|9LIT|aAEMAG
108	12541 11153	 * 	188.03	ACR|2BEXP|1ASPD|1DMG|1BASICY|1CDMG	19BEXP|2CGEN|3CDMG|4RCR|5ERES|6MDPS|7DMG|8BASICY|aASPD
109	53221 22156	   	188.01	ACR|1BASARM|1VULN|1ASPD|1AART	1BELT|28LIT|3RCR|4VULN|5LHND|6ASPD|7CGEN|9BASARM|aAART
110	53221 23156	   	188.01	ACR|1BASARM|1VULN|1ASPD|1AART	1BELT|28LIT|3RCR|4VULN|5LHND|6ASPD|7MLV|9BASARM|aAART
111	31544 12113	   	188.01	ACR|2ASPD|2BEXP|1VULN|2CDMG|1SELL	1AAC|27BEXP|37CDMG|4RCR|57ASPD|6MDPS|7BPWR|8VULN|9RMIN|aSELL
112	41633 23112	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1MLV|2DLOT|3LIT|4RCR|5AAC|6DMG|7VULN|8BASARM|9LWND|aASPD
113	31543 13143	 * 	187.70	ACR|2DMG|1VULN|1BASICY|1CDMG|1BEXP	1AAC|2BEXP|3CDMG|4RCR|5MDPS|6RCVC|7VULN|8BASICY|9aDMG
114	31544 12213	 * 	187.66	ACR|3ASPD|2BEXP|2CDMG	1AAC|27BEXP|37CDMG|4RCR|57aASPD|6MDPS|7BPWR|8RPLT|9DMSP
115	54521 11233	   	187.65	ACR|2VULN|1BASARM|1AART|1BEXP	1BELT|28VULN|3BEXP|4RCR|5NUKE|6RMIN|7BASARM|9CGEN|aAART
116	34541 32321	 * 	187.48	ACR|3VULN|2ASPD|2CDMG	1AAC|29aVULN|3aCDMG|4RCR|5ERES|6DUR|7aASPD|8MDPS|aBPWR
117	14322 32114	   	187.06	ACR|1BASARM|1VULN|2BEXP|1AART	1aBEXP|2VULN|3LIT|4ERES|5RCR|6RCVC|7AART|8BASARM|9LWND
118	14322 32122	   	187.06	ACR|1BASARM|1VULN|2BEXP|1AART	19BEXP|2VULN|3LIT|4ERES|5RCR|6RCVC|7AART|8BASARM|aFEWX
119	14322 32123	   	187.06	ACR|1BASARM|1VULN|2BEXP|1AART	19BEXP|2VULN|3LIT|4ERES|5RCR|6RCVC|7AART|8BASARM|aMLV
120	14322 32124	   	187.06	ACR|1BASARM|1VULN|2BEXP|1AART	19BEXP|2VULN|3LIT|4ERES|5RCR|6RCVC|7AART|8BASARM|aRMIN
121	14322 32126	   	187.06	ACR|1BASARM|1VULN|2BEXP|1AART	19BEXP|2VULN|3LIT|4ERES|5RCR|6RCVC|7AART|8BASARM|aDMSP
122	22341 64221	   	187.06	ACR|1BASARM|2DMG|1ASPD	12DMG|3CGEN|4DMSP|5RCR|68RMIN|7ASPD|9BASARM|aDUR
123	22341 64223	   	187.06	ACR|1BASARM|2DMG|1ASPD	12DMG|3CGEN|4DMSP|5RCR|68RMIN|7ASPD|9BASARM|aFEWX
124	22141 64221	   	186.96	ACR|1BASARM|2DMG|1ASPD	12DMG|3AEFBLL|4CGEN|5RCR|68RMIN|7ASPD|9BASARM|aDUR
125	22141 64223	   	186.96	ACR|1BASARM|2DMG|1ASPD	12DMG|3AEFBLL|4CGEN|5RCR|68RMIN|7ASPD|9BASARM|aFEWX
126	22341 14235	   	186.96	ACR|1BASARM|2DMG|1ASPD	12DMG|38CGEN|4DMSP|5RCR|6ERES|7ASPD|9LWND|aBASARM
127	22141 14235	   	186.86	ACR|1BASARM|2DMG|1ASPD	12DMG|3AEFBLL|48CGEN|5RCR|6ERES|7ASPD|9LWND|aBASARM
128	22341 14135	   	186.86	ACR|1BASARM|2DMG|1ASPD	12DMG|3CGEN|4DMSP|5RCR|68ERES|7ASPD|9LWND|aBASARM
