0	Index      	 *	Score 	Summary	Detail	
138	13512 54212	   	168.21	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1DUST|23DMG|4SELL|5DUR|69VULN|7RCR|8AART|aMLV
139	13512 54213	   	168.21	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1DUST|23DMG|4SELL|5DUR|69VULN|7RCR|8AART|aFEWX
140	13512 54211	   	168.11	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1DUST|23DMG|4SELL|5DUR|69VULN|7RCR|8AART|aMBVNT
141	13143 52126	   	167.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2DMG|3LHND|4RMIN|56VULN|7RCR|8ZMB|9AART|aCDMG
142	13343 22126	   	167.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2DMG|35VULN|4RMIN|6LHND|7RCR|8ZMB|9AART|aCDMG
143	13236 33614	   	167.92	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2DMG|3RCVC|4AART|5LHND|6CDMG|7DUR|8RCR|9aVULN
144	43121 12254	   	167.69	DCR|2DMG|1AART|1VULN|3ASPD	19LHND|2RCVC|39DMG|4ERES|5VULN|69aASPD|7RCR|8AART|9BPWR
145	46222 21215	   	167.64	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB	1LHND|2CDMG|3AART|4DMG|5DUST|6VULN|7RCR|8ZMB|9FLTHEA|aCGEN
146	46222 21216	   	167.64	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB	1aLHND|2CDMG|3AART|4DMG|5DUST|6VULN|7RCR|8ZMB|9FLTHEA
147	46263 21212	   	167.64	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1LHND|2CDMG|3AART|4FEWX|5VULN|6DMG|7RCR|8ZMB|9FLTHEA|aTLV
148	46232 14113	   	167.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|2CDMG|3AART|4RPLT|5ASPD|6aVULN|7RCR|8DMG|9BEXP
149	46232 14123	   	167.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1aLHND|2CDMG|3AART|4RPLT|5ASPD|69VULN|7RCR|8DMG
150	56232 14133	   	167.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2CDMG|3AART|4RPLT|5ASPD|6aVULN|7RCR|8DMG|9FEWX
151	66232 14113	   	167.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1FEWX|2CDMG|3AART|4RPLT|5ASPD|6aVULN|7RCR|8DMG|9BEXP
152	66232 14123	   	167.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1FEWX|2CDMG|3AART|4RPLT|5ASPD|69VULN|7RCR|8DMG|aLHND
153	13531 51151	 * 	167.61	DCR|2AART|2DMG|1VULN|2DUR	1DUST|23DMG|49AART|57DUR|6VULN|8RCR|aLIT
154	13531 51153	   	167.61	DCR|2AART|2DMG|1VULN|2DUR	1DUST|23DMG|49AART|57DUR|6VULN|8RCR|aLHND
155	46222 21212	   	167.54	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1LHND|2CDMG|3AART|4DMG|5DUST|6VULN|7RCR|8ZMB|9FLTHEA|aTLV
