0	Index      	 *	Score 	Summary	Detail	
114	13123 31261	   	178.86	DCR|2VULN|2DMG|3CDMG|1ZMB|1DUR	15DMG|29VULN|3MGNLIT|456CDMG|5BPWR|7ZMB|8RCR|aDUR
115	13423 31261	   	178.76	DCR|2VULN|2DMG|3CDMG|1ZMB|1DUR	15DMG|29VULN|3CANSTR|456CDMG|5BPWR|7ZMB|8RCR|aDUR
116	14123 41111	   	178.75	DCR|3DMG|1VULN|1CDMG|1FLTHEA|1DUR|1ASPD	178DMG|2DUR|3BASICY|4CDMG|5FLTHEA|6RCR|9ASPD|aVULN
117	14123 43251	   	178.72	DCR|2DMG|1VULN|2FLTHEA|3DUR|1CDMG|1ASPD	17DMG|278DUR|3BASICY|4CDMG|57FLTHEA|6RCR|7BPWR|9ASPD|aVULN
118	36231 36523	 * 	178.57	ACR|3VULN|2DMG|1CDMG|1DUR	1LWND|2RCR|3CDMG|47DMG|5ERES|6DUR|89aVULN
119	11432 21163	   	178.50	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	14DMG|2ASPD|37VULN|5FEWX|6DUST|8RCR|9CDMG|aAART
120	11535 31163	   	178.50	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	14DMG|2ASPD|3DUST|57VULN|6BEXP|8RCR|9CDMG|aAART
121	11432 41134	   	178.44	DCR|4VULN|2DMG|1ASPD|1DUR	14DMG|2ASPD|379aVULN|5FEWX|6DUR|8RCR
122	11633 41134	   	178.44	DCR|4VULN|2DMG|1ASPD|1DUR	14DMG|2ASPD|3LHND|579aVULN|6DUR|8RCR
123	53111 53631	   	178.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DMSP|256VULN|3SNIHEL|4DMG|7AART|8RCR|9CDMG|aDUR
124	11431 41134	   	178.34	DCR|4VULN|2DMG|1ASPD|1DUR	14DMG|2ASPD|379aVULN|5LEGI|6DUR|8RCR
125	15123 43111	   	178.33	DCR|3DMG|1VULN|2FLTHEA|1CDMG|1ASPD	178DMG|27FEWX|3BASICY|4CDMG|57FLTHEA|6RCR|7BPWR|9ASPD|aVULN
126	16123 43111	   	178.13	DCR|3DMG|1VULN|2FLTHEA|1CDMG|1ASPD	178DMG|27DUST|3BASICY|4CDMG|57FLTHEA|6RCR|7BPWR|9ASPD|aVULN
127	36442 13312	   	178.13	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	1LWND|2RCR|3AART|4RCVC|5aDUR|6CDMG|78DMG|9VULN
128	36452 13312	   	178.13	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	14LWND|2RCR|3AART|5aDUR|6CDMG|78DMG|9VULN
129	13124 53371	   	177.94	DCR|3DMG|1AART|1VULN|2CDMG	19aDMG|2VULN|39MGNLIT|49CDMG|5RPLT|6MBVNT|7AART|8RCR|9BPWR
130	14114 23225	 * 	177.63	DCR|3VULN|3CDMG|1DMG|3DUR	1DMG|29aDUR|3BASICY|4MLV|59aCDMG|6FEWX|7RCR|89aVULN|9aBPWR
131	11633 43433	   	177.60	DCR|3VULN|3DMG|1ASPD|1DUR	147DMG|2ASPD|3LHND|58aVULN|6DUR|9RCR
132	36422 14212	   	177.57	ACR|2AART|2VULN|1DMG|1ASPD|1DUR	1LWND|2RCR|36AART|4ASPD|5aVULN|7DMG|8DUR|9CGEN
133	36422 14223	   	177.57	ACR|2AART|2VULN|1DMG|1DUR|1ASPD	1LWND|2RCR|36AART|4ASPD|5aVULN|7DMG|8DUR|9BEXP
134	36421 11325	   	177.57	ACR|2AART|2DMG|1VULN|1DUR|1ASPD	15LWND|2RCR|36AART|4ASPD|78DMG|9DUR|aVULN
135	14114 13225	   	177.53	DCR|3VULN|3CDMG|1DMG|3DUR	1DMG|29aDUR|3BASICY|4MLV|59aCDMG|6DUST|7RCR|89aVULN|9aBPWR
136	11431 43433	   	177.50	DCR|3VULN|3DMG|1ASPD|1DUR	147DMG|2ASPD|38aVULN|5LEGI|6DUR|9RCR
137	36422 14133	   	177.47	ACR|2AART|2VULN|1DMG|1ASPD|1DUR	1LWND|2RCR|36AART|4ASPD|5aVULN|7DMG|8LEGI|9DUR
138	36422 14333	   	177.47	ACR|2AART|2VULN|1DMG|1DUR|1ASPD	1LWND|2RCR|36AART|4ASPD|5aVULN|7DMG|8DUST|9DUR
