0	Index      	 *	Score 	Summary	Detail	
83	33116 36125	   	199.49	ACR|2ASPD|2VULN|2BEXP|1CDMG|1AAC	1aBEXP|2aASPD|3LWND|4CDMG|5RCR|6MDPS|7aVULN|8RMIN|9AAC|aBPWR
84	31336 11463	   	199.42	ACR|2ASPD|1VULN|2BEXP|1DMG|1CDMG	17BEXP|2CDMG|3DMG|4VULN|5RCR|6DUST|8LIT|9aASPD
85	31336 21151	   	199.42	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	17BEXP|2CDMG|3aDMG|4VULN|5RCR|6DUR|8ASPD|9AEMAG
86	33316 11463	   	199.42	ACR|2ASPD|1VULN|2BEXP|1DMG|1CDMG	17BEXP|2aASPD|3VULN|4CDMG|5RCR|6DUST|8LIT|9DMG
87	33316 21151	   	199.42	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	17BEXP|2ASPD|3VULN|4CDMG|5RCR|6DUR|8aDMG|9AEMAG
88	33116 41151	   	199.42	ACR|2DMG|2BEXP|1VULN|1ASPD|1CDMG	17BEXP|2ASPD|3LWND|4CDMG|5RCR|6VULN|8aDMG|9AEMAG
89	31336 11141	   	199.41	ACR|3BEXP|1VULN|1ASPD|1DMG|2CDMG	179BEXP|2aCDMG|3DMG|4VULN|5RCR|6DUST|8ASPD
90	33316 11141	   	199.41	ACR|3BEXP|1VULN|1ASPD|1DMG|2CDMG	179BEXP|2ASPD|3VULN|4aCDMG|5RCR|6DUST|8DMG
91	31336 32125	   	199.39	ACR|2VULN|2DMG|2BEXP|1CDMG|1AAC	1aBEXP|2CDMG|3aDMG|4aVULN|5RCR|6MDPS|7LEGI|8RMIN|9AAC|aBPWR
92	31336 11131	   	199.32	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	17BEXP|2CDMG|3aDMG|4VULN|5RCR|69DUST|8ASPD
93	31336 11151	   	199.32	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	17BEXP|2CDMG|3aDMG|4VULN|5RCR|6DUST|8ASPD|9AEMAG
94	31336 15341	   	199.32	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	19BEXP|2CDMG|3aDMG|4VULN|5RCR|68DUST|7ASPD
95	33316 11131	   	199.32	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	17BEXP|2ASPD|3VULN|4CDMG|5RCR|69DUST|8aDMG
96	33316 11151	   	199.32	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	17BEXP|2ASPD|3VULN|4CDMG|5RCR|6DUST|8aDMG|9AEMAG
97	33316 15341	   	199.32	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	19BEXP|2ASPD|3VULN|4CDMG|5RCR|68DUST|7aDMG
98	31336 15111	   	199.32	ACR|2ASPD|1VULN|2BEXP|1DMG|1CDMG	1aBEXP|2CDMG|3DMG|4VULN|5RCR|6DUST|79ASPD|8ERES
99	33316 15111	   	199.32	ACR|2ASPD|1VULN|2BEXP|1DMG|1CDMG	1aBEXP|29ASPD|3VULN|4CDMG|5RCR|6DUST|7DMG|8ERES
100	33316 41122	   	198.51	ACR|2VULN|2ASPD|1DMG|1CDMG|1BEXP	1BEXP|2aASPD|36VULN|4CDMG|5RCR|7aFEWX|8DMG|9aCGEN|aBPWR
