0	Index      	 *	Score 	Summary	Detail	
119	11154 32214	   	187.18	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|69VULN|7DUR|aCGEN
120	11154 32236	   	187.18	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|6aVULN|7DUR|9BELT
121	21316 21363	   	187.17	ACR|3DMG|1AART|2ASPD|1CDMG|2DUR	1RCVC|2RCR|347DMG|57ASPD|67DUR|7BPWR|8DLOT|9CDMG|aAART
122	21336 21363	   	187.17	ACR|3DMG|1AART|2ASPD|1CDMG|2DUR	1RCVC|2RCR|347DMG|47BPWR|57ASPD|67DUR|8DLOT|9CDMG|aAART
123	21356 53231	 * 	187.16	ACR|2AART|2DMG|1VULN|2CDMG	1RCVC|2RCR|36DMG|49AART|56BEXP|6BPWR|7aCDMG|8VULN
124	21352 63421	   	187.14	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1RCVC|2RCR|3aDMG|4AART|5DUST|6ZMB|7CDMG|8VULN|9DUR
125	21311 12145	   	187.09	ACR|3DMG|2VULN|1AART	1RCVC|2RCR|345DMG|5BPWR|6FEWX|7AART|8LWND|9aVULN
126	21331 12145	   	187.09	ACR|3DMG|2VULN|1AART	1RCVC|2RCR|345DMG|45BPWR|6FEWX|7AART|8LWND|9aVULN
127	11154 28211	   	187.08	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|6MBVNT|79VULN|aASPD
128	11154 34211	   	187.08	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|69VULN|7LEGI|aASPD
129	11154 34213	   	187.08	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|69VULN|7LEGI|aDUR
130	11154 13121	   	187.08	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|6DUR|7TLV|9aVULN
131	11154 32212	   	187.08	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|69VULN|7DUR|aDUST
132	11154 32215	   	187.08	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	1CDMG|2SELL|3RCR|4AART|58DMG|69VULN|7DUR|aERES
133	21351 21113	   	187.06	ACR|2AART|2DMG|1VULN|2CDMG	1RCVC|2RCR|37DMG|4aAART|57ERES|67CDMG|7BPWR|8LHND|9VULN
134	21351 52211	   	187.01	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1RCVC|2RCR|38DMG|4AART|5ERES|69VULN|7DUR|aASPD
135	21354 32211	   	187.01	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1RCVC|2RCR|38DMG|4AART|5NUKE|69VULN|7DUR|aASPD
136	21353 53253	   	186.99	ACR|2VULN|2DMG|1AART|1CDMG	1RCVC|2RCR|36DMG|4AART|56LHND|6BPWR|7CDMG|8aVULN|9LIT
137	12236 33441	 * 	186.98	DCR|3VULN|3CDMG|1AART|1DMG	13aCDMG|258VULN|45LHND|5BPWR|6AART|7RCR|9DMG
138	21352 53231	   	186.96	ACR|2AART|2DMG|1VULN|2CDMG	1RCVC|2RCR|36DMG|49AART|56DUST|6BPWR|7aCDMG|8VULN
139	55622 23121	   	186.92	ACR|2AART|2VULN|2DMG|1DUR	1TLV|2RCR|3DUR|4MLV|56AART|78DMG|9aVULN
140	21312 15145	   	186.89	ACR|3DMG|2VULN|1AART	1RCVC|2RCR|348DMG|5DUST|6LEGI|7AART|9aVULN
141	21332 15145	   	186.89	ACR|3DMG|2VULN|1AART	1RCVC|2RCR|348DMG|4BPWR|5DUST|6LEGI|7AART|9aVULN
142	21561 31335	   	186.85	ACR|3DMG|2VULN|1AART|1SELL	1RCVC|2RCR|3SELL|4aERES|5BELT|68aDMG|7AART|9aVULN|aBPWR
143	21311 36213	   	186.74	ACR|3DMG|2VULN|1CDMG|1ZMB	1RCVC|2RCR|345DMG|5BPWR|6ZMB|7aVULN|8LIT|9CDMG
144	21311 36612	   	186.74	ACR|3DMG|2VULN|1CDMG|1ZMB	1RCVC|2RCR|345DMG|5BPWR|6ZMB|78VULN|9BELT|aCDMG
145	21331 36213	   	186.74	ACR|3DMG|2VULN|1CDMG|1ZMB	1RCVC|2RCR|345DMG|45BPWR|6ZMB|7aVULN|8LIT|9CDMG
146	21331 36612	   	186.74	ACR|3DMG|2VULN|1CDMG|1ZMB	1RCVC|2RCR|345DMG|45BPWR|6ZMB|78VULN|9BELT|aCDMG
147	12322 63516	   	186.72	DCR|3VULN|2DMG|1AART|1CDMG	1CDMG|249VULN|3AART|5MLV|67DMG|8LHND|aRCR
148	12323 63516	   	186.72	DCR|3VULN|2DMG|1AART|1CDMG	1CDMG|249VULN|3AART|5RMIN|67DMG|8LHND|aRCR
149	12325 23146	   	186.72	DCR|3VULN|2DMG|1AART|1CDMG	1CDMG|245VULN|3AART|6BEXP|79DMG|8CGEN|aRCR
150	12322 63116	   	186.62	DCR|3VULN|2DMG|1AART|1CDMG	1CDMG|249VULN|3AART|5MLV|67DMG|8LEGI|aRCR
151	12322 63316	   	186.62	DCR|3VULN|2DMG|1AART|1CDMG	1CDMG|249VULN|3AART|5MLV|67DMG|8DUST|aRCR
152	12322 63343	   	186.62	DCR|3DMG|2VULN|1AART|1CDMG	1CDMG|24VULN|3AART|5MLV|679DMG|8DUST|aRCR
153	12323 63116	   	186.62	DCR|3VULN|2DMG|1AART|1CDMG	1CDMG|249VULN|3AART|5RMIN|67DMG|8LEGI|aRCR
154	12323 63316	   	186.62	DCR|3VULN|2DMG|1AART|1CDMG	1CDMG|249VULN|3AART|5RMIN|67DMG|8DUST|aRCR
155	12323 63343	   	186.62	DCR|3DMG|2VULN|1AART|1CDMG	1CDMG|24VULN|3AART|5RMIN|679DMG|8DUST|aRCR
156	21351 21345	   	186.62	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	1RCVC|2RCR|37DMG|4AART|57ERES|67CDMG|7BPWR|8LIT|9ZMB|aVULN
157	11154 32513	   	186.33	ACR|2AART|2VULN|1DMG|1CDMG|2DUR|1SELL	1CDMG|2SELL|3RCR|4aAART|5DMG|69VULN|78DUR
158	21311 36315	   	186.15	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	1RCVC|2RCR|345DMG|5BPWR|6ZMB|7VULN|8DLOT|9AART|aASPD
159	21311 36316	   	186.15	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2RCR|345DMG|5BPWR|6ZMB|7VULN|8DLOT|9AART|aDUR
160	21331 36315	   	186.15	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	1RCVC|2RCR|345DMG|45BPWR|6ZMB|7VULN|8DLOT|9AART|aASPD
161	21331 36316	   	186.15	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1RCVC|2RCR|345DMG|45BPWR|6ZMB|7VULN|8DLOT|9AART|aDUR
162	12236 33416	   	185.98	DCR|4VULN|1AART|2CDMG|1ZMB	13CDMG|2589VULN|45LHND|5BPWR|6AART|7RCR|aZMB
