0	Index      	 *	Score 	Summary	Detail	
105	11151 13223	 * 	191.41	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG|1SELL	1aVULN|2CDMG|3DMG|4FEWX|5RCR|6SELL|78BEXP|9ASPD
106	11142 35161	   	191.40	2VULN|1BASARM|3BEXP|2DMG|1ASPD|1CDMG	16VULN|2CDMG|37DMG|456BEXP|6BPWR|8DUST|9BASARM|aASPD
107	13543 31482	   	191.34	ACR|2VULN|1BASARM|1DMG|1AART	17VULN|2LHND|3AART|4TLV|5RCR|6MBVNT|8DMG|9MLV|aBASARM
108	13543 31822	   	191.34	ACR|2VULN|1BASARM|1DMG|1AART	17VULN|2LHND|3AART|4TLV|5RCR|6MBVNT|8BASARM|9DMG|aRMIN
109	13543 31824	   	191.34	ACR|2VULN|1BASARM|1DMG|1AART	17VULN|2LHND|3AART|4TLV|5RCR|6MBVNT|8BASARM|9DMG|aDMSP
110	13553 31482	   	191.34	ACR|2VULN|1BASARM|1DMG|1AART	17VULN|2LHND|3AART|4AME|5RCR|6MBVNT|8DMG|9MLV|aBASARM
111	13553 31822	   	191.34	ACR|2VULN|1BASARM|1DMG|1AART	17VULN|2LHND|3AART|4AME|5RCR|6MBVNT|8BASARM|9DMG|aRMIN
112	13553 31824	   	191.34	ACR|2VULN|1BASARM|1DMG|1AART	17VULN|2LHND|3AART|4AME|5RCR|6MBVNT|8BASARM|9DMG|aDMSP
113	11241 62163	   	191.34	ACR|1BASARM|1VULN|2BEXP|2CDMG	1VULN|28CDMG|3ZMB|4aBEXP|5RCR|6AAC|7FEWX|9BASARM
114	13241 26322	   	191.32	ACR|1BASARM|1VULN|1DMG|1AART|1AAC	1VULN|2LHND|3LWND|4RCR|5DUR|6DMG|7RPLT|8AART|9AAC|aBASARM
115	13245 52122	   	191.32	ACR|1BASARM|1VULN|1ASPD|1AART|1AAC	1VULN|2LHND|3LWND|4RCR|5AART|6RPLT|7ASPD|8FEWX|9AAC|aBASARM
116	22241 52122	   	191.32	ACR|1BASARM|1VULN|1ASPD|1AART|1AAC	1DUR|2VULN|3LWND|4RCR|5AART|6RPLT|7ASPD|8FEWX|9AAC|aBASARM
117	22241 52222	   	191.32	ACR|1BASARM|1VULN|1ASPD|1AART|1AAC	1DUR|2VULN|3LWND|4RCR|5AART|6RPLT|7ASPD|8LHND|9AAC|aBASARM
118	13543 31432	   	191.24	ACR|2VULN|1BASARM|1DMG|1AART	17VULN|2LHND|3AART|4TLV|5RCR|6MBVNT|8DMG|9ERES|aBASARM
119	13543 31823	   	191.24	ACR|2VULN|1BASARM|1DMG|1AART	17VULN|2LHND|3AART|4TLV|5RCR|6MBVNT|8BASARM|9DMG|aAIRARM
120	13553 31432	   	191.24	ACR|2VULN|1BASARM|1DMG|1AART	17VULN|2LHND|3AART|4AME|5RCR|6MBVNT|8DMG|9ERES|aBASARM
121	13553 31823	   	191.24	ACR|2VULN|1BASARM|1DMG|1AART	17VULN|2LHND|3AART|4AME|5RCR|6MBVNT|8BASARM|9DMG|aAIRARM
122	13245 52222	   	191.22	ACR|1BASARM|1VULN|1ASPD|1AART|1AAC	1VULN|2LHND|3LWND|4RCR|5AART|6RPLT|7ASPD|8LEGI|9AAC|aBASARM
123	16241 52222	   	191.22	ACR|1BASARM|1VULN|1ASPD|1AART|1AAC	1VULN|2DUST|3LWND|4RCR|5AART|6RPLT|7ASPD|8LHND|9AAC|aBASARM
124	22241 52422	   	191.22	ACR|1BASARM|1VULN|1ASPD|1AART|1AAC	1DUR|2VULN|3LWND|4RCR|5AART|6RPLT|7ASPD|8DUST|9AAC|aBASARM
125	11141 32435	   	190.58	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2CDMG|3DMG|4BEXP|5RCR|6TLV|7FEWX|8BELT|9BASARM|aRCVC
126	11161 36135	   	190.58	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2CDMG|3DMG|4DUR|5RCR|6TLV|7BELT|8BEXP|9BASARM|aRCVC
127	22243 41433	   	190.58	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2VULN|3aLWND|4RCR|5RCVC|6FEWX|7ASPD|8DMG|9BASARM
128	21141 54312	   	190.48	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1DUR|2CDMG|3DMG|4BEXP|5RCR|6VENFST|7VULN|8TLV|9BASARM|aRCVC
129	11141 55312	   	190.48	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2CDMG|3DMG|4BEXP|5RCR|6MSLREG|7LHND|8TLV|9BASARM|aRCVC
130	11161 56312	   	190.48	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2CDMG|3DMG|4DUR|5RCR|6MSLREG|7BEXP|8TLV|9BASARM|aRCVC
131	22243 31433	   	190.48	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2VULN|3aLWND|4RCR|5RCVC|6LEGI|7ASPD|8DMG|9BASARM
132	22243 31434	   	190.48	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2VULN|3LWND|4RCR|5RCVC|6LEGI|7ASPD|8DMG|9BASARM|aRPLT
133	22243 34433	   	190.48	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUR|2VULN|3aLWND|4RCR|5RCVC|6LEGI|7DMG|8ASPD|9BASARM
134	11141 21773	   	190.37	ACR|2DMG|1VULN|1ASPD|1BEXP|1CDMG|1AAC	1VULN|2CDMG|38DMG|4BEXP|5RCR|6LIT|7MBVNT|9AAC|aASPD
135	11151 64311	 * 	190.36	ACR|3VULN|2BEXP|1DMG|2CDMG	179VULN|29CDMG|3DMG|4FEWX|5RCR|6AAC|89BEXP|9BPWR|aRMIN
136	11151 64313	   	190.36	ACR|3VULN|2BEXP|2CDMG|1DMG	179VULN|29CDMG|3DMG|4aFEWX|5RCR|6AAC|89BEXP|9BPWR
137	16241 52322	   	190.31	ACR|2VULN|2DMG|1ASPD|1AART	19VULN|2DUST|3LWND|4RCR|5AART|6RPLT|7ASPD|8aDMG
138	11151 64312	   	190.26	ACR|3VULN|2BEXP|1DMG|2CDMG	179VULN|29CDMG|3DMG|4FEWX|5RCR|6AAC|89BEXP|9BPWR|aTLV
139	11141 32432	   	190.26	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2CDMG|3DMG|4BEXP|5RCR|6TLV|7FEWX|8BELT|9BASARM|aRMIN
140	11141 32434	   	190.26	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2CDMG|3DMG|4BEXP|5RCR|6TLV|7FEWX|8BELT|9BASARM|aMLV
141	11151 62362	   	190.26	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2CDMG|3DMG|47FEWX|5RCR|6AAC|8BEXP|9BASARM|aLWND
142	11161 36132	   	190.26	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2CDMG|3DMG|4DUR|5RCR|6TLV|7BELT|8BEXP|9BASARM|aRMIN
143	11161 36134	   	190.26	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2CDMG|3DMG|4DUR|5RCR|6TLV|7BELT|8BEXP|9BASARM|aMLV
144	21141 36152	   	190.26	ACR|1BASARM|1DMG|1BEXP|1AART|1CDMG	1DUR|2CDMG|3DMG|4BEXP|5RCR|6TLV|7RPLT|8MLV|9BASARM|aAART
145	11141 32431	   	190.16	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2CDMG|3DMG|4BEXP|5RCR|6TLV|7FEWX|8BELT|9BASARM|aAME
146	11141 32433	   	190.16	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1VULN|2CDMG|3DMG|4BEXP|5RCR|6TLV|7FEWX|8BELT|9BASARM|aERES
