0	Index      	 *	Score 	Summary	Detail	
123	41384 71122	   	211.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2RCR|3LHND|47MLV|5DMG|6CDMG|8BEXP|9BASARM|aASPD
124	41433 78323	   	211.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2RCR|3ASPD|4BEXP|5RMIN|6CDMG|7DMG|8ERES|9BASARM|aLWND
125	41433 78324	   	211.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2RCR|3ASPD|4BEXP|5RMIN|6CDMG|7DMG|8ERES|9BASARM|aCGEN
126	41434 24251	   	211.57	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1MBVNT|2RCR|3ASPD|4BEXP|5DMG|6ERES|7AART|8CGEN|9DUR|aBASARM
127	41133 73722	   	211.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2RCR|3AME|4BEXP|5RMIN|6CDMG|7ZMB|8DMG|9BASARM|aASPD
128	41324 72222	   	211.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2RCR|3LHND|4ERES|5DMG|6CDMG|7BEXP|8RCVC|9BASARM|aASPD
129	41134 72122	   	211.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2RCR|3AME|4BEXP|5DMG|6CDMG|7FEWX|8AEMAG|9BASARM|aASPD
130	41134 73722	   	211.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2RCR|3AME|4BEXP|5DMG|6CDMG|7ZMB|8NUKE|9BASARM|aASPD
131	41431 25122	   	211.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2RCR|3ASPD|4BEXP|5DUST|6MDPS|7BASARM|8DUR|9CDMG|aDMG
132	41431 25322	   	211.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2RCR|3ASPD|4BEXP|5DUST|6MDPS|7BASARM|8LHND|9CDMG|aDMG
133	41431 25422	   	211.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2RCR|3ASPD|4BEXP|5DUST|6MDPS|7BASARM|8LWND|9CDMG|aDMG
134	41433 78321	   	211.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2RCR|3ASPD|4BEXP|5RMIN|6CDMG|7DMG|8ERES|9BASARM|aDUST
135	41114 11446	   	211.47	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AART	1MBVNT|2RCR|35AME|4RCVC|6ASPD|7CDMG|8BASARM|9AART|aDMG
136	41314 72122	   	211.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2RCR|3LHND|4TLV|5DMG|6CDMG|7BEXP|8AEMAG|9BASARM|aASPD
137	41324 72422	   	211.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2RCR|3LHND|4ERES|5DMG|6CDMG|7BEXP|8AEMAG|9BASARM|aASPD
138	41344 72122	   	211.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2RCR|3LHND|4AME|5DMG|6CDMG|7BEXP|8AEMAG|9BASARM|aASPD
139	41614 72122	   	211.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2RCR|3FEWX|4TLV|5DMG|6CDMG|7BEXP|8AEMAG|9BASARM|aASPD
140	45132 35334	   	211.34	ACR|2BASARM|2DMG|1ASPD	1MBVNT|29DUST|3RCR|4LHND|5MDPS|69DMG|79BASARM|8LEGI|9BPWR|aASPD
141	45142 35334	   	211.34	ACR|2BASARM|2DMG|1ASPD	1MBVNT|29DUST|3RCR|4LWND|5MDPS|69DMG|79BASARM|8LEGI|9BPWR|aASPD
142	44215 38442	 * 	211.31	ACR|1BASARM|2BEXP|2VULN|1ASPD|1CDMG	1MBVNT|28SNITOX|38VULN|4BASARM|5RCR|6ERES|78BEXP|8BPWR|9CDMG|aASPD
143	41448 31371	   	211.31	ACR|3ASPD|2BEXP|2VULN|1AART	1MBVNT|2RCR|359ASPD|4CGEN|6AART|79BEXP|89VULN|9BPWR|aERES
144	41448 31372	   	211.31	ACR|3ASPD|2BEXP|2VULN|1AART	1MBVNT|2RCR|359ASPD|4CGEN|6AART|79BEXP|89VULN|9BPWR|aAME
145	41448 61432	   	211.10	ACR|3ASPD|1BASARM|1CDMG	1MBVNT|2RCR|35aASPD|46CGEN|7CDMG|8BASARM|9MDPS
146	41443 81432	   	211.10	ACR|3ASPD|1BASARM|1CDMG	1MBVNT|2RCR|36aASPD|45CGEN|7CDMG|8BASARM|9MDPS
147	41443 81474	   	211.10	ACR|3ASPD|1BASARM|1CDMG	1MBVNT|2RCR|36aASPD|45CGEN|7CDMG|8BASARM|9ERES
148	41711 16322	   	211.10	ACR|3ASPD|1BASARM|1BEXP	1MBVNT|2RCR|36RPLT|4ERES|5BEXP|78aASPD|9BASARM
149	41744 36322	   	211.10	ACR|3ASPD|1BASARM|1BEXP	1MBVNT|2RCR|3RPLT|4AEMAG|5BEXP|6CGEN|78aASPD|9BASARM
150	41434 35123	   	211.06	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|37ASPD|48aBEXP|57DMG|679LWND|7BPWR
151	41435 23481	   	211.06	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|39ASPD|49aBEXP|5RPLT|6FEWX|7LWND|89DMG|9BPWR
152	41721 23481	   	211.06	ACR|3BEXP|2ASPD|2DMG	1MBVNT|2RCR|3RPLT|49ASPD|59aBEXP|6FEWX|7LWND|89DMG|9BPWR
