0	Index      	 *	Score 	Summary	Detail	
139	41332 21144	   	156.10	DCR|2DMG|1AART|1VULN|1DUR|1ASPD	1LIT|25DMG|3AART|4ASPD|6VULN|7MLV|8RMIN|9RCR|aDUR
140	41332 16135	   	156.09	DCR|2AART|2DMG|1ZMB|1DUR|1ASPD	1LIT|25DMG|36AART|4ASPD|7CGEN|8DUR|9ZMB|aRCR
141	41226 22141	   	156.08	DCR|3DMG|1AART|1VULN	1LIT|256DMG|34FEWX|7CGEN|8RCR|9VULN|aAART
142	41236 22141	   	156.08	DCR|3DMG|1AART|1VULN	1LIT|256DMG|3FEWX|4RCVC|7CGEN|8RCR|9VULN|aAART
143	13334 44322	   	156.07	DCR|3VULN|1AART|1CDMG	1DUST|238VULN|4LHND|5AIRHEA|6RCR|7AART|9CDMG|aMLV
144	13163 56323	   	155.87	DCR|3VULN|1DMG|1CDMG|1DUR	1DUST|259VULN|35CGEN|4RCVC|5BPWR|6CDMG|7RCR|8DUR|aDMG
145	13352 53632	   	155.83	DCR|4VULN|1DMG|1CDMG	17DUST|2357VULN|47LIT|6DMSP|7BPWR|8CDMG|9DMG|aRCR
146	25431 63231	   	155.81	DCR|2VULN|2DMG|1AART	124LWND|39DMG|5BEXP|6AART|79LHND|89VULN|9BPWR|aRCR
147	25433 63231	   	155.71	DCR|2VULN|2DMG|1AART	124LWND|39DMG|5DUST|6AART|79LHND|89VULN|9BPWR|aRCR
148	31433 24323	   	155.69	ACR|2VULN|1AART|1DMG|1CDMG	1RPLT|2BEXP|3DMG|4FEWX|5RCR|67VULN|8AART|9LWND|aCDMG
149	31433 54323	   	155.69	ACR|2DMG|1AART|1VULN|1CDMG	1RPLT|2BEXP|36DMG|4FEWX|5RCR|7VULN|8AART|9LWND|aCDMG
150	42353 31223	   	155.63	DCR|2DMG|1AART|1VULN|1ZMB	1LIT|2CGEN|3AART|4RPLT|5VULN|6LWND|79DMG|8RCR|aZMB
151	51353 31223	   	155.63	DCR|2DMG|1AART|1VULN|1ZMB	1CGEN|2LIT|3AART|4RPLT|5VULN|6LWND|79DMG|8RCR|aZMB
152	56221 25231	 * 	155.62	DCR|3VULN|1DMG|1FLTHEA|1DUR|1SELL	1CGEN|238VULN|4FLTHEA|5SELL|6DUR|7RCR|9RPLT|aDMG
153	31433 24333	   	155.59	ACR|2VULN|1AART|1DMG|1CDMG	1RPLT|2BEXP|3DMG|4FEWX|5RCR|67VULN|8AART|9MBVNT|aCDMG
154	31433 54333	   	155.59	ACR|2DMG|1AART|1VULN|1CDMG	1RPLT|2BEXP|36DMG|4FEWX|5RCR|7VULN|8AART|9MBVNT|aCDMG
155	13313 36532	 * 	155.59	DCR|5VULN|1CDMG	18DUST|2345aVULN|6RMIN|7RCR|9CDMG
156	31622 55233	 * 	155.58	ACR|3VULN|2DMG	1RPLT|2BEXP|3RCR|4ERES|578VULN|6aDMG|9CGEN
157	32632 51316	   	155.58	ACR|3VULN|2DMG	1RPLT|2DUST|3RCR|4BELT|569VULN|7LWND|8aDMG
158	31413 25122	   	155.39	ACR|2VULN|2DMG|2CDMG	1RPLT|29BEXP|39DMG|4LWND|5RCR|68VULN|79CDMG|9BPWR|aRCVC
