0	Index      	 *	Score 	Summary	Detail	
122	66312 12334	   	164.58	DCR|3VULN|1DMG|2CDMG|1ASPD	1ASPD|24CDMG|389VULN|5LWND|6RCR|7CGEN|aDMG
123	61421 22162	   	164.21	DCR|2VULN|2AART|1DMG|1ASPD	1ASPD|28CGEN|3BELT|49VULN|5aAART|6DMG|7RCR
124	63133 52531	   	164.20	ACR|3VULN|1DMG|2ZMB|2ASPD	18ASPD|2LEGI|38ZMB|4RCR|5LWND|6FEWX|78aVULN|8BPWR|9DMG
125	62144 75212	 * 	164.20	ACR|3DMG|3CDMG|3ASPD	19aASPD|2MBVNT|3RCR|4BELT|5BEXP|6RPLT|79aCDMG|89aDMG|9aBPWR
126	52132 41662	   	164.17	DCR|3VULN|2AART|1ZMB	178MLV|2MBVNT|3ZMB|478VULN|578LIT|6RCR|78BPWR|9aAART
127	62123 35472	   	164.01	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5CDMG|6DUR|7ZMB|89VULN|aAART
128	62128 43631	   	163.98	ACR|3VULN|1DMG|2ASPD|2DUR	18ASPD|2MBVNT|3RCR|4LWND|58aVULN|6RMIN|78DUR|8BPWR|9DMG
129	62173 12734	 * 	163.88	ACR|3VULN|3ASPD|1CDMG|2DUR	18aASPD|2MBVNT|3RCR|4LHND|58DUR|678VULN|8BPWR|9CDMG
130	62184 64334	   	163.88	ACR|3VULN|1DMG|2ASPD|2DUR	17ASPD|2MBVNT|3RCR|467VULN|5RPLT|7BPWR|89DUR|aDMG
131	52138 33271	 * 	163.80	DCR|3VULN|3ZMB|1AART	1MLV|2MBVNT|356ZMB|46aVULN|6BPWR|7AART|8CGEN|9RCR
132	62188 22411	   	163.78	ACR|3VULN|1DMG|2ASPD|2DUR	19ASPD|2MBVNT|3RCR|457VULN|69CANSTR|89DUR|9BPWR|aDMG
133	62128 13732	 * 	163.68	ACR|2VULN|1AART|2ASPD|1CDMG|1ZMB	19ASPD|2MBVNT|3RCR|4LWND|56VULN|7ZMB|8CDMG|aAART
134	62182 13732	   	163.68	ACR|2VULN|1AART|2ASPD|1CDMG|1ZMB	19ASPD|2MBVNT|3RCR|46VULN|5LHND|7ZMB|8CDMG|aAART
135	62123 25432	   	163.68	ACR|2VULN|1AART|2ASPD|1CDMG|1ZMB	19ASPD|2MBVNT|3RCR|4LWND|5CDMG|68VULN|7ZMB|aAART
136	62128 84432	   	163.68	ACR|2VULN|1AART|2ASPD|1CDMG|1ZMB	19ASPD|2MBVNT|3RCR|4LWND|58VULN|6ZMB|7CDMG|aAART
137	62182 84432	   	163.68	ACR|2VULN|1AART|2ASPD|1CDMG|1ZMB	19ASPD|2MBVNT|3RCR|48VULN|5LHND|6ZMB|7CDMG|aAART
138	62183 24232	   	163.68	ACR|2VULN|1AART|2ASPD|1CDMG|1ZMB	19ASPD|2MBVNT|3RCR|46VULN|5CDMG|7LWND|8ZMB|aAART
139	66312 13322	 * 	163.67	DCR|2VULN|1AART|2CDMG|1ZMB|1ASPD	1ASPD|24CDMG|38VULN|5LWND|6RCR|7RPLT|9AART|aZMB
140	62128 13333	   	163.63	ACR|4VULN|1CDMG|1ZMB|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5689VULN|7ZMB|aCDMG
141	62188 13333	   	163.63	ACR|4VULN|1CDMG|1ZMB|1ASPD	1ASPD|2MBVNT|3RCR|4589VULN|6LWND|7ZMB|aCDMG
142	62128 82333	   	163.63	ACR|4VULN|1CDMG|1ZMB|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5789VULN|6ZMB|aCDMG
143	31421 22145	 * 	163.61	DCR|2VULN|2DMG|1AART	12aBEXP|3BELT|49VULN|5AART|6aDMG|7RCR|8aCGEN|aBPWR
144	62183 28232	   	163.58	ACR|2VULN|1AART|2ASPD|1CDMG|1ZMB	19ASPD|2MBVNT|3RCR|46VULN|5CDMG|7LEGI|8ZMB|aAART
145	62128 13322	 * 	163.53	ACR|3VULN|1AART|2ZMB|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|568VULN|7aZMB|9AART
146	62188 13322	   	163.53	ACR|3VULN|1AART|2ZMB|1ASPD	1ASPD|2MBVNT|3RCR|458VULN|6LWND|7aZMB|9AART
147	62128 82322	   	163.53	ACR|3VULN|1AART|2ZMB|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|578VULN|6aZMB|9AART
148	62122 13438	   	163.49	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2MBVNT|3RCR|4LWND|5LHND|68VULN|7ZMB|9DMG|aAART
149	62182 23438	   	163.49	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2MBVNT|3RCR|48VULN|5LHND|6LWND|7ZMB|9DMG|aAART
150	31421 22415	   	163.41	DCR|2VULN|2DMG|1AART	12aBEXP|3BELT|48VULN|5AART|6aDMG|7RCR|9aTLV|aBPWR
151	61321 43411	   	163.13	ACR|2DMG|1AART|1VULN|2ASPD|1DUR	19ASPD|2CGEN|3VULN|4FEWX|5RCR|6DUR|7AART|8aDMG
152	51211 15342	 * 	163.08	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1MLV|2CGEN|3DUR|4CDMG|57ZMB|6RCR|8VULN|9DMG|aAART
153	62185 22233	   	163.00	ACR|4VULN|3ASPD|1ZMB	189ASPD|2MBVNT|3RCR|4789VULN|5RCVC|689CANSTR|89BPWR|aZMB
154	62123 24632	   	162.99	ACR|2VULN|1DMG|2CDMG|2ASPD|1DUR	18ASPD|2MBVNT|3RCR|4LWND|58CDMG|68VULN|7RPLT|8BPWR|9DMG|aDUR
155	36313 33154	   	162.96	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	1BEXP|24CDMG|3DMG|5RCR|6ASPD|7AART|8FEWX|9ZMB|aVULN
156	36313 33314	   	162.96	ACR|1AART|1VULN|2CDMG|1DMG|1ZMB|1ASPD	1BEXP|24CDMG|3DMG|5RCR|6ASPD|7AART|8ZMB|9LWND|aVULN
157	36313 33323	   	162.96	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	1BEXP|24CDMG|3DMG|5RCR|6ASPD|7AART|8ZMB|9VULN|aCGEN
158	36313 33325	   	162.96	ACR|1AART|1VULN|2CDMG|1DMG|1ZMB|1ASPD	1BEXP|24CDMG|3DMG|5RCR|6ASPD|7AART|8ZMB|9VULN|aLHND
159	36313 13253	   	162.96	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	1BEXP|24CDMG|3DMG|5RCR|6RMIN|7AART|8DUR|9ZMB|aVULN
160	36313 43253	   	162.96	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	1BEXP|24CDMG|3DMG|5RCR|6CGEN|7AART|8DUR|9ZMB|aVULN
