0	Index      	 *	Score 	Summary	Detail	
111	11322 42434	   	169.00	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|2VULN|37DMG|4RCR|5CDMG|6ERES|8AART|9ZMB|aMLV
112	11321 62436	   	169.00	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	15BEXP|2VULN|3aDMG|4RCR|6CDMG|7TLV|8AART|9ZMB
113	11322 12232	   	168.94	ACR|2DMG|2AART|1VULN|1CDMG	1BEXP|2VULN|37DMG|4RCR|5CDMG|6FEWX|8CGEN|9aAART
114	11325 35513	   	168.94	ACR|2DMG|2AART|1VULN|1CDMG	1BEXP|2VULN|38DMG|4RCR|5LHND|6LIT|7CDMG|9aAART
115	11322 42432	   	168.90	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|2VULN|37DMG|4RCR|5CDMG|6aERES|8AART|9ZMB
116	11322 42443	   	168.90	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|2VULN|37DMG|4RCR|5CDMG|6ERES|8AART|9TLV|aZMB
117	11322 41436	   	168.90	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|2VULN|3aDMG|4RCR|5CDMG|67ERES|8AART|9ZMB
118	64323 21311	   	168.84	ACR|3VULN|1AART|1DMG|1ASPD	1ASPD|28FEWX|379VULN|4RCR|5AART|6CGEN|aDMG
119	11322 62235	 * 	168.74	ACR|2VULN|2DMG|2ZMB|1CDMG	1aBEXP|28VULN|3aDMG|4RCR|5CDMG|6RCVC|7TLV|9aZMB|aBPWR
120	11322 64335	   	168.74	ACR|2VULN|2DMG|2ZMB|1CDMG	1aBEXP|27VULN|3aDMG|4RCR|5CDMG|6RCVC|8ERES|9aZMB|aBPWR
121	64323 41111	   	168.74	ACR|3VULN|1AART|1DMG|1ASPD	1ASPD|27FEWX|369VULN|4RCR|5AART|8ERES|aDMG
122	64323 41211	   	168.74	ACR|3VULN|1AART|1DMG|1ASPD	1ASPD|27FEWX|369VULN|4RCR|5AART|8TLV|aDMG
123	64323 42311	   	168.74	ACR|3VULN|1AART|1DMG|1ASPD	1ASPD|28FEWX|369VULN|4RCR|5AART|7ERES|aDMG
