0	Index      	 *	Score 	Summary	Detail	
131	33313 61523	   	178.73	DCR|3VULN|1AART|1DMG|1CDMG	15aVULN|2LIT|3AART|4BEXP|6RCR|7DMG|8RMIN|9CDMG
132	14142 12643	   	178.72	ACR|3VULN|1AART|2ASPD|2DUR|1ZMB	17DUR|2FEWX|37aVULN|4RCR|5AART|67ASPD|7BPWR|8MBVNT|9ZMB
133	12112 64633	   	178.67	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|23VULN|4RCR|5LHND|6ERES|78DMG|9ZMB|aAART
134	12116 61623	   	178.67	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|23VULN|4RCR|5LWND|6TLV|7ZMB|89DMG|aAART
135	26113 14633	   	178.67	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1LEGI|23VULN|4RCR|5MLV|6DUR|78DMG|9ZMB|aAART
136	33313 61423	   	178.63	DCR|3VULN|1AART|1DMG|1CDMG	15aVULN|2LIT|3AART|4BEXP|6RCR|7DMG|8ERES|9CDMG
137	32442 16121	   	178.59	DCR|3VULN|2DMG|1CDMG|2DUR|1ASPD	128VULN|35DMG|45DUR|5BPWR|6ASPD|7CDMG|9BEXP|aRCR
138	12342 35132	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|26aVULN|3CDMG|4FEWX|5DMSP|7AART|8RCR|9DMG
139	12343 35132	   	178.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|26aVULN|3CDMG|4FEWX|5RCVC|7AART|8RCR|9DMG
140	36312 12661	   	178.37	DCR|4VULN|1AART|1CDMG|1ZMB	167aVULN|25LWND|3CDMG|4AART|8RCR|9ZMB
141	62312 12661	   	178.37	DCR|4VULN|1AART|1CDMG|1ZMB	15LWND|267aVULN|3CDMG|4AART|8RCR|9ZMB
142	12321 65132	   	178.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|25aVULN|3CDMG|4CGEN|6ERES|7AART|8RCR|9DMG
143	12364 35132	   	178.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|26aVULN|3CDMG|4LEGI|5RCVC|7AART|8RCR|9DMG
144	12431 65132	   	178.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|25aVULN|3CGEN|4CDMG|6ERES|7AART|8RCR|9DMG
145	35331 65132	   	178.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	15aVULN|2MLV|3DUR|4CDMG|6ERES|7AART|8RCR|9DMG
146	34321 25432	   	178.33	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	15VULN|2FEWX|3CDMG|4CGEN|6ZMB|7aAART|8RCR|9DMG
147	32436 62412	   	178.32	DCR|4VULN|2DMG|1CDMG	1267VULN|37DMG|479CGEN|5MBVNT|7BPWR|8RCR|aCDMG
148	12231 65132	   	178.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|25aVULN|3TLV|4CDMG|6ERES|7AART|8RCR|9DMG
149	32442 13511	   	178.24	DCR|3VULN|2DMG|2DUR|1ZMB|1ASPD	128VULN|35DMG|45DUR|5BPWR|6ASPD|7TLV|9RCR|aZMB
150	36231 25432	   	178.23	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	15VULN|2LWND|3TLV|4CDMG|6ZMB|7aAART|8RCR|9DMG
151	36321 25432	   	178.23	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	15VULN|2LWND|3CDMG|4ERES|6ZMB|7aAART|8RCR|9DMG
152	62231 25432	   	178.23	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1LWND|25VULN|3TLV|4CDMG|6ZMB|7aAART|8RCR|9DMG
153	62321 25432	   	178.23	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1LWND|25VULN|3CDMG|4ERES|6ZMB|7aAART|8RCR|9DMG
