0	Index      	 *	Score 	Summary	Detail	
108	32125 21363	   	180.35	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2ERES|3FEWX|4RCR|5DMG|6RCVC|789VULN|aCDMG
109	32522 46343	   	180.25	ACR|3VULN|1AART|1DMG|1CDMG	1AART|25ERES|359VULN|4RCR|5BPWR|6RCVC|7DMG|8MBVNT|aCDMG
110	32613 21224	 * 	180.16	ACR|2AART|2DMG|1VULN|2CDMG	1aAART|28ERES|3MLV|48DMG|5RCR|6RCVC|78CDMG|8BPWR|9VULN
111	32325 53132	   	180.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2ERES|3DUR|4RCR|5DMG|6aVULN|7FEWX|8CDMG|9ZMB
112	32525 31633	   	180.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2ERES|39VULN|4RCR|5DMG|6ZMB|7ASPD|8DMSP|aCDMG
113	31125 52363	   	180.05	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2FEWX|3ERES|4RCR|5DMG|689VULN|7RCVC|aCDMG
114	32125 52363	   	180.05	ACR|3VULN|1AART|1DMG|1CDMG	1AART|2ERES|3FEWX|4RCR|5DMG|689VULN|7RCVC|aCDMG
115	32325 31233	 * 	180.04	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	1AART|2ERES|3DUR|4RCR|5aDMG|6ZMB|78ASPD|9VULN
116	32525 33623	   	180.04	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	1AART|2ERES|3VULN|4RCR|5aDMG|6ZMB|7DUR|89ASPD
117	32124 25142	   	179.98	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2ERES|3aFEWX|4RCR|5CDMG|6CGEN|7aVULN|8LIT|9aDMG|aBPWR
118	32524 22242	   	179.98	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2ERES|3aVULN|4RCR|5CDMG|6CGEN|7aLIT|8LHND|9aDMG|aBPWR
119	31625 21431	   	179.94	ACR|2VULN|2DMG|1AART|1ZMB	1AART|29FEWX|3ZMB|4RCR|59DMG|6RCVC|79VULN|8RMIN|9BPWR|aCGEN
120	31625 21432	   	179.94	ACR|2VULN|2DMG|1AART|1ZMB	1AART|29FEWX|3ZMB|4RCR|59DMG|6RCVC|79VULN|8RMIN|9BPWR|aDMSP
121	32333 41311	   	179.92	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	14AART|2ERES|3DUR|5ZMB|6RCR|78VULN|9DMG|aCGEN
122	32333 41312	   	179.92	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	14AART|2ERES|3DUR|5ZMB|6RCR|78VULN|9DMG|aDMSP
123	32333 41314	   	179.92	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	14AART|2ERES|3DUR|5ZMB|6RCR|78VULN|9DMG|aLHND
124	31124 25142	   	179.88	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2FEWX|3aERES|4RCR|5CDMG|6CGEN|7aVULN|8LIT|9aDMG|aBPWR
125	32524 22142	   	179.88	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2ERES|3aVULN|4RCR|5CDMG|6CGEN|7aLIT|8DUST|9aDMG|aBPWR
126	31625 21433	   	179.84	ACR|2VULN|2DMG|1AART|1ZMB	1AART|29FEWX|3ZMB|4RCR|59DMG|6RCVC|79VULN|8RMIN|9BPWR|aTLV
127	32333 41313	   	179.82	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	14AART|2ERES|3DUR|5ZMB|6RCR|78VULN|9DMG|aTLV
128	32333 41316	   	179.82	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	14AART|2aERES|3DUR|5ZMB|6RCR|78VULN|9DMG
129	32525 53113	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2ERES|36VULN|4RCR|59DMG|7LHND|8DMSP|aCDMG
130	32525 53213	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2ERES|36VULN|4RCR|59DMG|78LHND|aCDMG
131	32522 56113	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	1AART|25ERES|35VULN|4RCR|5BPWR|6LHND|79DMG|8DMSP|aCDMG
132	32522 56213	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	1AART|25ERES|35VULN|4RCR|5BPWR|68LHND|79DMG|aCDMG
133	31425 21312	   	179.74	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2FEWX|3MLV|4RCR|59DMG|6RCVC|78VULN|aZMB
134	31625 21311	   	179.74	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2FEWX|3ZMB|4RCR|59DMG|6RCVC|78VULN|aLIT
135	31625 21313	   	179.74	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2FEWX|3ZMB|4RCR|59DMG|6RCVC|78VULN|aLWND
136	31625 21315	   	179.74	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2FEWX|3ZMB|4RCR|59DMG|6RCVC|78VULN|aBEXP
137	32613 21226	   	179.72	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	1AART|28ERES|3MLV|48DMG|5RCR|6RCVC|78CDMG|8BPWR|9VULN|aZMB
138	32541 51211	 * 	179.69	DCR|5VULN|2AART	17AART|2ERES|3569aVULN|4DMSP|8RCR
139	32541 61211	   	179.69	DCR|5VULN|2AART	17AART|26ERES|3569aVULN|4DMSP|6BPWR|8RCR
140	32525 61213	   	179.68	ACR|2VULN|2DMG|1AART|1CDMG	1AART|26ERES|37VULN|4RCR|59DMG|8FEWX|aCDMG
141	31125 21312	   	179.64	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2FEWX|3ERES|4RCR|59DMG|6RCVC|78VULN|aZMB
142	32125 21312	   	179.64	ACR|2VULN|2DMG|1AART|1ZMB	1AART|2ERES|3FEWX|4RCR|59DMG|6RCVC|78VULN|aZMB
143	32522 46212	   	179.64	ACR|2VULN|2DMG|1AART|1ZMB	1AART|25ERES|35VULN|4RCR|5BPWR|6RCVC|79DMG|8FEWX|aZMB
144	23825 41216	   	179.62	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	17CGEN|2MBVNT|3DUST|47VULN|5RCR|67DMG|7BPWR|8CDMG|9AART|aASPD
145	23825 41217	   	179.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	17CGEN|2MBVNT|3DUST|47VULN|5RCR|67DMG|7BPWR|8CDMG|9AART|aDUR
146	23825 41251	 * 	179.59	ACR|3VULN|2DMG|2ZMB|1CDMG	17aCGEN|2MBVNT|3DUST|47aVULN|5RCR|67DMG|7aBPWR|8CDMG|9aZMB
147	32525 61113	   	179.58	ACR|2VULN|2DMG|1AART|1CDMG	1AART|26ERES|37VULN|4RCR|59DMG|8DUST|aCDMG
148	32525 61313	   	179.58	ACR|2VULN|2DMG|1AART|1CDMG	1AART|26ERES|37VULN|4RCR|59DMG|8MBVNT|aCDMG
149	31626 31362	   	179.56	ACR|3VULN|1AART|3ZMB|1ASPD	1AART|2FEWX|36aZMB|4RCR|5ASPD|789VULN
150	32522 46112	   	179.54	ACR|2VULN|2DMG|1AART|1ZMB	1AART|25ERES|35VULN|4RCR|5BPWR|6RCVC|79DMG|8DUST|aZMB
