0	Index      	 *	Score 	Summary	Detail	
108	54332 21162	   	191.03	DCR|2VULN|2ASPD|1DMG|2DUR|1AAC	13DUR|25ASPD|45VULN|5BPWR|6DMG|7DMSP|8RCR|9AAC|aLWND
109	54332 21163	   	191.03	DCR|2VULN|2ASPD|1DMG|2DUR|1AAC	13DUR|25ASPD|45VULN|5BPWR|6DMG|7DMSP|8RCR|9AAC|aBEXP
110	32222 12226	 * 	190.93	DCR|3VULN|3DMG	179LHND|29aVULN|3DLOT|457DMG|679ERES|79BPWR|8RCR
111	24245 22332	   	190.52	DCR|2VULN|2ASPD|1AART|1ZMB	19LWND|26ASPD|3ZMB|4AART|58VULN|7RCR|aRCVC
112	32222 26433	   	190.25	DCR|3DMG|1AART|1VULN|1CDMG	1LHND|2VULN|3DLOT|456DMG|7RCVC|8AART|9CDMG|aRCR
113	24245 22131	   	190.19	DCR|2VULN|2ASPD|1AART|1ZMB	1LWND|26ASPD|3ZMB|4AART|59VULN|7RCR|8CGEN|aRMIN
114	24245 22133	   	190.19	DCR|2VULN|2ASPD|1AART|1ZMB	1LWND|26ASPD|3ZMB|4AART|59VULN|7RCR|8CGEN|aFEWX
115	24245 22132	   	190.09	DCR|2VULN|2ASPD|1AART|1ZMB	1LWND|26ASPD|3ZMB|4AART|59VULN|7RCR|8CGEN|aERES
116	24245 22231	   	190.09	DCR|2VULN|2ASPD|1AART|1AAC|1ZMB	1LWND|26ASPD|3ZMB|4AART|59VULN|7RCR|8AAC|aRMIN
117	24245 22233	   	190.09	DCR|2VULN|2ASPD|1AART|1AAC|1ZMB	1LWND|26ASPD|3ZMB|4AART|59VULN|7RCR|8AAC|aFEWX
118	24245 22331	   	190.09	DCR|2VULN|2ASPD|1AART|1ZMB	19LWND|26ASPD|3ZMB|4AART|58VULN|7RCR|aDUST
119	54332 16312	   	190.02	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6BEXP|7RCR|8ERES|9DMG|aRCVC
120	24614 22321	   	190.01	DCR|1MDPS|1AART|1VULN|1ASPD|1NUKE|1DMG	1LWND|2ASPD|3AME|4MLV|5AART|6DMG|7RCR|8VULN|9MDPS|aNUKE
121	24245 22311	   	189.99	DCR|2VULN|2ASPD|1AART|1ZMB|1MSE	1LWND|26ASPD|3ZMB|4AART|58VULN|7RCR|9MSE|aLHND
122	24245 22312	   	189.99	DCR|2VULN|2ASPD|1AART|1ZMB|1MSE	1aLWND|26ASPD|3ZMB|4AART|58VULN|7RCR|9MSE
123	24245 22313	   	189.99	DCR|2VULN|2ASPD|1AART|1ZMB|2MSE	1LWND|26ASPD|3ZMB|4AART|58VULN|7RCR|9aMSE
124	22516 36311	   	189.94	DCR|2VULN|2DMG|1ASPD|1ZMB	16LWND|25VULN|3ZMB|46FEWX|6BPWR|7RCR|8ASPD|9aDMG
125	52326 33331	 * 	189.88	DCR|3VULN|2DMG|3DUR	146DUR|279VULN|3DUST|56DMG|6BPWR|8LIT|aRCR
126	24234 22363	 * 	189.87	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1LWND|2aASPD|3ZMB|4AME|5AART|6DMG|7RCR|8VULN|9LIT
127	24242 22132	   	189.87	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1LWND|26ASPD|3ZMB|4AART|5BEXP|7RCR|8CGEN|9VULN|aDMG
128	24316 36131	   	189.79	DCR|2VULN|2ASPD|1DMG|2DUR	19LWND|26ASPD|38DUR|4FEWX|56VULN|6BPWR|7RCR|aDMG
129	54332 16111	   	189.79	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|69BEXP|7RCR|8FEWX|aDMG
130	54332 16231	   	189.79	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6BEXP|7RCR|8RMIN|9AME|aDMG
131	24242 22232	   	189.77	DCR|2ASPD|1VULN|1AART|1DMG|1AAC|1ZMB	1LWND|26ASPD|3ZMB|4AART|5BEXP|7RCR|8AAC|9VULN|aDMG
132	24245 22122	   	189.77	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1LWND|26ASPD|3ZMB|4AART|5VULN|7RCR|8CGEN|9DUST|aDMG
133	54332 16213	   	189.69	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6BEXP|7RCR|8RMIN|9DMG|aERES
134	54332 16331	   	189.69	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6BEXP|7RCR|8ERES|9MLV|aDMG
135	54313 16313	   	189.59	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|24ASPD|5aVULN|6BEXP|7RCR|8ERES|9DMG
136	54332 25111	   	189.40	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6DMG|7RCVC|8RCR|9BEXP|aCGEN
137	54332 25112	   	189.40	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6DMG|7RCVC|8RCR|9aBEXP
138	54332 25113	   	189.40	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6DMG|7RCVC|8RCR|9BEXP|aRMIN
139	54332 25131	   	189.40	DCR|2VULN|2ASPD|1DMG|2DUR	13DUR|25ASPD|45VULN|5BPWR|6DMG|7RCVC|8RCR|9LWND|aCGEN
