0	Index      	 *	Score 	Summary	Detail	
123	52232 36213	   	186.08	DCR|2VULN|2CDMG|1DMG|1ZMB|1DUR	1LHND|24CDMG|3ZMB|5DUST|6RCR|7aVULN|8DMG|9DUR
124	22352 11313	   	186.06	DCR|2VULN|2ASPD|1AART|1DUR	1MLV|2DUR|3LWND|45VULN|6AART|7aASPD|8RCR|9DUST
125	22352 11323	   	186.06	DCR|2VULN|2ASPD|1AART|1DUR	1MLV|2DUR|3LWND|45VULN|6AART|7aASPD|8RCR|9ERES
126	22324 68313	   	186.06	DCR|2VULN|2ASPD|1AART|1DUR	1MLV|2DUR|3LWND|4MBVNT|5aASPD|69VULN|7AART|8RCR
127	32212 16613	   	185.91	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LWND|2CDMG|3ZMB|4DMG|5CGEN|6VULN|7aAART|8RCR|9MLV
128	32212 16633	   	185.81	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LWND|2CDMG|3ZMB|4DMG|5CGEN|6VULN|7aAART|8RCR|9TLV
129	32311 56252	   	185.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2CDMG|3ERES|4DMG|5LHND|6ASPD|7AART|8VULN|9ZMB|aRCR
130	62124 31513	 * 	185.69	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG|1AAC|1DUR	1MDPS|2CGEN|3AAC|4ASPD|5aAART|6CDMG|7RCR|8VULN|9DUR
131	61332 41311	   	185.57	DCR|3VULN|1MDPS|1AART|1DMG	1MDPS|279VULN|37CGEN|47FEWX|5AART|6RCR|7BPWR|8DMG|aMLV
132	61332 41314	   	185.57	DCR|3VULN|1MDPS|1AART|1DMG	1MDPS|279VULN|37CGEN|47FEWX|5AART|6RCR|7BPWR|8DMG|aAME
133	61332 41315	   	185.57	DCR|3VULN|1MDPS|1AART|1DMG	1MDPS|279VULN|37CGEN|47aFEWX|5AART|6RCR|7BPWR|8DMG
134	61332 41341	   	185.57	DCR|3VULN|1MDPS|1AART|1DMG	1MDPS|27aVULN|37CGEN|47FEWX|5AART|6RCR|7BPWR|8DMG|9LIT
135	61332 41316	   	185.47	DCR|3VULN|1MDPS|1AART|1DMG	1MDPS|279VULN|37CGEN|47FEWX|5AART|6RCR|7BPWR|8DMG|aERES
136	61232 41311	   	185.37	DCR|3VULN|1MDPS|1AART|1DMG	1MDPS|279VULN|37TLV|47FEWX|5AART|6RCR|7BPWR|8DMG|aMLV
137	61232 41314	   	185.37	DCR|3VULN|1MDPS|1AART|1DMG	1MDPS|279VULN|37TLV|47FEWX|5AART|6RCR|7BPWR|8DMG|aAME
138	61232 41315	   	185.37	DCR|3VULN|1MDPS|1AART|1DMG	1MDPS|279VULN|37TLV|47aFEWX|5AART|6RCR|7BPWR|8DMG
139	61232 41341	   	185.37	DCR|3VULN|1MDPS|1AART|1DMG	1MDPS|27aVULN|37TLV|47FEWX|5AART|6RCR|7BPWR|8DMG|9LIT
140	61622 41311	   	185.37	DCR|3VULN|1MDPS|1AART|1DMG	1MDPS|279VULN|37FEWX|47TLV|5AART|6RCR|7BPWR|8DMG|aMLV
141	61332 41342	   	185.33	DCR|2VULN|2DMG|1MDPS|1AART	1MDPS|27VULN|37CGEN|47FEWX|5AART|6RCR|7BPWR|8aDMG|9LIT
142	61232 41316	   	185.27	DCR|3VULN|1MDPS|1AART|1DMG	1MDPS|279VULN|37TLV|47FEWX|5AART|6RCR|7BPWR|8DMG|aERES
143	61232 41342	   	185.13	DCR|2VULN|1MDPS|2DMG|1AART	1MDPS|27VULN|37TLV|47FEWX|5AART|6RCR|7BPWR|8aDMG|9LIT
144	32613 41114	   	184.65	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2CDMG|3DUST|4VULN|5LIT|6RCR|7AART|8RCVC|9ASPD|aDMG
145	32114 22636	   	184.25	DCR|3VULN|1ASPD|1CDMG|1DUR	1LWND|2CDMG|3BEXP|48aVULN|5DUR|6ASPD|7RCR|9RPLT
146	22323 66184	   	184.15	DCR|3VULN|1ASPD|1CDMG|1DUR	1MLV|2DUR|3LWND|4MBVNT|5CDMG|6ASPD|7RCR|89aVULN
147	25231 43326	   	183.91	DCR|2VULN|1ASPD|1DMG|1CDMG	1MLV|2RCVC|3CDMG|4aVULN|5RPLT|6RCR|7ASPD|8DMG|9BEXP
148	23231 43435	   	183.89	DCR|2VULN|1AART|1ASPD|1CDMG	1MLV|2DMSP|3CDMG|4aVULN|5RPLT|6RCR|7ASPD|8LIT|9AART
149	61332 41323	   	183.89	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1MDPS|27VULN|37CGEN|47FEWX|5AART|6RCR|7BPWR|8DMG|9ERES|aCDMG
150	14315 31125	 * 	183.89	DCR|2VULN|1ASPD|1DMG|1NUKE	1FEWX|2BEXP|3ERES|4RPLT|5ASPD|6RCR|79VULN|8DMG|aNUKE
151	62124 31511	 * 	183.83	DCR|1MDPS|2ASPD|1AART|1VULN|1CDMG|1AAC|1DUR	1MDPS|2CGEN|3AAC|4aASPD|5AART|6CDMG|7RCR|8VULN|9DUR
152	61332 41236	   	183.81	DCR|2VULN|2AART|1MDPS|1DMG	1MDPS|27VULN|37CGEN|47FEWX|5aAART|6RCR|7BPWR|8LHND|9DMG
153	32613 41511	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1LWND|2CDMG|3DUST|48VULN|5aLIT|6RCR|7AART|9ASPD
154	43242 51213	   	183.79	DCR|2VULN|1AART|1DMG|1CDMG	1ERES|2DMSP|3CDMG|4AART|5BEXP|6RCR|78VULN|9LIT|aDMG
155	32613 41512	   	183.69	DCR|2VULN|1AART|1ASPD|1CDMG	1LWND|2CDMG|3aDUST|48VULN|5LIT|6RCR|7AART|9ASPD
156	32613 41513	   	183.69	DCR|2VULN|1AART|1ASPD|1CDMG	1LWND|2CDMG|3DUST|48VULN|5LIT|6RCR|7AART|9ASPD|aERES
