0	Index      	 *	Score 	Summary	Detail	
89	21238 41546	   	214.52	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1MBVNT|24BEXP|3VULN|5RCR|6ASPD|7DMG|8TLV|9BASARM|aLIT
90	21238 41547	   	214.52	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1MBVNT|24BEXP|3VULN|5RCR|6ASPD|7DMG|8TLV|9BASARM|aRPLT
91	34222 11231	   	214.52	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	18BEXP|2RCR|3VULN|46DUR|5ASPD|7aDMG|9CDMG
92	14321 62332	   	214.47	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1DUR|2RCR|3CGEN|4LWND|5CDMG|6BASARM|7AART|8ASPD|9VULN|aLIT
93	14351 62332	   	214.47	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1DUR|2RCR|3CGEN|4LHND|5CDMG|6BASARM|7AART|8ASPD|9VULN|aLIT
94	21238 41541	   	214.42	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1MBVNT|24BEXP|3VULN|5RCR|6ASPD|7DMG|8TLV|9BASARM|aMDPS
95	21238 41542	   	214.42	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1MBVNT|24BEXP|3VULN|5RCR|6ASPD|7DMG|8TLV|9BASARM|aERES
96	34222 31231	   	214.42	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	18BEXP|2RCR|3VULN|4DUR|5ASPD|6AEFBLL|7aDMG|9CDMG
97	14321 62334	   	214.37	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1DUR|2RCR|3CGEN|4LWND|5CDMG|6BASARM|7AART|8ASPD|9VULN|aAME
98	14321 62335	   	214.37	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1DUR|2RCR|3CGEN|4LWND|5CDMG|6BASARM|7AART|8ASPD|9VULN|aTLV
99	64321 62332	   	214.37	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1DUST|2RCR|3CGEN|4LWND|5CDMG|6BASARM|7AART|8ASPD|9VULN|aLIT
100	21288 44436	   	214.34	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2BEXP|3VULN|4AEFBLL|5RCR|6ASPD|7CDMG|8RMIN|9BASARM|aDMG
101	34252 31231	   	214.32	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	18BEXP|2RCR|3VULN|46DUST|5ASPD|7aDMG|9CDMG
