0	Index      	Bounty	 *	Score 	Summary	Detail	
109	34432 43313	4	   	249.70	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3ZMB|4679VULN|5BEXP|8RCR|aTLV
110	35635 23313	4	   	249.70	DCR|4VULN|1TLV|1DUR|1AART	1AART|2BEXP|3DUR|4579VULN|6ZMB|8RCR|aTLV
111	34334 22612	6	   	249.65	DCR|2VULN|2DUR|1DMG|1TLV|2LIT|1AART	1AART|28DUR|38LIT|49VULN|5DMG|6RCR|78DUST|8BPWR|aTLV
112	35612 32232	10	   	249.61	DCR|3VULN|2DUR|2AART|1TLV	17AART|2aBEXP|3aDUR|4TLV|5CGEN|68aVULN|9RCR|aBPWR
113	34131 15112	4	   	249.60	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4789VULN|5TLV|6RCR|aBEXP
114	34131 15113	4	   	249.60	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4789VULN|5TLV|6RCR|aFEWX
115	34131 15117	4	   	249.60	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4789VULN|5TLV|6RCR|aLHND
116	34131 15118	4	   	249.60	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4789VULN|5TLV|6RCR|aMLV
117	34131 15534	4	   	249.60	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|479aVULN|5TLV|6RCR|8CGEN
118	34131 53312	4	   	249.60	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4679VULN|5TLV|8RCR|aBEXP
119	34131 53313	4	   	249.60	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4679VULN|5TLV|8RCR|aFEWX
120	34131 53317	4	   	249.60	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4679VULN|5TLV|8RCR|aLHND
121	34131 53318	4	   	249.60	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4679VULN|5TLV|8RCR|aMLV
122	34161 15112	3	   	249.60	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4789VULN|5TLV|6RCR|aBEXP
123	34161 15113	3	   	249.60	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4789VULN|5TLV|6RCR|aFEWX
124	34161 53312	3	   	249.60	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4679VULN|5TLV|8RCR|aBEXP
125	34161 53313	3	   	249.60	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4679VULN|5TLV|8RCR|aFEWX
126	34131 15111	4	   	249.50	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4789VULN|5TLV|6RCR|aDUST
127	34131 15114	4	   	249.50	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4789VULN|5TLV|6RCR|aERES
128	34131 15115	4	   	249.50	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4789VULN|5TLV|6RCR|aBBNT
129	34131 53311	4	   	249.50	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4679VULN|5TLV|8RCR|aDUST
130	34131 53314	4	   	249.50	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4679VULN|5TLV|8RCR|aERES
131	34131 53315	4	   	249.50	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4679VULN|5TLV|8RCR|aBBNT
132	34161 15111	3	   	249.50	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4789VULN|5TLV|6RCR|aDUST
133	34161 15114	3	   	249.50	DCR|4VULN|1TLV|1DUR|1AART	1AART|2DUR|3MBVNT|4789VULN|5TLV|6RCR|aERES
