0	Index      	 *	Score 	Summary	Detail	
110	42331 45211	   	209.98	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG|1AAC	1BASARM|2CGEN|3CDMG|4RCR|5RPLT|6DMG|7AART|8ASPD|9AAC|aLSRICY
111	42331 45212	   	209.98	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AART|1AAC	1BASARM|2CGEN|3CDMG|4RCR|5RPLT|6DMG|7AART|8ASPD|9AAC|aMBVNT
112	42331 45213	   	209.98	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG|1AAC	1BASARM|2CGEN|3CDMG|4RCR|5RPLT|6DMG|7AART|8ASPD|9AAC|aERES
113	43634 32231	   	209.97	ACR|2BASARM|2ASPD|2BEXP	13BASARM|23AME|3BPWR|4aBEXP|5RCR|69ASPD|7BELT|8MLV
114	43634 32331	   	209.97	ACR|2BASARM|2ASPD|2BEXP	13BASARM|23AME|3BPWR|4aBEXP|5RCR|69ASPD|7BELT|8CGEN
115	42122 33541	 * 	209.65	ACR|1BASARM|2ASPD|2DMG	1BASARM|2CGEN|3LHND|4RCR|5RPLT|6MLV|79ASPD|8aDMG
116	43122 33541	   	209.55	ACR|1BASARM|2ASPD|2DMG	1BASARM|2AME|3LHND|4RCR|5RPLT|6MLV|79ASPD|8aDMG
117	44122 31261	   	209.39	ACR|2BASARM|3VULN|1ASPD|1AAC	17BASARM|2LWND|37ZMB|4RCR|5RPLT|678VULN|7BPWR|9AAC|aASPD
118	41423 24232	 * 	209.02	ACR|2BASARM|2VULN|1ASPD|1DMG	17BASARM|27DUST|3DMG|4RCR|5aVULN|67LHND|7BPWR|8BELT|9ASPD
119	44121 13163	   	209.02	ACR|2BASARM|2VULN|1ASPD|1DMG	17BASARM|2LWND|37ZMB|4RCR|5NUKE|67VULN|7BPWR|8DUST|9DMG|aASPD
120	42123 25222	   	209.00	ACR|1BASARM|2BEXP|2AART|1ASPD	1BASARM|2CGEN|36LHND|4RCR|5aBEXP|79AART|8ASPD
121	42123 25522	   	209.00	ACR|1BASARM|2BEXP|2AART|1DMG	1BASARM|2CGEN|36LHND|4RCR|5aBEXP|79AART|8DMG
122	42123 55222	   	209.00	ACR|1BASARM|2BEXP|2AART|1ASPD	1BASARM|26CGEN|3LHND|4RCR|5aBEXP|79AART|8ASPD
123	42534 32232	   	208.98	ACR|2BASARM|2ASPD|1BEXP|1CDMG	13BASARM|23CGEN|3BPWR|4BEXP|5RCR|69ASPD|7BELT|8MLV|aCDMG
124	42623 35222	   	208.90	ACR|1BASARM|2BEXP|2AART|1ASPD	1BASARM|2CGEN|3aBEXP|4RCR|5FEWX|6AEMAG|79AART|8ASPD
125	43123 25522	   	208.90	ACR|1BASARM|2BEXP|2AART|1DMG	1BASARM|2AME|36LHND|4RCR|5aBEXP|79AART|8DMG
126	43634 32232	   	208.78	ACR|2BASARM|2ASPD|1BEXP|1CDMG	13BASARM|23AME|3BPWR|4BEXP|5RCR|69ASPD|7BELT|8MLV|aCDMG
127	43634 32332	   	208.78	ACR|2BASARM|2ASPD|1BEXP|1CDMG	13BASARM|23AME|3BPWR|4BEXP|5RCR|69ASPD|7BELT|8CGEN|aCDMG
128	42123 63314	   	208.73	ACR|2BASARM|2DMG|1BEXP|1AAC	17BASARM|278CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|9AAC|aRCVC
129	42123 63316	   	208.73	ACR|2BASARM|2DMG|1BEXP|1AAC	17BASARM|278CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|9AAC|aDUR
130	42123 63311	   	208.63	ACR|2BASARM|2DMG|1BEXP|1AAC	17BASARM|278CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|9AAC|aMBVNT
131	42123 63313	   	208.63	ACR|2BASARM|2DMG|1BEXP|1AAC	17BASARM|278CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|9AAC|aAEMAG
132	42123 63315	   	208.63	ACR|2BASARM|2DMG|1BEXP|1AAC	17BASARM|278CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|9AAC|aAME
133	41426 21321	   	208.61	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG	1BASARM|2DUST|3DMG|4RCR|5AART|6DUR|7CDMG|8ASPD|9VULN|aLHND
134	41426 21322	   	208.61	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG	1BASARM|2DUST|3DMG|4RCR|5AART|6DUR|7CDMG|8ASPD|9VULN|aFEWX
135	44423 33312	   	208.61	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1BASARM|2LWND|3DMG|4RCR|5VULN|6BEXP|7AART|8LHND|9ERES|aASPD
136	44423 33322	   	208.61	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1BASARM|2LWND|3DMG|4RCR|5VULN|6BEXP|7AART|8LHND|9NUKE|aASPD
137	42626 13122	   	208.61	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1BASARM|2CGEN|3BEXP|4RCR|5AART|6MDPS|7VULN|8RCVC|9DMG|aASPD
138	42123 63113	   	208.53	ACR|2BASARM|2DMG|1BEXP|1AAC	17BASARM|27CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|8DUST|9MDPS|aAAC
139	41423 13112	   	208.51	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1BASARM|2DUST|3DMG|4RCR|5VULN|6LWND|7AART|8BEXP|9ERES|aASPD
140	41423 13122	   	208.51	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1BASARM|2DUST|3DMG|4RCR|5VULN|6LWND|7AART|8BEXP|9NUKE|aASPD
141	41423 23112	   	208.51	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1BASARM|2DUST|3DMG|4RCR|5VULN|6LHND|7AART|8BEXP|9ERES|aASPD
142	41423 23122	   	208.51	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1BASARM|2DUST|3DMG|4RCR|5VULN|6LHND|7AART|8BEXP|9NUKE|aASPD
143	41426 21323	   	208.51	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AART	1BASARM|2DUST|3DMG|4RCR|5AART|6DUR|7CDMG|8ASPD|9VULN|aERES
144	41426 31321	   	208.51	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG	1BASARM|2DUST|3DMG|4RCR|5AART|6LEGI|7CDMG|8ASPD|9VULN|aLHND
145	41426 31322	   	208.51	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG	1BASARM|2DUST|3DMG|4RCR|5AART|6LEGI|7CDMG|8ASPD|9VULN|aFEWX
146	44423 23112	   	208.51	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1BASARM|2LWND|3DMG|4RCR|5VULN|6DUST|7AART|8BEXP|9ERES|aASPD
147	44423 23122	   	208.51	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1BASARM|2LWND|3DMG|4RCR|5VULN|6DUST|7AART|8BEXP|9NUKE|aASPD
148	41423 35231	   	208.41	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1BASARM|2DUST|3DMG|4RCR|5VULN|6AEMAG|7AART|8ASPD|9DLOT|aBEXP
149	41426 31313	   	208.41	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AART	1BASARM|2DUST|3DMG|4RCR|5AART|6LEGI|7CDMG|8ASPD|9ERES|aVULN
150	41426 31323	   	208.41	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AART	1BASARM|2DUST|3DMG|4RCR|5AART|6LEGI|7CDMG|8ASPD|9VULN|aERES
