0	Index      	 *	Score 	Summary	Detail	
152	14325 51321	   	174.60	ACR|2AART|2VULN|1DMG|1ZMB	1DUST|2RCR|39AART|4CGEN|5RMIN|6DMG|78VULN|aZMB
153	14342 13321	   	174.60	ACR|2AART|2VULN|1DMG|1ZMB	1DUST|2RCR|39AART|4DMG|5RMIN|68VULN|7CGEN|aZMB
154	14342 13433	   	174.60	ACR|2AART|2VULN|1DMG|1ZMB	1DUST|2RCR|38AART|4DMG|5RMIN|6aVULN|7CGEN|9ZMB
155	14312 13133	   	174.50	ACR|2AART|2VULN|1DMG|1ZMB	1DUST|2RCR|39AART|4ERES|5ZMB|6aVULN|7LHND|8DMG
156	14312 16133	   	174.50	ACR|2AART|2VULN|1DMG|1ZMB	1DUST|2RCR|39AART|4ERES|5ZMB|6aVULN|7LWND|8DMG
157	14312 51322	   	174.50	ACR|2AART|2VULN|1DMG|1ZMB	1DUST|2RCR|39AART|4ERES|5ZMB|6DMG|78VULN|aLHND
158	14312 51324	   	174.50	ACR|2AART|2VULN|1DMG|1ZMB	1DUST|2RCR|39AART|4ERES|5ZMB|6DMG|78VULN|aLIT
159	14312 51325	   	174.50	ACR|2AART|2VULN|1DMG|1ZMB	1DUST|2RCR|39AART|4ERES|5ZMB|6DMG|78VULN|aRPLT
160	14312 53333	   	174.50	ACR|2AART|2VULN|1DMG|1ZMB	1DUST|2RCR|39AART|4ERES|5ZMB|6DMG|7LHND|8aVULN
161	14315 51321	   	174.50	ACR|2AART|2VULN|1DMG|1ZMB	1DUST|2RCR|39AART|4ERES|5RMIN|6DMG|78VULN|aZMB
162	14341 12621	   	174.50	ACR|2AART|2DMG|1VULN|1ZMB	1DUST|2RCR|39AART|48DMG|5CGEN|6VULN|7ERES|aZMB
163	14341 51321	   	174.50	ACR|2AART|2VULN|1DMG|1ZMB	1DUST|2RCR|39AART|4DMG|5CGEN|6NUKE|78VULN|aZMB
164	14342 12321	   	174.50	ACR|2AART|2VULN|1DMG|1ZMB	1DUST|2RCR|39AART|4DMG|5RMIN|68VULN|7ERES|aZMB
