0	Index      	 *	Score 	Summary	Detail	
92	12413 46232	   	163.60	DCR|3VULN|1AART|1CDMG|2DUR	1ERES|24DUR|3LHND|59aVULN|6CDMG|7AART|8RCR
93	53331 63243	   	163.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2LWND|3TLV|4CGEN|5CDMG|6AART|79VULN|8RCR|aDUR
94	42511 61212	   	162.89	DCR|2DMG|1AART|1VULN|2CDMG	17CGEN|27DMG|3VULN|4TLV|57CDMG|6AART|7BPWR|8RCR|9RPLT|aMLV
95	42511 61213	   	162.89	DCR|2DMG|1AART|1VULN|2CDMG	17CGEN|27DMG|3VULN|4TLV|57CDMG|6AART|7BPWR|8RCR|9RPLT|aRCVC
96	42511 61222	   	162.89	DCR|2DMG|1AART|1VULN|2CDMG	17aCGEN|27DMG|3VULN|4TLV|57CDMG|6AART|7BPWR|8RCR|9BELT
97	51511 61212	   	162.89	DCR|2DMG|1AART|1VULN|2CDMG	17DMG|27CGEN|3VULN|4TLV|57CDMG|6AART|7BPWR|8RCR|9RPLT|aMLV
98	51511 61213	   	162.89	DCR|2DMG|1AART|1VULN|2CDMG	17DMG|27CGEN|3VULN|4TLV|57CDMG|6AART|7BPWR|8RCR|9RPLT|aRCVC
99	51511 61222	   	162.89	DCR|2DMG|1AART|1VULN|2CDMG	17DMG|27aCGEN|3VULN|4TLV|57CDMG|6AART|7BPWR|8RCR|9BELT
100	42511 61223	   	162.79	DCR|2DMG|1AART|1VULN|2CDMG	17CGEN|27DMG|3VULN|4TLV|57CDMG|6AART|7BPWR|8RCR|9BELT|aDUST
101	51511 61223	   	162.79	DCR|2DMG|1AART|1VULN|2CDMG	17DMG|27CGEN|3VULN|4TLV|57CDMG|6AART|7BPWR|8RCR|9BELT|aDUST
102	52513 21353	   	162.70	DCR|3VULN|2DMG|2DUR	1aDMG|29DUR|35CGEN|467VULN|8RCR
103	12681 23173	   	162.65	DCR|2VULN|2DMG|2DUR|1ZMB	1ERES|28DUR|3MBVNT|47VULN|5aDMG|6RCR|9ZMB
104	34614 52421	   	162.62	ACR|2VULN|1AART|2ZMB|1CDMG|2DUR	19DUST|29ZMB|3MBVNT|4aDUR|5RCR|6CDMG|79VULN|8AART|9BPWR
105	53613 13612	   	162.34	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	19DMG|25LWND|3aVULN|4DUR|6ASPD|7CDMG|8RCR
106	63613 13612	   	162.34	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1ASPD|25LWND|3aVULN|4DUR|69DMG|7CDMG|8RCR
107	32526 13612	   	162.24	DCR|2VULN|2DMG|1CDMG|1ASPD|1DUR	1DUST|2DUR|3aVULN|4ASPD|5DMSP|69DMG|7CDMG|8RCR
108	32515 13612	   	162.14	DCR|2VULN|2DMG|1CDMG|1ASPD|1DUR	14DUST|2DUR|3aVULN|5ASPD|69DMG|7CDMG|8RCR
109	12681 23743	   	162.00	DCR|3VULN|2DMG|1DUR	1ERES|2DUR|3MBVNT|478VULN|5aDMG|6RCR|9CGEN
110	12681 23243	   	162.00	DCR|3DMG|2VULN|1DUR	1ERES|2DUR|3MBVNT|47VULN|58aDMG|6RCR|9CGEN
111	12681 23283	   	162.00	DCR|3VULN|2DMG|1DUR	1ERES|2DUR|3MBVNT|47aVULN|58DMG|6RCR|9LIT
112	12681 23713	   	161.90	DCR|3VULN|2DMG|1DUR	1ERES|2DUR|3MBVNT|478VULN|5aDMG|6RCR|9NUKE
113	12681 23213	   	161.90	DCR|3DMG|2VULN|1DUR	1ERES|2DUR|3MBVNT|47VULN|58aDMG|6RCR|9NUKE
114	32521 25236	   	161.84	DCR|3DMG|2VULN|1ASPD|1DUR	1aDUST|2DUR|3aVULN|4ASPD|5NUKE|6CGEN|78aDMG|9RCR|aBPWR
115	32522 15236	   	161.74	DCR|3DMG|2VULN|1DUR|1ASPD	1aDUST|2DUR|3aVULN|4ASPD|5ERES|6NUKE|78aDMG|9RCR|aBPWR
116	32522 35236	   	161.74	DCR|3DMG|2VULN|1DUR|1ASPD	1aDUST|2DUR|3aVULN|4ASPD|5ERES|68aDMG|7NUKE|9RCR|aBPWR
