0	Index      	 *	Score 	Summary	Detail	
91	32152 11622	   	169.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2AART|3LIT|4DMG|5ZMB|6RPLT|7CDMG|8RCR|9aVULN
92	22412 62215	 * 	169.83	DCR|3VULN|2AART|2CDMG	1LWND|23AART|46CDMG|56aVULN|6BPWR|7LIT|8DUST|9RCR
93	32412 62215	   	169.83	DCR|3VULN|2AART|2CDMG	1LHND|23AART|46CDMG|56aVULN|6BPWR|7LIT|8DUST|9RCR
94	22311 14424	 * 	169.78	ACR|3AART|2VULN|1CDMG|2DUR	1aLWND|258AART|3aDUR|4RCR|6CGEN|7CDMG|9aVULN|aBPWR
95	32311 14424	   	169.78	ACR|3AART|2VULN|1CDMG|2DUR	1aLHND|258AART|3aDUR|4RCR|6CGEN|7CDMG|9aVULN|aBPWR
96	22326 23311	   	169.73	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1LWND|2AART|3DUR|47VULN|5LIT|68CDMG|9RCR|aDMG
97	32326 23311	   	169.73	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1LHND|2AART|3DUR|47VULN|5LIT|68CDMG|9RCR|aDMG
98	52154 12321	   	168.98	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1FEWX|2AART|36LIT|46DMG|5RCR|6BPWR|79DUR|8VULN|aZMB
99	32154 24321	   	168.88	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1LHND|2AART|3LIT|4DMG|5RCR|67DUR|89VULN|aZMB
100	32154 13363	   	168.72	ACR|2AART|2DMG|1CDMG|1ZMB|1ASPD	1LHND|2aAART|36LIT|46DMG|5RCR|6BPWR|7ASPD|8CDMG|9ZMB
101	43512 33152	   	168.70	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	1ERES|2ZMB|3DUR|4CDMG|56AART|7RCR|8DMSP|9aVULN
102	43512 33352	   	168.60	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	18ERES|2ZMB|3DUR|4CDMG|56AART|7RCR|9aVULN
103	13311 23242	   	168.60	ACR|3VULN|1AART|1DMG|1ZMB	1TLV|2ZMB|3BELT|4LWND|5RCR|69aVULN|7DMG|8AART
104	32316 36621	   	168.52	ACR|3VULN|1AART|1ZMB|1DUR|1ASPD	1LHND|2AART|3DUR|4RCR|5LIT|6ASPD|789VULN|aZMB
105	32154 13222	   	168.34	ACR|3DMG|1AART|1VULN|1ASPD	1LHND|2AART|36LIT|468DMG|5RCR|6BPWR|7ASPD|9CGEN|aVULN
106	22154 12251	   	168.34	ACR|3DMG|1AART|1VULN|1DUR	1LWND|2AART|36LIT|469DMG|5RCR|6BPWR|7VULN|8BELT|aDUR
107	22322 26214	 * 	168.10	DCR|3VULN|1AART|2ZMB|2DUR	1aLWND|2AART|36DUR|47aVULN|5aZMB|8RCR|9RPLT|aBPWR
108	22412 61334	 * 	167.88	DCR|3AART|2VULN|2CDMG|1DUR	1LWND|239AART|46CDMG|56VULN|6BPWR|7CGEN|8RCR|aDUR
109	22322 26241	 * 	167.87	DCR|3VULN|1AART|3DUR|1ZMB	1LWND|2AART|36aDUR|479VULN|5ZMB|8RCR
110	32441 21351	 * 	167.81	DCR|3DMG|2AART|1ZMB|1DUR	1LHND|23AART|4DMSP|567DMG|8DUR|9RCR|aZMB
111	22322 36413	   	167.61	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1LWND|2AART|3DUR|4aVULN|5ZMB|6ASPD|7MBVNT|8DMG|9RCR
112	35125 63232	   	167.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|24VULN|3DUST|5MGNLIT|6AART|7ZMB|8RCR|9DMG|aCDMG
113	22231 31456	   	167.35	DCR|2VULN|2DMG|1AART|1ASPD	1LWND|2AART|3LHND|4ASPD|58VULN|6RPLT|7aDMG|9RCR
114	32316 34352	   	167.22	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1LHND|2AART|37DUR|4RCR|5LIT|6ASPD|8aVULN|9DMG
115	22512 61316	   	166.89	DCR|2VULN|1AART|1DMG|2CDMG	13LWND|2AART|46CDMG|56VULN|6BPWR|7CGEN|8RCR|9RCVC|aDMG
116	32212 63311	   	166.81	DCR|2VULN|1AART|3CDMG|1ZMB|1DUR	13LHND|2AART|468CDMG|56VULN|6BPWR|7ZMB|9RCR|aDUR
117	32311 55423	 * 	166.67	ACR|3AART|1VULN|1DMG|1CDMG|1DUR	1LHND|258AART|3DUR|4RCR|6CDMG|7ERES|9VULN|aDMG
118	22154 12132	   	166.33	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|7VULN|8RPLT|9DUR|aCDMG
119	22154 15322	   	166.33	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|7FEWX|8VULN|9DUR|aCDMG
120	32154 13326	   	166.33	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LHND|2AART|36LIT|46DMG|5RCR|6BPWR|7ASPD|8CDMG|9BEXP|aVULN
121	32154 16132	   	166.33	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LHND|2AART|36LIT|46DMG|5RCR|6BPWR|7VULN|8RPLT|9DUR|aCDMG
122	52154 11322	   	166.33	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1FEWX|2AART|36LIT|46DMG|5RCR|6BPWR|7LWND|8VULN|9DUR|aCDMG
123	35341 12531	   	166.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LHND|27VULN|3FEWX|4DMG|5DUST|6RCR|8DUR|9AART|aCDMG
124	35341 13531	 * 	166.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LHND|2VULN|3FEWX|47DMG|5DUST|6RCR|8DUR|9AART|aCDMG
125	32154 22326	   	166.24	ACR|2AART|2VULN|1DMG|1DUR	1LHND|2aAART|3LIT|4DMG|5RCR|6DUR|7RCVC|89VULN
126	22154 13213	 * 	165.99	ACR|3DMG|1AART|1CDMG|1ZMB	1LWND|2AART|369LIT|468DMG|5RCR|6BPWR|7ZMB|aCDMG
127	22154 13321	   	165.99	ACR|3DMG|1AART|1CDMG|1ZMB	1LWND|2AART|36LIT|46aDMG|5RCR|6BPWR|7ZMB|8CDMG|9BEXP
128	22316 53213	   	165.99	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LWND|2AART|3DUR|4RCR|5LIT|6ZMB|78DMG|9CGEN|aVULN
129	22316 61351	   	165.99	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	16LWND|2AART|3DUR|4RCR|5LIT|79DMG|8VULN|aZMB
130	22316 63251	   	165.99	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	16LWND|2AART|3DUR|4RCR|5LIT|7VULN|89DMG|aZMB
131	32316 53213	   	165.99	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LHND|2AART|3DUR|4RCR|5LIT|6ZMB|78DMG|9CGEN|aVULN
132	32316 53242	   	165.99	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LHND|2AART|3DUR|4RCR|5LIT|6ZMB|78DMG|9LWND|aVULN
133	32316 55222	   	165.99	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LHND|2AART|3DUR|4RCR|5LIT|6ZMB|7MLV|8DMG|9aVULN
134	22322 22214	 * 	165.98	DCR|2VULN|3ZMB|1AART|2DUR	1aLWND|2AART|36DUR|4aVULN|57aZMB|8RCR|9RPLT|aBPWR
135	32322 22214	   	165.98	DCR|2VULN|3ZMB|1AART|2DUR	1aLHND|2AART|36DUR|4aVULN|57aZMB|8RCR|9RPLT|aBPWR
136	22322 22244	 * 	165.90	DCR|2VULN|1AART|2ZMB|1CDMG|2DUR	1LWND|2AART|36DUR|49VULN|57ZMB|8RCR|aCDMG
137	22322 26264	   	165.90	DCR|2VULN|1AART|2ZMB|1CDMG|2DUR	1LWND|2AART|36DUR|47VULN|59ZMB|8RCR|aCDMG
138	32322 22244	   	165.90	DCR|2VULN|1AART|2ZMB|1CDMG|2DUR	1LHND|2AART|36DUR|49VULN|57ZMB|8RCR|aCDMG
139	22316 52253	   	165.89	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LWND|2AART|3DUR|4RCR|5LIT|6ZMB|7ERES|89DMG|aVULN
140	22316 53233	   	165.89	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LWND|2AART|3DUR|4RCR|5LIT|6ZMB|78DMG|9ERES|aVULN
141	32316 51222	   	165.89	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LHND|2AART|3DUR|4RCR|5LIT|6ZMB|7NUKE|8DMG|9aVULN
142	32316 52222	   	165.89	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LHND|2AART|3DUR|4RCR|5LIT|6ZMB|7ERES|8DMG|9aVULN
143	32316 52253	   	165.89	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LHND|2AART|3DUR|4RCR|5LIT|6ZMB|7ERES|89DMG|aVULN
144	32316 53233	   	165.89	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LHND|2AART|3DUR|4RCR|5LIT|6ZMB|78DMG|9ERES|aVULN
145	32316 53252	   	165.89	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LHND|2AART|3DUR|4RCR|5LIT|6ZMB|78DMG|9DUST|aVULN
146	32316 53263	   	165.89	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LHND|2AART|3DUR|4RCR|5LIT|6ZMB|78DMG|9TLV|aVULN
147	22154 22351	   	165.79	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LWND|2AART|3LIT|49DMG|5RCR|6DUR|7RCVC|8VULN|aZMB
148	32154 22321	   	165.79	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LHND|2AART|3LIT|4DMG|5RCR|6DUR|7RCVC|89VULN|aZMB
149	32154 22351	   	165.79	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1LHND|2AART|3LIT|49DMG|5RCR|6DUR|7RCVC|8VULN|aZMB
150	22322 22263	   	165.78	DCR|2VULN|3ZMB|1AART|2DUR	1LWND|2AART|36DUR|4aVULN|579ZMB|8RCR
