0	Index      	 *	Score 	Summary	Detail	
91	14134 21412	 * 	167.43	ACR|2VULN|2DMG|1AART|1DUR|1SELL	178ERES|28VULN|3SELL|48DMG|5RCR|6AART|8BPWR|9RCVC|aDUR
92	26523 61211	   	167.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2FEWX|3AART|4aVULN|5NUKE|6DUR|7RCR|8DMG|9CDMG
93	36622 12433	   	167.37	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1ASPD|2DMG|3DUR|4AART|5LWND|6BEXP|7RCR|8ZMB|9VULN|aCDMG
94	31431 42152	   	167.27	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2TLV|3AART|48LHND|59VULN|6RCR|7ZMB|aDMG
95	34221 43312	   	166.91	DCR|2AART|2DMG|1VULN|1ASPD	1ASPD|27ERES|3DUST|48AART|5VULN|6RCR|9aDMG
96	34221 45312	   	166.91	DCR|2AART|2DMG|1VULN|1ASPD	1ASPD|2ERES|37DUST|48AART|5VULN|6RCR|9aDMG
97	16352 12263	   	166.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2DMG|3LIT|4CDMG|5aVULN|6RCR|7SNIHEL|8AART|9ASPD
98	54321 26232	   	166.77	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1DUR|2LHND|3RCVC|4AART|58VULN|6CDMG|7RCR|9SELL|aDMG
99	31321 42525	   	166.57	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2TLV|3BEXP|4AART|59VULN|6RCR|7ZMB|8DLOT|aDMG
100	21321 25635	 * 	166.33	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	12DUST|3BEXP|4AART|56VULN|7DMG|8CDMG|9FLTHEA|aRCR
101	31211 36663	 * 	166.31	DCR|3VULN|2DMG|2ASPD	1aASPD|2TLV|39DMG|4LSRICY|568VULN|7RCR
102	16221 41431	   	166.31	DCR|2VULN|2DMG|1AART	19ERES|29DMG|3DUST|4AART|5aVULN|6RCR|79FEWX|8RPLT|9BPWR
103	14134 23331	 * 	166.24	ACR|2VULN|1AART|1DMG|2DUR|1ZMB|1SELL	19ERES|29VULN|3SELL|4DMG|5RCR|6AART|7ZMB|89DUR|9BPWR|aCGEN
104	14134 23332	 * 	166.24	ACR|2VULN|1AART|1DMG|2DUR|1ZMB|1SELL	19ERES|29VULN|3SELL|4DMG|5RCR|6AART|7ZMB|89DUR|9BPWR|aDMSP
105	14134 23334	 * 	166.24	ACR|2VULN|1AART|1DMG|2DUR|1ZMB|1SELL	19ERES|29VULN|3SELL|4DMG|5RCR|6AART|7ZMB|89DUR|9BPWR|aLIT
106	14134 23335	 * 	166.24	ACR|2VULN|1AART|1DMG|2DUR|1ZMB|1SELL	19ERES|29VULN|3SELL|4DMG|5RCR|6AART|7ZMB|89DUR|9BPWR|aLHND
107	16352 12326	   	166.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1ERES|2aDMG|3LIT|4CDMG|5VULN|6RCR|7SNIHEL|8DUR|9AART
108	16521 43441	   	166.21	DCR|2VULN|2DMG|1AART	1ERES|28DMG|3FEWX|4AART|5aVULN|6RCR|7MBVNT|9RPLT
109	16352 12226	   	166.19	DCR|2VULN|1AART|1DMG|2CDMG	1ERES|2DMG|3LIT|49CDMG|5aVULN|6RCR|7SNIHEL|8AART
110	13141 22244	   	166.18	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ERES|2BELT|3RPLT|4AART|5CDMG|6ZMB|7aDMG|8VULN|9RCR
111	14134 23316	 * 	166.14	ACR|2DMG|1AART|1VULN|2DUR|1ZMB|1SELL	1ERES|2VULN|3SELL|4aDMG|5RCR|6AART|7ZMB|89DUR
112	14513 32632	 * 	166.07	DCR|3VULN|2AART|1ZMB	1ERES|289VULN|3TLV|4ZMB|5aAART|6RCR|7RPLT
113	16221 43161	   	166.01	DCR|2VULN|2DMG|1AART	17aERES|2aDMG|389DUST|4AART|5aVULN|6RCR|aBPWR
114	36233 25413	 * 	165.88	DCR|2AART|2VULN|1DMG|2ASPD|1SELL	18ASPD|2DMG|3NUKE|48CGEN|5aAART|68VULN|7SELL|8BPWR|9RCR
