0	Index      	 *	Score 	Summary	Detail	
92	31162 34533	 * 	197.82	ACR|1BASARM|2VULN|1DMG|1BEXP	1AEMAG|2RCR|38VULN|4BEXP|5RMIN|6DUST|7BASARM|9LHND|aDMG
93	31626 51333	   	197.82	ACR|1BASARM|2VULN|1ASPD|1AART	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|7LHND|8ERES|9aVULN
94	31116 63123	   	197.72	ACR|1BASARM|2VULN|1ASPD|1AART	1AEMAG|2RCR|39VULN|4LEGI|5ERES|6AART|7RCVC|8ASPD|aBASARM
95	31263 11115	   	197.72	ACR|1BASARM|2VULN|1BASICY|1BEXP	18AEMAG|2RCR|3RMIN|45VULN|6BASICY|7MDPS|9BASARM|aBEXP
96	31341 11115	   	197.72	ACR|1BASARM|1BASICY|1ASPD|1BEXP	18AEMAG|2RCR|3ERES|4MLV|5ASPD|6BASICY|7MDPS|9BASARM|aBEXP
97	31146 62123	   	197.72	ACR|1BASARM|2VULN|1ASPD|1AART	1AEMAG|2RCR|37VULN|4LHND|59ERES|6AART|8ASPD|aBASARM
98	31154 62123	   	197.72	ACR|1BASARM|2VULN|1ASPD|1AART	1AEMAG|2RCR|37VULN|49ERES|5LWND|6AART|8ASPD|aBASARM
99	31364 62123	   	197.72	ACR|1BASARM|2VULN|1ASPD|1AART	1AEMAG|2RCR|39ERES|47VULN|5LWND|6AART|8ASPD|aBASARM
100	31311 24433	 * 	197.66	ACR|3ASPD|2BEXP|1DMG	1aAEMAG|2RCR|3ERES|4BELT|56aASPD|7ZMB|8DMG|9aBEXP|aBPWR
101	31411 24433	   	197.66	ACR|3ASPD|2BEXP|1DMG	1aAEMAG|2RCR|3TLV|4BELT|56aASPD|7ZMB|8DMG|9aBEXP|aBPWR
102	31131 21115	   	197.62	ACR|1BASARM|2VULN|1ASPD|1BEXP	18AEMAG|2RCR|34VULN|5ASPD|6MULARM|7MDPS|9BASARM|aBEXP
