0	Index      	 *	Score 	Summary	Detail	
121	14261 22322	   	224.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|2aDMG|3RCR|4CDMG|5DUST|6BEXP|7CGEN|8BASARM|9LIT
122	14261 22331	   	224.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5DUST|6BEXP|7CGEN|8BASARM|aDUR
123	14261 22332	   	224.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5DUST|6BEXP|7CGEN|8BASARM|aLWND
124	14261 22333	   	224.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5DUST|6BEXP|7CGEN|8BASARM|aZMB
125	14261 22335	   	224.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5DUST|6BEXP|7CGEN|8BASARM|aLIT
126	14261 42333	   	224.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5DUST|6CGEN|7LWND|8BASARM|aBEXP
127	14266 33223	   	224.26	ACR|1BASARM|2ASPD|1DMG|1BEXP|1CDMG	1aASPD|2DMG|3RCR|4CDMG|5LIT|6TLV|7BEXP|8BASARM|9MLV
128	14266 33232	   	224.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|2aDMG|3RCR|4CDMG|5LIT|6TLV|7BEXP|8BASARM|9LWND
129	11264 15333	   	224.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|2ZMB|3RCR|4CDMG|5FEWX|6TLV|7BEXP|8BASARM|9aDMG
130	11265 43333	   	224.26	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|2ZMB|3RCR|4CDMG|5CGEN|6BEXP|7LEGI|8BASARM|9aDMG
131	14261 12333	   	224.16	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5DUST|6TLV|7LWND|8BASARM|aBEXP
132	14261 15322	   	224.16	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|2aDMG|3RCR|4CDMG|5DUST|6TLV|7BEXP|8BASARM|9LIT
133	14261 15331	   	224.16	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5DUST|6TLV|7BEXP|8BASARM|aDUR
134	14261 15332	   	224.16	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5DUST|6TLV|7BEXP|8BASARM|aLWND
135	14261 15333	   	224.16	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5DUST|6TLV|7BEXP|8BASARM|aZMB
136	14261 13334	   	224.06	ACR|1BASARM|2DMG|1ASPD|1BEXP|1CDMG	1ASPD|29DMG|3RCR|4CDMG|5DUST|6TLV|7LEGI|8BASARM|aBEXP
137	14215 33313	   	223.69	ACR|3DMG|2ASPD|1VULN|2CDMG	18ASPD|28aDMG|3RCR|4VULN|5TLV|68CDMG|7DMSP|8BPWR|9RMIN
138	11263 33332	   	223.38	ACR|3VULN|1ASPD|1DMG|1AART|1CDMG|1BEXP	1ASPD|2ZMB|3RCR|4CDMG|5AART|678VULN|9DMG|aBEXP
139	14263 33342	   	223.28	ACR|3VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1ASPD|2DMG|3RCR|4CDMG|5AART|678VULN|9TLV|aBEXP
140	11251 14633	 * 	223.14	ACR|3ASPD|1BASARM|2VULN	16aASPD|2ZMB|3RCR|4aERES|56LIT|6aBPWR|7BASARM|8aVULN|9RMIN
141	52213 23345	   	223.10	ACR|1BASARM|2VULN|1ASPD|1AART|1BEXP	1MLV|2ASPD|3RCR|4aVULN|5AART|6FEWX|7BASARM|8BEXP|9BELT
142	14221 14263	   	223.03	ACR|1BASARM|2ASPD|1VULN|1DMG|1AAC	16ASPD|2DMG|3RCR|4AME|56LIT|6BPWR|7BASARM|8DUST|9VULN|aAAC
143	14231 14263	   	223.03	ACR|1BASARM|2ASPD|1VULN|1DMG|1AAC	16ASPD|2DMG|3RCR|4TLV|56LIT|6BPWR|7BASARM|8DUST|9VULN|aAAC
144	14211 26162	 * 	222.83	ACR|2DMG|1VULN|2BEXP|1ASPD|1AART|1AAC	1ASPD|28DMG|3RCR|4VULN|5LIT|6AAC|7AART|9aBEXP
145	14211 61311	   	222.76	ACR|2VULN|2ASPD|2DMG|2CDMG	19ASPD|29DMG|3RCR|48VULN|5LIT|6RMIN|79CDMG|9BPWR|aFEWX
146	14211 61312	   	222.76	ACR|2VULN|2ASPD|2DMG|2CDMG	19ASPD|29DMG|3RCR|48VULN|5LIT|6aRMIN|79CDMG|9BPWR
