0	Index      	 *	Score 	Summary	Detail	
77	14224 35131	   	174.27	DCR|3DMG|2VULN|3CDMG	13aCDMG|23aDMG|3aBPWR|45LWND|6BEXP|7aVULN|8MBVNT|9RCR
78	14211 25315	   	174.27	DCR|2DMG|1AART|1VULN|2CDMG|1DUR|1ASPD	13CDMG|23DMG|3BPWR|4TLV|5DUR|6AART|7RPLT|8VULN|9RCR|aASPD
79	14223 25131	   	174.17	DCR|3DMG|2VULN|3CDMG	13aCDMG|23aDMG|3aBPWR|46LWND|5DUST|7aVULN|8MBVNT|9RCR
80	14224 25131	   	174.17	DCR|3DMG|2VULN|3CDMG	13aCDMG|23aDMG|3aBPWR|45LWND|6DUST|7aVULN|8MBVNT|9RCR
81	14236 25113	 * 	174.14	DCR|2DMG|1AART|1VULN|2CDMG|1FLTHEA	13CDMG|23DMG|3BPWR|4VULN|5MLV|6AART|7RPLT|8LWND|9RCR|aFLTHEA
82	14236 25213	   	174.14	DCR|2DMG|1AART|1VULN|2CDMG|1FLTHEA	13CDMG|23DMG|3BPWR|4VULN|5MLV|6AART|7RPLT|8LHND|9RCR|aFLTHEA
83	14236 25313	   	174.14	DCR|2DMG|1AART|1VULN|2CDMG|1FLTHEA	13CDMG|23DMG|3BPWR|4VULN|5MLV|6AART|7RPLT|8BEXP|9RCR|aFLTHEA
84	14323 54131	   	174.07	DCR|3DMG|2VULN|3CDMG	14aCDMG|27aDMG|3FEWX|5DUST|6aVULN|8MBVNT|9RCR|aBPWR
85	13343 61362	   	174.01	DCR|3DMG|1AART|1VULN|1CDMG	1CDMG|2aRCVC|346DMG|5RMIN|7AART|8VULN|9RCR
86	26123 22233	 * 	173.93	DCR|3VULN|1AART|1DMG|3DUR	1LIT|25aVULN|346DUR|7AART|8RCR|9DMG
87	32252 43351	   	173.83	ACR|3VULN|3ZMB|1AART	17LWND|2AART|3LHND|4RCR|578ZMB|67aVULN|7BPWR|9RCVC
88	12126 12661	   	173.77	ACR|2VULN|2DMG|3CDMG|2DUR	13aCDMG|23LWND|3aBPWR|4aDMG|5RCR|6LHND|79DUR|8aVULN
89	11611 14241	 * 	173.74	ACR|2VULN|2DMG|2CDMG|2ASPD	1aCDMG|2RMIN|3RCR|47DMG|5aASPD|6LHND|8FEWX|9aVULN|aBPWR
90	11611 24241	   	173.74	ACR|2VULN|2DMG|2CDMG|2ASPD	1aCDMG|2RMIN|3RCR|47DMG|5aASPD|6LWND|8FEWX|9aVULN|aBPWR
91	11611 45331	   	173.74	ACR|2VULN|2DMG|2CDMG|2ASPD	17CDMG|2RMIN|3RCR|47DMG|57ASPD|6RPLT|7BPWR|8LHND|9aVULN
92	14233 35313	 * 	173.37	DCR|2DMG|3CDMG|1AART|1VULN|1DUR	138CDMG|23DMG|3BPWR|4VULN|5DUST|6AART|7LWND|9RCR|aDUR
93	14236 42113	   	173.13	DCR|2DMG|3CDMG|1AART|1VULN	13aCDMG|23DMG|3BPWR|4VULN|5MLV|6RCR|7AART|8LHND|9BEXP
94	14236 42133	   	173.13	DCR|2DMG|3CDMG|1AART|1VULN	13aCDMG|23DMG|3BPWR|4VULN|5MLV|6RCR|7AART|8LHND|9FEWX
95	14123 31143	   	173.05	DCR|2VULN|2DMG|3CDMG|2DUR	147CDMG|2aDMG|35DUST|6aDUR|8RCR|9aVULN|aBPWR
96	15325 24331	   	173.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2FEWX|3DUR|4aVULN|5RCR|6DMG|7RPLT|8ZMB|9AART
97	13343 61361	   	172.83	DCR|3DMG|1AART|1VULN|1CDMG	1CDMG|2RCVC|346DMG|5aRMIN|7AART|8VULN|9RCR
98	14231 22521	   	172.82	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	13CDMG|23DMG|3BPWR|49VULN|5LIT|6DUR|7ZMB|8RCR|aBEXP
99	14231 22524	   	172.82	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	13CDMG|23DMG|3BPWR|49VULN|5LIT|6DUR|7ZMB|8RCR|aCGEN
100	14231 22526	   	172.82	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	13CDMG|23DMG|3BPWR|49VULN|5LIT|6DUR|7ZMB|8RCR|aFEWX
101	14231 32523	   	172.82	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	13CDMG|23DMG|3BPWR|49VULN|5LIT|6LWND|7ZMB|8RCR|aDUR
102	32256 42111	   	172.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2AART|36LHND|4RCR|56VULN|6BPWR|7ZMB|8RPLT|9DMG|aCDMG
103	32356 42111	   	172.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2AART|36FEWX|4RCR|56VULN|6BPWR|7ZMB|8RPLT|9DMG|aCDMG
104	14231 22532	   	172.72	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	13CDMG|23DMG|3BPWR|4aVULN|5LIT|6DUR|7ZMB|8RCR|9DUST
105	32356 41232	   	172.67	ACR|2VULN|2DMG|1AART|1ASPD	1LWND|2AART|36FEWX|4RCR|56VULN|6BPWR|7LIT|8aDMG|9ASPD
106	14211 25312	   	172.62	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	13CDMG|23DMG|3BPWR|4TLV|5aDUR|6AART|7RPLT|8VULN|9RCR
107	14251 25312	   	172.62	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	13CDMG|23DMG|3BPWR|4ERES|5aDUR|6AART|7RPLT|8VULN|9RCR
108	32252 43421	   	172.57	ACR|3VULN|1AART|2ZMB|1ASPD|1DUR	17LWND|2AART|3LHND|4RCR|57ZMB|67aVULN|7BPWR|8DUR|9ASPD
109	14214 33326	   	172.57	DCR|3VULN|2DMG|2CDMG|1ASPD	13CDMG|23DMG|3BPWR|4TLV|5FEWX|689VULN|7ASPD|aRCR
110	14234 33231	   	172.53	DCR|3DMG|1VULN|2CDMG|2ZMB|1ASPD	13CDMG|23aDMG|3aBPWR|4VULN|5LWND|6aZMB|7ASPD|8aFEWX|9RCR
111	14234 32225	   	172.34	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	13CDMG|23DMG|3BPWR|4VULN|5LWND|68ZMB|7AART|9RPLT|aRCR
112	32252 43311	   	172.22	ACR|3VULN|3ZMB|1AART	17LWND|2AART|3LHND|4RCR|578ZMB|67aVULN|7BPWR|9RPLT
113	32252 43341	   	172.22	ACR|3VULN|3ZMB|1AART	17LWND|2AART|39LHND|4RCR|578ZMB|67aVULN|7BPWR
114	32252 43361	   	172.22	ACR|3VULN|3ZMB|1AART	17LWND|2AART|3LHND|4RCR|578ZMB|67aVULN|7BPWR|9DMSP
115	32256 42311	   	172.12	ACR|3VULN|3ZMB|1AART	1LWND|2AART|36LHND|4RCR|56aVULN|6BPWR|789ZMB
116	32356 42311	   	172.12	ACR|3VULN|3ZMB|1AART	1LWND|2AART|36FEWX|4RCR|56aVULN|6BPWR|789ZMB
117	14211 23411	   	171.97	DCR|3DMG|2AART|2CDMG|1DUR	13CDMG|238DMG|3BPWR|4TLV|5DUR|67AART|9BEXP|aRCR
118	14251 23411	   	171.97	DCR|3DMG|2AART|2CDMG|1DUR	13CDMG|238DMG|3BPWR|4ERES|5DUR|67AART|9BEXP|aRCR
119	14233 14262	 * 	171.84	DCR|3DMG|1AART|1VULN|2CDMG	13CDMG|237DMG|3BPWR|4VULN|5DUST|6LHND|8CGEN|9AART|aRCR
120	14233 24262	   	171.84	DCR|3DMG|1AART|1VULN|2CDMG	13CDMG|237DMG|3BPWR|4VULN|5DUST|6LWND|8CGEN|9AART|aRCR
121	13342 35131	   	171.83	DCR|3DMG|2VULN|2CDMG	1aCDMG|2RCVC|34aDMG|5LWND|6BEXP|7aVULN|8MBVNT|9RCR|aBPWR
122	24236 32522	   	171.80	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1LIT|26DUR|3CDMG|4BEXP|56DMG|6BPWR|7ZMB|8RCR|9aVULN
123	12326 12541	   	171.78	ACR|2VULN|2DMG|3CDMG|1DUR	18aCDMG|2LWND|3RCVC|4aDMG|5RCR|6LHND|7DUR|9aVULN|aBPWR
124	14231 53116	   	171.74	DCR|2DMG|1AART|1VULN|2CDMG|1FLTHEA	13CDMG|23DMG|3BPWR|4VULN|5LIT|6FLTHEA|7RMIN|8BELT|9RCR|aAART
