0	Index      	 *	Score 	Summary	Detail	
129	43153 23211	   	183.33	DCR|3DMG|2AART|1VULN|1ZMB	169DMG|2aAART|3VULN|4DUST|56FEWX|6BPWR|7ZMB|8RCR
130	43151 31261	   	183.23	DCR|3VULN|2AART|1DMG|1ZMB	1DMG|27AART|39aVULN|4DUST|5BEXP|6ZMB|8RCR
131	43154 23211	   	183.23	DCR|3DMG|2AART|1VULN|1ZMB	159DMG|2aAART|3VULN|4DUST|6LWND|7ZMB|8RCR
132	43154 31211	   	183.23	DCR|3DMG|2AART|1VULN|1ZMB	159DMG|2aAART|3VULN|4DUST|6ZMB|7BEXP|8RCR
133	13152 23511	 * 	183.19	ACR|3DMG|2AART|1VULN|1DUR	1ERES|2RCR|379DMG|4VULN|5FEWX|6DUR|8aAART
134	13354 23511	   	183.19	ACR|3DMG|2AART|1VULN|1DUR	1ERES|2RCR|3FEWX|479DMG|5VULN|6DUR|8aAART
135	13156 23611	   	183.09	ACR|3DMG|2AART|1VULN|1DUR	1ERES|2RCR|379DMG|4VULN|5MBVNT|6DUR|8aAART
136	44124 63214	   	183.01	DCR|3DMG|2VULN|1AART|1DUR	135DMG|2MBVNT|45VULN|5BPWR|68FEWX|7RCR|9DUR|aAART
137	13152 32211	   	182.99	ACR|3VULN|2DMG|1AART	1ERES|2RCR|39DMG|48aVULN|5FEWX|6LHND|7AART
138	13153 42211	   	182.99	ACR|3VULN|2DMG|1AART	1ERES|2RCR|39DMG|48aVULN|5LHND|6BEXP|7AART
139	13162 62211	   	182.99	ACR|3VULN|2DMG|1AART	1ERES|2RCR|39DMG|4LHND|5FEWX|68aVULN|7AART
140	13164 42211	   	182.99	ACR|3VULN|2DMG|1AART	1ERES|2RCR|39DMG|4LHND|58aVULN|6BEXP|7AART
141	13354 32211	   	182.99	ACR|3VULN|2DMG|1AART	1ERES|2RCR|3FEWX|49DMG|58aVULN|6LHND|7AART
142	13653 52211	   	182.99	ACR|3VULN|2DMG|1AART	1ERES|2RCR|3BEXP|49DMG|5LHND|68aVULN|7AART
143	13654 32211	   	182.99	ACR|3VULN|2DMG|1AART	1ERES|2RCR|3BEXP|49DMG|58aVULN|6LHND|7AART
144	13153 32211	   	182.89	ACR|3VULN|2DMG|1AART	1ERES|2RCR|39DMG|48aVULN|5LHND|6LEGI|7AART
145	13156 32211	   	182.89	ACR|3VULN|2DMG|1AART	1ERES|2RCR|39DMG|48aVULN|5MBVNT|6LHND|7AART
146	13164 32211	   	182.89	ACR|3VULN|2DMG|1AART	1ERES|2RCR|39DMG|4LHND|58aVULN|6LEGI|7AART
147	13165 62211	   	182.89	ACR|3VULN|2DMG|1AART	1ERES|2RCR|39DMG|4LHND|5DUST|68aVULN|7AART
148	13155 35213	 * 	182.79	ACR|3DMG|2VULN|1AART	18ERES|2RCR|367DMG|46VULN|5RMIN|6BPWR|9RCVC|aAART
149	43164 13221	   	182.68	DCR|2VULN|2DMG|1AART|2CDMG	15DMG|2AART|37VULN|4FEWX|6ERES|8RCR|9aCDMG
150	13156 23614	   	182.64	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1ERES|2RCR|379DMG|4VULN|5MBVNT|6DUR|8AART|aZMB
151	44124 33215	   	182.52	DCR|4VULN|3DMG	135DMG|2MBVNT|459aVULN|5BPWR|6DUST|7RCR|8FEWX
152	44124 13445	   	182.40	DCR|3VULN|3DMG|1ASPD|1DUR	135DMG|2MBVNT|45aVULN|5BPWR|6DUR|7RCR|8CGEN|9ASPD
153	44124 13145	   	182.30	DCR|3VULN|3DMG|1DUR|1ASPD	135DMG|2MBVNT|45aVULN|5BPWR|6DUR|7RCR|8ERES|9ASPD
154	43121 14251	 * 	182.23	DCR|2VULN|1AART|3CDMG|1DMG|1ZMB	1DMG|2AART|34VULN|59aCDMG|6BEXP|7ZMB|8RCR
155	43144 41441	   	181.96	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1DMG|27AART|3aVULN|4MBVNT|5CGEN|6RCR|8CDMG|9ASPD
156	43144 43641	   	181.96	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1DMG|28AART|3aVULN|4MBVNT|5CGEN|6RCR|7CDMG|9ASPD
157	43114 63211	   	181.92	DCR|4VULN|1AART|1DMG|1DUR	1DMG|2AART|357aVULN|4CGEN|6DUR|8RCR|9FEWX
158	43123 63211	   	181.92	DCR|4VULN|1AART|1DMG|1DUR	1DMG|2AART|347aVULN|5CGEN|6DUR|8RCR|9FEWX
159	43123 63261	   	181.92	DCR|4VULN|1AART|1DMG|1DUR	1DMG|2AART|3479VULN|5CGEN|6DUR|8RCR|aLHND
160	43123 63262	   	181.92	DCR|4VULN|1AART|1DMG|1DUR	1DMG|2AART|3479VULN|5CGEN|6DUR|8RCR|aDMSP
161	43123 63263	   	181.92	DCR|4VULN|1AART|1DMG|1DUR	1DMG|2AART|3479VULN|5CGEN|6DUR|8RCR|aFEWX
162	43122 33145	   	181.86	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1DMG|2AART|34VULN|5FLTHEA|6CGEN|7RCR|8CDMG|9LIT|aDUR
163	43122 33433	   	181.86	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1DMG|2AART|34VULN|5FLTHEA|6CGEN|7RCR|8LIT|9DUR|aCDMG
164	43124 63211	   	181.82	DCR|4VULN|1AART|1DMG|1DUR	1DMG|2AART|347aVULN|5ERES|6DUR|8RCR|9FEWX
165	43122 33331	   	181.76	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1DMG|2AART|34VULN|5FLTHEA|6CGEN|7RCR|8TLV|9CDMG|aDUR
