0	Index      	 *	Score 	Summary	Detail	
113	21115 42131	   	181.38	ACR|3VULN|1AART|1DMG|1ZMB	1AART|26RCVC|357VULN|4RCR|8ZMB|9DMG|aBEXP
114	21115 42133	   	181.38	ACR|3VULN|1AART|1DMG|1ZMB	1AART|26RCVC|357VULN|4RCR|8ZMB|9DMG|aRPLT
115	21115 42136	   	181.38	ACR|3VULN|1AART|1DMG|1ZMB	1AART|26RCVC|357VULN|4RCR|8ZMB|9DMG|aLIT
116	21115 42115	   	181.28	ACR|3VULN|1AART|1DMG|1ZMB	1AART|26RCVC|357VULN|4RCR|8ZMB|9DUST|aDMG
117	21115 42122	   	181.28	ACR|3VULN|1AART|1DMG|1ZMB	1AART|26RCVC|357VULN|4RCR|8ZMB|9DLOT|aDMG
118	22152 61335	 * 	181.24	DCR|3VULN|1AART|1DMG|2ZMB	1AART|29CGEN|358VULN|45ZMB|5BPWR|6RCR|7LWND|aDMG
119	22152 61611	   	181.24	DCR|3VULN|1AART|1DMG|2ZMB	1AART|2CGEN|35aVULN|45ZMB|5BPWR|6RCR|7LWND|8DMG|9FEWX
120	22152 61632	   	181.24	DCR|3VULN|1AART|1DMG|2ZMB	1AART|29CGEN|35aVULN|45ZMB|5BPWR|6RCR|7LWND|8DMG
121	22152 63313	   	181.24	DCR|3VULN|1AART|1DMG|2ZMB	1AART|2CGEN|358VULN|45ZMB|5BPWR|6RCR|7FEWX|9RPLT|aDMG
122	22152 63335	   	181.24	DCR|3VULN|1AART|1DMG|2ZMB	1AART|29CGEN|358VULN|45ZMB|5BPWR|6RCR|7FEWX|aDMG
123	22152 61621	   	181.14	DCR|3VULN|1AART|1DMG|2ZMB	1AART|2CGEN|35aVULN|45ZMB|5BPWR|6RCR|7LWND|8DMG|9DUST
124	21315 32515	   	180.92	ACR|3VULN|2AART|1DMG	16AART|29RCVC|3LWND|4RCR|57aVULN|8DMG
125	24116 21132	   	180.68	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|69VULN|7DMG|8MLV|aFEWX
126	24116 21133	   	180.68	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|69VULN|7DMG|8MLV|aLIT
127	24116 21134	   	180.68	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|69VULN|7DMG|8MLV|aDMSP
128	24116 21143	   	180.68	ACR|2AART|2DMG|1VULN|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|6VULN|7aDMG|8MLV|9CGEN
129	24116 21232	   	180.68	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|69VULN|7DMG|8CGEN|aFEWX
130	24116 21233	   	180.68	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|69VULN|7DMG|8CGEN|aLIT
131	24116 21234	   	180.68	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|69VULN|7DMG|8CGEN|aDMSP
132	24116 21311	   	180.68	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|68VULN|7DMG|9BEXP|aFEWX
133	24116 21312	   	180.68	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|68VULN|7DMG|9BEXP|aMLV
134	24116 21341	   	180.68	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|68VULN|7DMG|9FEWX|aBEXP
135	24116 21342	   	180.68	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|68VULN|7DMG|9FEWX|aMLV
136	24116 21411	   	180.68	ACR|2AART|2DMG|1VULN|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|6VULN|78DMG|9BEXP|aFEWX
137	24116 21412	   	180.68	ACR|2AART|2DMG|1VULN|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|6VULN|78DMG|9BEXP|aMLV
138	24116 22333	   	180.68	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|69VULN|7MLV|8BEXP|aDMG
139	24116 22432	   	180.68	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|69VULN|7MLV|8DMG|aFEWX
140	24116 22433	   	180.68	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|69VULN|7MLV|8DMG|aLIT
141	21115 14315	   	180.62	ACR|2AART|2VULN|1CDMG|2DUR|1ZMB	1aAART|2RCVC|35VULN|4RCR|67DUR|8CDMG|9ZMB
142	24116 21131	   	180.58	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|69VULN|7DMG|8MLV|aDUST
143	24116 21136	   	180.58	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|69VULN|7DMG|8MLV|aERES
144	24116 21231	   	180.58	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|69VULN|7DMG|8CGEN|aDUST
145	24116 21236	   	180.58	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|69VULN|7DMG|8CGEN|aERES
146	24116 21243	   	180.58	ACR|2AART|2DMG|1VULN|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|6VULN|7aDMG|8CGEN|9ERES
147	24116 21322	   	180.58	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|68VULN|7DMG|9ERES|aFEWX
148	24116 21323	   	180.58	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|68VULN|7DMG|9ERES|aLIT
149	24116 21324	   	180.58	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|68VULN|7DMG|9ERES|aDMSP
150	24116 21331	   	180.58	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|68VULN|7DMG|9LEGI|aBEXP
151	24116 21332	   	180.58	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|68VULN|7DMG|9LEGI|aMLV
152	24116 21335	   	180.58	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|68VULN|7DMG|9LEGI|aFEWX
153	24116 21422	   	180.58	ACR|2AART|2DMG|1VULN|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|6VULN|78DMG|9ERES|aFEWX
154	24116 21423	   	180.58	ACR|2AART|2DMG|1VULN|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|6VULN|78DMG|9ERES|aLIT
155	24116 21431	   	180.58	ACR|2AART|2DMG|1VULN|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|6VULN|78DMG|9LEGI|aBEXP
156	24116 21432	   	180.58	ACR|2AART|2DMG|1VULN|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|6VULN|78DMG|9LEGI|aMLV
157	24116 22431	   	180.58	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|69VULN|7MLV|8DMG|aDUST
158	24116 21321	   	180.48	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|68VULN|7DMG|9ERES|aDUST
159	24116 21326	   	180.48	ACR|2AART|2VULN|1DMG|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|68VULN|7DMG|9aERES
160	24116 21421	   	180.48	ACR|2AART|2DMG|1VULN|1FLTHEA|1DUR	13AART|2DUR|4RCR|5FLTHEA|6VULN|78DMG|9ERES|aDUST
161	24331 23882	 * 	180.26	DCR|3DMG|2AART|2CDMG|2DUR	18AART|29DUR|3ERES|49CDMG|569DMG|7MBVNT|9BPWR|aRCR
162	25116 21533	   	180.26	ACR|2AART|2DMG|1VULN|2FLTHEA	13AART|29FEWX|4RCR|59FLTHEA|6VULN|7aDMG|89LHND|9BPWR
