0	Index      	 *	Score 	Summary	Detail	
152	42142 11114	   	166.92	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2AART|3DUR|4ERES|568VULN|7RPLT|9DMG|aRCR
153	31361 12265	   	166.80	DCR|3VULN|1AART|1CDMG|2DUR	19DUR|2CDMG|349VULN|5FEWX|6RCR|7ERES|89LWND|9BPWR|aAART
154	13551 13323	   	166.77	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1ERES|25aVULN|3DMG|4ASPD|6BEXP|7RCR|8CDMG|9ZMB
155	13551 33323	   	166.77	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1ERES|25aVULN|3DMG|4ASPD|6FEWX|7RCR|8CDMG|9ZMB
156	13551 63323	   	166.77	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1ERES|25aVULN|3DMG|4ASPD|6LWND|7RCR|8CDMG|9ZMB
157	41122 24178	   	166.60	DCR|2VULN|1AART|2CDMG|2DUR|1ASPD	1RCVC|2MBVNT|3aVULN|4aDUR|5ASPD|6CGEN|7RCR|8aCDMG|9AART|aBPWR
158	41122 34138	   	166.60	DCR|2VULN|1AART|2CDMG|2DUR|1ASPD	1RCVC|2MBVNT|3aVULN|4aDUR|5ASPD|6MLV|7RCR|8aCDMG|9AART|aBPWR
159	31361 12145	   	166.60	DCR|3VULN|1AART|1CDMG|2DUR	18DUR|2CDMG|349VULN|5FEWX|6RCR|7ERES|aAART
160	23251 63152	   	166.43	ACR|3VULN|2AART|1CDMG	15CGEN|258VULN|3RPLT|4RCR|5BPWR|67AART|9CDMG|aRMIN
161	23251 63153	   	166.43	ACR|3VULN|2AART|1CDMG	15aCGEN|258VULN|3RPLT|4RCR|5BPWR|67AART|9CDMG
162	23633 62263	   	166.41	DCR|3VULN|2DMG|2ASPD	1CGEN|26aVULN|38ASPD|4ERES|56DMG|6BPWR|7RCR|9RPLT
163	21562 23314	 * 	166.32	DCR|3VULN|3DMG	1aCGEN|2LHND|35aDMG|4RPLT|6BELT|79aVULN|8RCR|aBPWR
164	23361 33521	   	165.98	DCR|3VULN|1AART|1DMG|1ZMB	1CGEN|256VULN|346LHND|6BPWR|7ZMB|8AART|9RCR|aDMG
165	42652 23111	   	165.93	ACR|3VULN|2AART|1DUR	1RCVC|26AART|3ERES|4RCR|579VULN|8DUR|aLWND
166	42652 23112	   	165.93	ACR|3VULN|2AART|1DUR	1RCVC|26AART|3ERES|4RCR|579VULN|8DUR|aRPLT
167	42652 23113	   	165.93	ACR|3VULN|2AART|1DUR	1RCVC|26AART|3ERES|4RCR|579VULN|8DUR|aLHND
168	42652 23132	   	165.93	ACR|3VULN|2AART|1DUR	1RCVC|26AART|3ERES|4RCR|57aVULN|8DUR|9LHND
