0	Index      	Bounty	 *	Score 	Summary	Detail	
138	25512 18343	6	   	251.95	DCR|3VULN|2DUR|3LIT|1TLV	18aLIT|29aVULN|3MBVNT|4TLV|5CGEN|6aDUR|7RCR|aBPWR
139	25512 72223	5	   	251.95	DCR|3VULN|2DUR|3LIT|1TLV	179LIT|289VULN|3MBVNT|4TLV|5CGEN|69DUR|9BPWR|aRCR
140	25514 72223	4	   	251.95	DCR|3VULN|2DUR|3LIT|1TLV	179LIT|289VULN|3MBVNT|4TLV|5CGEN|69DUR|9BPWR|aRCR
141	53531 23252	1	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1CGEN|256VULN|3ERES|4DMG|7TLV|8aDUR|9RCR
142	12133 14435	8	   	251.85	DCR|3VULN|3DMG|1CDMG	1LHND|247DMG|3CDMG|589VULN|6RPLT|aRCR
143	12133 66221	6	   	251.85	DCR|3VULN|3DMG|1CDMG	1LHND|248DMG|3CDMG|567VULN|9RCR|aZMB
144	12133 66221	5	   	251.85	DCR|3VULN|3DMG|1CDMG	1LHND|248DMG|3CDMG|567VULN|9RCR|aZMB
145	12133 66226	6	   	251.85	DCR|3VULN|3DMG|1CDMG	1aLHND|248DMG|3CDMG|567VULN|9RCR
146	12133 66226	5	   	251.85	DCR|3VULN|3DMG|1CDMG	1aLHND|248DMG|3CDMG|567VULN|9RCR
147	62133 66221	5	   	251.85	DCR|3VULN|3DMG|1CDMG	1LWND|248DMG|3CDMG|567VULN|9RCR|aZMB
148	62133 66221	6	   	251.85	DCR|3VULN|3DMG|1CDMG	1LWND|248DMG|3CDMG|567VULN|9RCR|aZMB
149	12133 66222	6	   	251.75	DCR|3VULN|3DMG|1CDMG	1LHND|248DMG|3CDMG|567VULN|9RCR|aDUST
150	12133 66222	5	   	251.75	DCR|3VULN|3DMG|1CDMG	1LHND|248DMG|3CDMG|567VULN|9RCR|aDUST
151	12133 66225	6	   	251.75	DCR|3VULN|3DMG|1CDMG	1LHND|248DMG|3CDMG|567VULN|9RCR|aTBNT
152	12133 66225	5	   	251.75	DCR|3VULN|3DMG|1CDMG	1LHND|248DMG|3CDMG|567VULN|9RCR|aTBNT
153	62133 66222	5	   	251.75	DCR|3VULN|3DMG|1CDMG	1LWND|248DMG|3CDMG|567VULN|9RCR|aDUST
154	62133 66222	6	   	251.75	DCR|3VULN|3DMG|1CDMG	1LWND|248DMG|3CDMG|567VULN|9RCR|aDUST
155	12432 46223	4	   	251.71	DCR|3VULN|3DMG|1CDMG|1SELL	16LHND|258DMG|357VULN|4SELL|5BPWR|9RCR|aCDMG
156	25442 32331	2	   	251.53	DCR|5VULN|1TLV	1LIT|2345aVULN|6BEXP|7RCR|8TLV|9DUST
157	12133 66632	9	   	251.45	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1LHND|24DMG|3CDMG|56VULN|7DUR|8AART|9RCR|aTLV
158	24311 34234	4	 * 	251.22	DCR|2VULN|3DMG|3LIT|3TLV	16aLIT|235DMG|459TLV|5aBPWR|7RCR|8aVULN
159	24333 16113	4	   	250.96	DCR|3VULN|2DMG|2LIT|1CDMG	16LIT|23DMG|4CDMG|58aVULN|7RCR|9ERES
160	24336 16113	5	   	250.96	DCR|3VULN|2DMG|2LIT|1CDMG	16LIT|23DMG|4CDMG|58aVULN|7RCR|9ERES
161	24343 16113	3	   	250.96	DCR|3VULN|2DMG|2LIT|1CDMG	16LIT|23DMG|4CDMG|58aVULN|7RCR|9ERES
162	24431 52212	3	   	250.93	DCR|2VULN|2DMG|2DUR|1TLV	1LIT|25DMG|34DUR|6TLV|7RCR|8DUST|9aVULN
163	24431 52212	2	   	250.93	DCR|2VULN|2DMG|2DUR|1TLV	1LIT|25DMG|34DUR|6TLV|7RCR|8DUST|9aVULN
164	25233 14162	9	   	250.18	DCR|3VULN|1DMG|1DUR|1ASPD|1AART	1LIT|29aVULN|3ASPD|4DMG|5DUR|6AART|7MLV|8RCR
165	25233 12162	9	   	250.08	DCR|3VULN|1DMG|1DUR|1ASPD|1AART	1LIT|29aVULN|3ASPD|4DMG|5DUR|6AART|7ERES|8RCR
166	26442 21321	3	   	249.85	DCR|3VULN|2DUR|1TLV|1AART	1LIT|2TLV|37DUR|4AART|5TBNT|689VULN|aRCR
167	26442 21321	2	   	249.85	DCR|3VULN|2DUR|1TLV|1AART	1LIT|2TLV|37DUR|4AART|5TBNT|689VULN|aRCR
168	26532 61321	3	   	249.85	DCR|3VULN|2DUR|1TLV|1AART	1LIT|2TLV|389VULN|47DUR|5TBNT|6AART|aRCR
