0	Index      	Bounty	 *	Score 	Summary	Detail	
159	63413 14123	9	   	236.58	DCR|3VULN|1DMG|1CDMG|1AART	1ZMB|2AART|346VULN|5FEWX|7LIT|8DMG|9CDMG|aRCR
160	23233 22332	3	   	236.58	DCR|3VULN|1DMG|1CDMG|1AART	13LHND|2LIT|4AART|58aVULN|6CDMG|7DMG|9RCR
161	23233 64432	3	   	236.58	DCR|3VULN|1DMG|1CDMG|1AART	13LHND|2LIT|4AART|56aVULN|7CDMG|8DMG|9RCR
162	23333 22332	1	   	236.58	DCR|3VULN|1DMG|1CDMG|1AART	12LHND|3LIT|4AART|58aVULN|6CDMG|7DMG|9RCR
163	23333 22332	4	   	236.58	DCR|3VULN|1DMG|1CDMG|1AART	1LHND|2LIT|3AART|4RCVC|58aVULN|6CDMG|7DMG|9RCR
164	23333 64432	1	   	236.58	DCR|3VULN|1DMG|1CDMG|1AART	12LHND|3LIT|4AART|56aVULN|7CDMG|8DMG|9RCR
165	23333 64432	4	   	236.58	DCR|3VULN|1DMG|1CDMG|1AART	1LHND|2LIT|3AART|4RCVC|56aVULN|7CDMG|8DMG|9RCR
166	23363 22332	4	   	236.58	DCR|3VULN|1DMG|1CDMG|1AART	14LHND|2LIT|3AART|58aVULN|6CDMG|7DMG|9RCR
167	63318 72323	6	   	236.50	DCR|3VULN|2DUR|1ASPD|1AART	18ZMB|2AART|3MBVNT|48aVULN|5RMIN|6RCR|78DUR|8BPWR|9ASPD
168	63412 53323	8	   	236.48	DCR|3VULN|2TLV|1CDMG|1AART	1ZMB|2AART|346VULN|56TLV|6BPWR|7CDMG|8LIT|9ERES|aRCR
169	63413 14131	4	   	236.48	DCR|3VULN|1DMG|1CDMG|1AART	1ZMB|2AART|348VULN|5LIT|6ERES|7CDMG|9RCR|aDMG
170	63331 77323	6	   	236.40	DCR|3VULN|2DUR|1ASPD|1NUKE|1AART	18ZMB|2AART|3MBVNT|4NUKE|58DUR|6RCR|78aVULN|8BPWR|9ASPD
