0	Index      	 *	Score 	Summary	Detail	
128	22613 11641	   	180.08	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3RCR|4BEXP|58VULN|67AART|9CDMG|aLHND
129	22633 11135	   	180.08	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3RCR|4FEWX|59VULN|67AART|8CGEN|aCDMG
130	22633 11226	   	180.08	ACR|2VULN|2AART|1DMG|1FLTHEA|1DUR	1DUR|2DMG|3RCR|4FEWX|5aVULN|67AART|8FLTHEA|9BELT
131	22633 11245	   	180.08	ACR|2DMG|2AART|1VULN|1FLTHEA|1DUR	1DUR|2aDMG|3RCR|4FEWX|5VULN|67AART|8FLTHEA|9LHND
132	22633 11635	   	180.08	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3RCR|4FEWX|58VULN|67AART|9CGEN|aCDMG
133	22633 11641	   	180.08	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3RCR|4FEWX|58VULN|67AART|9CDMG|aLHND
134	22322 25662	 * 	180.07	ACR|2VULN|2DMG|3ZMB|3DUR	179DUR|27DMG|39BEXP|4LHND|5RCR|67aZMB|79BPWR|89VULN
135	22613 11231	   	179.98	ACR|2VULN|2AART|1DMG|1FLTHEA|1DUR	1DUR|2DMG|3RCR|4BEXP|5aVULN|67AART|8FLTHEA|9DLOT
136	22613 11535	   	179.98	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3RCR|4BEXP|59VULN|67AART|8ERES|aCDMG
137	22633 11231	   	179.98	ACR|2VULN|2AART|1DMG|1FLTHEA|1DUR	1DUR|2DMG|3RCR|4FEWX|5aVULN|67AART|8FLTHEA|9DLOT
138	22633 11535	   	179.98	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3RCR|4FEWX|59VULN|67AART|8ERES|aCDMG
139	22613 15134	 * 	179.95	ACR|3VULN|1AART|1DMG|3DUR	17aDUR|2DMG|3RCR|47BEXP|579VULN|6AART|7BPWR|8CGEN
140	22322 16256	   	179.94	ACR|4VULN|1AART|1DMG|1DUR	1DUR|2DMG|3BEXP|4LHND|5RCR|6AART|789aVULN
141	22613 16241	   	179.64	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DUR|2DMG|3RCR|4BEXP|57VULN|6AART|8FLTHEA|9LHND|aZMB
142	22613 16261	   	179.54	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DUR|2DMG|3RCR|4BEXP|57VULN|6AART|8FLTHEA|9DUST|aZMB
143	22623 12262	   	179.31	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|29DMG|3RCR|4LEGI|5aVULN|6AART|7TLV|8ASPD
144	22623 15262	   	179.31	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|29DMG|3RCR|4LEGI|5aVULN|6AART|7ERES|8ASPD
145	22621 33653	   	179.28	ACR|2VULN|2DMG|1AART|3DUR	179DUR|29DMG|3RCR|4LEGI|5MLV|6DUST|89VULN|9BPWR|aAART
146	22132 11634	   	178.55	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|23DMG|4AART|5TLV|6RCR|7LWND|89VULN
147	22132 16412	   	178.55	DCR|2VULN|2DMG|1AART|2DUR	17DUR|23DMG|4AART|5TLV|6RCR|8aVULN|9LWND
148	22132 16431	   	178.55	DCR|2VULN|2DMG|1AART|2DUR	17DUR|23DMG|4AART|5TLV|6RCR|8aVULN|9RMIN
149	22132 16451	   	178.55	DCR|2VULN|2DMG|1AART|2DUR	17DUR|23DMG|4AART|5TLV|6RCR|8aVULN|9CGEN
150	22253 53312	   	178.46	DCR|2VULN|2DMG|1AART|3DUR	157DUR|2aDMG|3AART|4aLWND|6aVULN|8RCR|9RPLT|aBPWR
151	22253 53351	   	178.46	DCR|2VULN|2DMG|1AART|3DUR	157DUR|29DMG|3AART|49LWND|69VULN|8RCR|9BPWR|aCGEN
152	22253 53352	   	178.46	DCR|2VULN|2DMG|1AART|3DUR	157DUR|29DMG|3AART|49LWND|69VULN|8RCR|9BPWR|aLIT
153	24126 32251	 * 	178.41	ACR|1AART|1VULN|1DMG|2CDMG|1FLTHEA|1ZMB|1DUR	1DUR|23CDMG|4AART|5RCR|6RPLT|7VULN|8FLTHEA|9ZMB|aDMG
154	22253 53353	   	178.36	DCR|2VULN|2DMG|1AART|3DUR	157DUR|29DMG|3AART|49LWND|69VULN|8RCR|9BPWR|aLSRREG
155	22621 22343	   	178.34	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|27DMG|3RCR|4LEGI|5MLV|6ZMB|8AART|9CDMG|aVULN
156	22626 32135	   	178.34	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DMG|3RCR|4LEGI|5ZMB|6RCVC|79VULN|8AART|aCDMG
157	22653 22343	   	178.24	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|27DMG|3RCR|4TLV|5LEGI|6ZMB|8AART|9CDMG|aVULN
158	61133 15115	   	178.20	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	18ERES|28VULN|37DMG|4MGNLIT|5RCR|68DUR|8BPWR|9AART|aASPD
159	22613 15343	   	177.97	ACR|2VULN|2DMG|1AART|2DUR	17DUR|2aDMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8DUST|9LWND
160	22613 15253	   	177.94	ACR|2VULN|1AART|1DMG|3DUR|1FLTHEA	17aDUR|2DMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8FLTHEA|9RPLT
161	22412 65133	 * 	177.93	ACR|3DMG|3ZMB|1VULN|3DUR	179DUR|279DMG|3DUST|4BEXP|5RCR|679ZMB|79BPWR|8LEGI|aVULN
162	22613 15333	   	177.87	ACR|2VULN|2DMG|1AART|2DUR	17DUR|2aDMG|3RCR|47BEXP|57VULN|6AART|7BPWR|8DUST|9MBVNT
163	22613 16422	   	177.87	ACR|2VULN|2DMG|1AART|2DUR	1aDUR|2aDMG|3RCR|4BEXP|57VULN|6AART|8aBASICY|9BELT|aBPWR
