0	Index      	 *	Score 	Summary	Detail	
111	13262 23155	   	170.92	DCR|3VULN|3DMG	1BELT|248VULN|3RPLT|58ERES|6RCR|78aDMG|8BPWR|9LWND
112	31423 22551	   	170.72	DCR|3VULN|1AART|1DMG|1ASPD	1ERES|2ASPD|3RMIN|4DMG|5AART|6RCR|7RPLT|89aVULN
113	31211 26141	   	170.27	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2ASPD|3AART|4DMG|5ZMB|6RCR|7DUR|8LWND|9CDMG|aVULN
114	31211 26155	   	170.27	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2ASPD|3AART|4DMG|5ZMB|6RCR|7DUR|8LWND|9VULN|aCDMG
115	31211 26241	   	170.27	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2ASPD|3AART|4DMG|5ZMB|6RCR|7DUR|8BEXP|9CDMG|aVULN
116	31211 26255	   	170.27	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2ASPD|3AART|4DMG|5ZMB|6RCR|7DUR|8BEXP|9VULN|aCDMG
117	31216 14125	   	170.27	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2ASPD|3AART|4DMG|5CDMG|6RCR|7ZMB|8RCVC|9DUR|aVULN
118	31216 14141	   	170.27	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ERES|2ASPD|3AART|4DMG|5CDMG|6RCR|7ZMB|8RCVC|9VULN|aDUR
119	31216 11151	 * 	170.09	DCR|2AART|1VULN|2CDMG|1DMG|1ASPD	1ERES|2ASPD|38AART|4DMG|57CDMG|6RCR|9RPLT|aVULN
120	31231 36561	   	170.04	DCR|3VULN|1AART|1CDMG|1DUR|1ASPD	1ERES|2ASPD|3AART|489VULN|5CDMG|6LWND|7RCR|aDUR
121	26612 12262	   	169.97	DCR|3VULN|1AART|1DMG|1DUR|1SELL	1FEWX|2AART|3LWND|4SELL|5DUR|69aVULN|7RCR|8DMG
122	31216 14242	   	169.94	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB	1ERES|28ASPD|3AART|4DMG|5CDMG|6RCR|7ZMB|9VULN|aDMSP
123	31214 22141	   	169.91	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2ASPD|3AART|4DMG|5CGEN|6RCR|7aVULN|8LWND|9CDMG
124	31214 22146	   	169.91	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ERES|2ASPD|3AART|4aDMG|5CGEN|6RCR|7VULN|8LWND|9CDMG
125	31214 22241	   	169.91	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ERES|2ASPD|3AART|4DMG|5CGEN|6RCR|7aVULN|8BEXP|9CDMG
126	21613 26532	   	169.83	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1FEWX|2ZMB|3ASPD|4RCR|5DUR|68VULN|7AART|9TLV|aDMG
127	31216 13246	   	169.81	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	17ERES|2ASPD|3AART|4aDMG|5CDMG|6RCR|8CGEN|9VULN
